t	f	
0.000000	0.000000	
0.000010	1.943480	
0.000020	3.617054	
0.000030	5.032311	
0.000040	6.201408	
0.000050	7.135063	
0.000060	7.844298	
0.000070	8.337852	
0.000080	8.629814	
0.000090	8.731632	
0.000100	8.639580	
0.000110	8.400179	
0.000120	8.009653	
0.000130	7.482995	
0.000140	6.831813	
0.000150	6.070219	
0.000160	5.212704	
0.000170	4.274032	
0.000180	3.269156	
0.000190	2.213048	
0.000200	1.120669	
0.000210	0.006825	
0.000220	-1.113947	
0.000230	-2.227483	
0.000240	-3.320104	
0.000250	-4.378721	
0.000260	-5.391013	
0.000270	-6.345367	
0.000280	-7.231098	
0.000290	-8.038495	
0.000300	-8.758901	
0.000310	-9.384791	
0.000320	-9.909765	
0.000330	-10.328624	
0.000340	-10.635599	
0.000350	-10.830075	
0.000360	-10.910548	
0.000370	-10.870563	
0.000380	-10.724743	
0.000390	-10.470034	
0.000400	-10.109452	
0.000410	-9.649487	
0.000420	-9.093949	
0.000430	-8.449510	
0.000440	-7.723751	
0.000450	-6.925065	
0.000460	-6.062572	
0.000470	-5.145957	
0.000480	-4.185413	
0.000490	-3.191503	
0.000500	-2.175047	
0.000510	-1.146987	
0.000520	-0.118281	
0.000530	0.900212	
0.000540	1.897857	
0.000550	2.864348	
0.000560	3.789822	
0.000570	4.664929	
0.000580	5.480955	
0.000590	6.229902	
0.000600	6.904572	
0.000610	7.498595	
0.000620	8.006524	
0.000630	8.423860	
0.000640	8.745296	
0.000650	8.970351	
0.000660	9.097603	
0.000670	9.126265	
0.000680	9.045340	
0.000690	8.882533	
0.000700	8.627846	
0.000710	8.284724	
0.000720	7.859430	
0.000730	7.355548	
0.000740	6.779217	
0.000750	6.137297	
0.000760	5.437283	
0.000770	4.687204	
0.000780	3.895533	
0.000790	3.071102	
0.000800	2.223006	
0.000810	1.360494	
0.000820	0.492857	
0.000830	-0.370656	
0.000840	-1.220937	
0.000850	-2.049114	
0.000860	-2.846642	
0.000870	-3.605403	
0.000880	-4.317770	
0.000890	-4.976680	
0.000900	-5.575711	
0.000910	-6.109137	
0.000920	-6.571980	
0.000930	-6.960075	
0.000940	-7.270081	
0.000950	-7.497846	
0.000960	-7.643515	
0.000970	-7.706221	
0.000980	-7.680908	
0.000990	-7.580916	
0.001000	-7.401295	
0.001010	-7.145540	
0.001020	-6.818633	
0.001030	-6.423182	
0.001040	-5.964056	
0.001050	-5.446766	
0.001060	-4.877396	
0.001070	-4.262524	
0.001080	-3.609134	
0.001090	-2.924566	
0.001100	-2.216406	
0.001110	-1.492422	
0.001120	-0.760453	
0.001130	-0.028341	
0.001140	0.696154	
0.001150	1.405432	
0.001160	2.092117	
0.001170	2.749206	
0.001180	3.370050	
0.001190	3.948450	
0.001200	4.478723	
0.001210	4.955750	
0.001220	5.375035	
0.001230	5.732747	
0.001240	6.025731	
0.001250	6.249906	
0.001260	6.405275	
0.001270	6.490831	
0.001280	6.507292	
0.001290	6.445206	
0.001300	6.324221	
0.001310	6.138045	
0.001320	5.889116	
0.001330	5.582165	
0.001340	5.219525	
0.001350	4.805600	
0.001360	4.345297	
0.001370	3.843974	
0.001380	3.307373	
0.001390	2.741544	
0.001400	2.152801	
0.001410	1.547631	
0.001420	0.932632	
0.001430	0.314425	
0.001440	-0.300407	
0.001450	-0.905381	
0.001460	-1.494193	
0.001470	-2.060759	
0.001480	-2.599339	
0.001490	-3.104520	
0.001500	-3.571300	
0.001510	-3.995146	
0.001520	-4.372016	
0.001530	-4.698417	
0.001540	-4.971367	
0.001550	-5.186986	
0.001560	-5.345170	
0.001570	-5.444810	
0.001580	-5.485246	
0.001590	-5.459772	
0.001600	-5.384566	
0.001610	-5.253093	
0.001620	-5.067726	
0.001630	-4.830907	
0.001640	-4.547046	
0.001650	-4.218199	
0.001660	-3.848302	
0.001670	-3.441697	
0.001680	-3.003077	
0.001690	-2.537407	
0.001700	-2.049920	
0.001710	-1.546016	
0.001720	-1.031221	
0.001730	-0.511108	
0.001740	0.008755	
0.001750	0.522860	
0.001760	1.025819	
0.001770	1.512412	
0.001780	1.977682	
0.001790	2.416928	
0.001800	2.825772	
0.001810	3.200217	
0.001820	3.536632	
0.001830	3.831842	
0.001840	4.083138	
0.001850	4.286825	
0.001860	4.442754	
0.001870	4.549763	
0.001880	4.607142	
0.001890	4.614744	
0.001900	4.567586	
0.001910	4.478637	
0.001920	4.343658	
0.001930	4.164380	
0.001940	3.944392	
0.001950	3.685137	
0.001960	3.389751	
0.001970	3.061727	
0.001980	2.704876	
0.001990	2.323280	
0.002000	1.921241	
0.002010	1.503240	
0.002020	1.073882	
0.002030	0.637847	
0.002040	0.199827	
0.002050	-0.235515	
0.002060	-0.663593	
0.002070	-1.079954	
0.002080	-1.480326	
0.002090	-1.860635	
0.002100	-2.217066	
0.002110	-2.546090	
0.002120	-2.844506	
0.002130	-3.109468	
0.002140	-3.338516	
0.002150	-3.529570	
0.002160	-3.679696	
0.002170	-3.789073	
0.002180	-3.856933	
0.002190	-3.882965	
0.002200	-3.860142	
0.002210	-3.804417	
0.002220	-3.708985	
0.002230	-3.575595	
0.002240	-3.405990	
0.002250	-3.203490	
0.002260	-2.969368	
0.002270	-2.706416	
0.002280	-2.417715	
0.002290	-2.106590	
0.002300	-1.776571	
0.002310	-1.431355	
0.002320	-1.074766	
0.002330	-0.710706	
0.002340	-0.343125	
0.002350	0.024046	
0.002360	0.386921	
0.002370	0.741699	
0.002380	1.084725	
0.002390	1.412487	
0.002400	1.721679	
0.002410	2.009227	
0.002420	2.272304	
0.002430	2.508374	
0.002440	2.715210	
0.002450	2.890908	
0.002460	3.032726	
0.002470	3.140749	
0.002480	3.214350	
0.002490	3.252855	
0.002500	3.255652	
0.002510	3.219894	
0.002520	3.155265	
0.002530	3.058306	
0.002540	2.930217	
0.002550	2.772657	
0.002560	2.588503	
0.002570	2.379034	
0.002580	2.146720	
0.002590	1.894254	
0.002600	1.624520	
0.002610	1.340559	
0.002620	1.045530	
0.002630	0.742684	
0.002640	0.435322	
0.002650	0.126754	
0.002660	-0.179738	
0.002670	-0.480927	
0.002680	-0.773694	
0.002690	-1.055035	
0.002700	-1.322090	
0.002710	-1.572180	
0.002720	-1.802833	
0.002730	-2.011803	
0.002740	-2.197098	
0.002750	-2.356987	
0.002760	-2.489123	
0.002770	-2.593336	
0.002780	-2.668817	
0.002790	-2.715023	
0.002800	-2.731521	
0.002810	-2.712614	
0.002820	-2.671661	
0.002830	-2.603180	
0.002840	-2.508135	
0.002850	-2.387739	
0.002860	-2.244292	
0.002870	-2.078757	
0.002880	-1.893099	
0.002890	-1.689485	
0.002900	-1.470255	
0.002910	-1.237895	
0.002920	-0.995006	
0.002930	-0.744277	
0.002940	-0.488456	
0.002950	-0.230314	
0.002960	0.027391	
0.002970	0.281931	
0.002980	0.530643	
0.002990	0.770973	
0.003000	1.000465	
0.003010	1.216803	
0.003020	1.417830	
0.003030	1.601576	
0.003040	1.766269	
0.003050	1.910357	
0.003060	2.031695	
0.003070	2.130077	
0.003080	2.204707	
0.003090	2.255021	
0.003100	2.280628	
0.003110	2.277554	
0.003120	2.250806	
0.003130	2.204339	
0.003140	2.135420	
0.003150	2.044841	
0.003160	1.933751	
0.003170	1.804242	
0.003180	1.657130	
0.003190	1.494157	
0.003200	1.317208	
0.003210	1.128303	
0.003220	0.929567	
0.003230	0.723212	
0.003240	0.511511	
0.003250	0.296768	
0.003260	0.081292	
0.003270	-0.132628	
0.003280	-0.342741	
0.003290	-0.546861	
0.003300	-0.742902	
0.003310	-0.928875	
0.003320	-1.102917	
0.003330	-1.263306	
0.003340	-1.408484	
0.003350	-1.537083	
0.003360	-1.647118	
0.003370	-1.738396	
0.003380	-1.810155	
0.003390	-1.861828	
0.003400	-1.893022	
0.003410	-1.903852	
0.003420	-1.892727	
0.003430	-1.863121	
0.003440	-1.814330	
0.003450	-1.747121	
0.003460	-1.662314	
0.003470	-1.560977	
0.003480	-1.444991	
0.003490	-1.315061	
0.003500	-1.172699	
0.003510	-1.019540	
0.003520	-0.857318	
0.003530	-0.687849	
0.003540	-0.513009	
0.003550	-0.334711	
0.003560	-0.154880	
0.003570	0.024563	
0.003580	0.201722	
0.003590	0.374742	
0.003600	0.541834	
0.003610	0.701299	
0.003620	0.851530	
0.003630	0.991033	
0.003640	1.118440	
0.003650	1.232522	
0.003660	1.331488	
0.003670	1.415163	
0.003680	1.482829	
0.003690	1.533935	
0.003700	1.568081	
0.003710	1.584951	
0.003720	1.582533	
0.003730	1.563327	
0.003740	1.530146	
0.003750	1.481517	
0.003760	1.417934	
0.003770	1.340183	
0.003780	1.249234	
0.003790	1.146762	
0.003800	1.033353	
0.003810	0.910317	
0.003820	0.779053	
0.003830	0.641039	
0.003840	0.497814	
0.003850	0.350950	
0.003860	0.202038	
0.003870	0.052679	
0.003880	-0.095540	
0.003890	-0.241061	
0.003900	-0.382370	
0.003910	-0.518014	
0.003920	-0.646616	
0.003930	-0.766895	
0.003940	-0.877660	
0.003950	-0.977835	
0.003960	-1.066459	
0.003970	-1.142099	
0.003980	-1.204712	
0.003990	-1.253775	
0.004000	-1.288892	
0.004010	-1.309769	
0.004020	-1.316268	
0.004030	-1.303862	
0.004040	-1.283247	
0.004050	-1.249056	
0.004060	-1.202281	
0.004070	-1.143459	
0.004080	-1.073315	
0.004090	-0.993224	
0.004100	-0.903591	
0.004110	-0.805455	
0.004120	-0.699939	
0.004130	-0.588240	
0.004140	-0.471604	
0.004150	-0.351319	
0.004160	-0.228694	
0.004170	-0.105054	
0.004180	0.018281	
0.004190	0.140007	
0.004200	0.258852	
0.004210	0.373586	
0.004220	0.483035	
0.004230	0.586094	
0.004240	0.681737	
0.004250	0.769030	
0.004260	0.847129	
0.004270	0.914726	
0.004280	0.971795	
0.004290	1.017846	
0.004300	1.052499	
0.004310	1.075474	
0.004320	1.086976	
0.004330	1.084808	
0.004340	1.071158	
0.004350	1.048243	
0.004360	1.014606	
0.004370	0.970714	
0.004380	0.917172	
0.004390	0.854643	
0.004400	0.784357	
0.004410	0.706631	
0.004420	0.622361	
0.004430	0.532502	
0.004440	0.438061	
0.004450	0.340085	
0.004460	0.239647	
0.004470	0.137836	
0.004480	0.035746	
0.004490	-0.065540	
0.004500	-0.164957	
0.004510	-0.261471	
0.004520	-0.354088	
0.004530	-0.441866	
0.004540	-0.523926	
0.004550	-0.599455	
0.004560	-0.667174	
0.004570	-0.726957	
0.004580	-0.778280	
0.004590	-0.820713	
0.004600	-0.853922	
0.004610	-0.877665	
0.004620	-0.892097	
0.004630	-0.896059	
0.004640	-0.887647	
0.004650	-0.873315	
0.004660	-0.850155	
0.004670	-0.818236	
0.004680	-0.778110	
0.004690	-0.730297	
0.004700	-0.675400	
0.004710	-0.614094	
0.004720	-0.547111	
