t	f	
0.000000	0.000000	
0.000010	1.940733	
0.000020	3.603688	
0.000030	4.997835	
0.000040	6.132752	
0.000050	7.018622	
0.000060	7.665323	
0.000070	8.081789	
0.000080	8.282385	
0.000090	8.281045	
0.000100	8.090775	
0.000110	7.725477	
0.000120	7.203708	
0.000130	6.539654	
0.000140	5.750229	
0.000150	4.852994	
0.000160	3.866013	
0.000170	2.807582	
0.000180	1.696166	
0.000190	0.550200	
0.000200	-0.612112	
0.000210	-1.772972	
0.000220	-2.915157	
0.000230	-4.022187	
0.000240	-5.078437	
0.000250	-6.069516	
0.000260	-6.982154	
0.000270	-7.804419	
0.000280	-8.525836	
0.000290	-9.137418	
0.000300	-9.631860	
0.000310	-10.003437	
0.000320	-10.246549	
0.000330	-10.360837	
0.000340	-10.343937	
0.000350	-10.202829	
0.000360	-9.936565	
0.000370	-9.550779	
0.000380	-9.053277	
0.000390	-8.449605	
0.000400	-7.748462	
0.000410	-6.959735	
0.000420	-6.094358	
0.000430	-5.164090	
0.000440	-4.181410	
0.000450	-3.159329	
0.000460	-2.111215	
0.000470	-1.050599	
0.000480	0.008985	
0.000490	1.054179	
0.000500	2.071959	
0.000510	3.049809	
0.000520	3.975879	
0.000530	4.839146	
0.000540	5.629514	
0.000550	6.337863	
0.000560	6.956265	
0.000570	7.478039	
0.000580	7.897753	
0.000590	8.209546	
0.000600	8.412740	
0.000610	8.506031	
0.000620	8.478064	
0.000630	8.355527	
0.000640	8.127727	
0.000650	7.799908	
0.000660	7.379092	
0.000670	6.870079	
0.000680	6.280414	
0.000690	5.618588	
0.000700	4.893919	
0.000710	4.116425	
0.000720	3.296644	
0.000730	2.445533	
0.000740	1.574315	
0.000750	0.694312	
0.000760	-0.183183	
0.000770	-1.047051	
0.000780	-1.886494	
0.000790	-2.691192	
0.000800	-3.451346	
0.000810	-4.157864	
0.000820	-4.802451	
0.000830	-5.377699	
0.000840	-5.877185	
0.000850	-6.295483	
0.000860	-6.628269	
0.000870	-6.870848	
0.000880	-7.022874	
0.000890	-7.083390	
0.000900	-7.041752	
0.000910	-6.922430	
0.000920	-6.717481	
0.000930	-6.430176	
0.000940	-6.066619	
0.000950	-5.630855	
0.000960	-5.129298	
0.000970	-4.569141	
0.000980	-3.958225	
0.000990	-3.304957	
0.001000	-2.618160	
0.001010	-1.906983	
0.001020	-1.180787	
0.001030	-0.448983	
0.001040	0.279067	
0.001050	0.994163	
0.001060	1.687387	
0.001070	2.350210	
0.001080	2.974614	
0.001090	3.553168	
0.001100	4.079093	
0.001110	4.546366	
0.001120	4.949780	
0.001130	5.285004	
0.001140	5.548641	
0.001150	5.736810	
0.001160	5.849506	
0.001170	5.885994	
0.001180	5.841779	
0.001190	5.730189	
0.001200	5.547189	
0.001210	5.296386	
0.001220	4.983128	
0.001230	4.610771	
0.001240	4.184760	
0.001250	3.711170	
0.001260	3.196610	
0.001270	2.648132	
0.001280	2.073122	
0.001290	1.479234	
0.001300	0.874261	
0.001310	0.266026	
0.001320	-0.337703	
0.001330	-0.929313	
0.001340	-1.501428	
0.001350	-2.047062	
0.001360	-2.559620	
0.001370	-3.033013	
0.001380	-3.461718	
0.001390	-3.840848	
0.001400	-4.166221	
0.001410	-4.434373	
0.001420	-4.641202	
0.001430	-4.786278	
0.001440	-4.868486	
0.001450	-4.887183	
0.001460	-4.837586	
0.001470	-4.733682	
0.001480	-4.571485	
0.001490	-4.353594	
0.001500	-4.084681	
0.001510	-3.767504	
