t	f	
0.000000	0.000000	
0.000010	1.915652	
0.000020	3.484965	
0.000030	4.695918	
0.000040	5.545425	
0.000050	6.037417	
0.000060	6.187398	
0.000070	6.008124	
0.000080	5.549732	
0.000090	4.838791	
0.000100	3.915590	
0.000110	2.825576	
0.000120	1.616808	
0.000130	0.338471	
0.000140	-0.960449	
0.000150	-2.232335	
0.000160	-3.433216	
0.000170	-4.523242	
0.000180	-5.467211	
0.000190	-6.236422	
0.000200	-6.809500	
0.000210	-7.171806	
0.000220	-7.314670	
0.000230	-7.227729	
0.000240	-6.943139	
0.000250	-6.463871	
0.000260	-5.808047	
0.000270	-5.000724	
0.000280	-4.070912	
0.000290	-3.050536	
0.000300	-1.973563	
0.000310	-0.874835	
0.000320	0.211086	
0.000330	1.251301	
0.000340	2.215302	
0.000350	3.075599	
0.000360	3.808817	
0.000370	4.396219	
0.000380	4.824578	
0.000390	5.084587	
0.000400	5.174540	
0.000410	5.088427	
0.000420	4.853355	
0.000430	4.473315	
0.000440	3.963873	
0.000450	3.345007	
0.000460	2.639950	
0.000470	1.873665	
0.000480	1.072193	
0.000490	0.261827	
0.000500	-0.531638	
0.000510	-1.283684	
0.000520	-1.972030	
0.000530	-2.576941	
0.000540	-3.082034	
0.000550	-3.474810	
0.000560	-3.746310	
0.000570	-3.890724	
0.000580	-3.908043	
0.000590	-3.802625	
0.000600	-3.581845	
0.000610	-3.256918	
0.000620	-2.840292	
0.000630	-2.347899	
0.000640	-1.797501	
0.000650	-1.208286	
0.000660	-0.599963	
0.000670	0.007778	
0.000680	0.595854	
0.000690	1.146444	
0.000700	1.643430	
0.000710	2.073075	
0.000720	2.424017	
0.000730	2.687683	
0.000740	2.857533	
0.000750	2.932036	
0.000760	2.908872	
0.000770	2.798374	
0.000780	2.603979	
0.000790	2.335007	
0.000800	2.001362	
0.000810	1.615532	
0.000820	1.191298	
0.000830	0.743133	
0.000840	0.285890	
0.000850	-0.165787	
0.000860	-0.597827	
