t	f	
0.000000	0.000000	
0.000010	1.929562	
0.000020	3.550476	
0.000030	4.861571	
0.000040	5.865536	
0.000050	6.568367	
0.000060	6.978592	
0.000070	7.111260	
0.000080	6.980027	
0.000090	6.614802	
0.000100	6.036420	
0.000110	5.269657	
0.000120	4.342961	
0.000130	3.287197	
0.000140	2.133988	
0.000150	0.915737	
0.000160	-0.335417	
0.000170	-1.587744	
0.000180	-2.810806	
0.000190	-3.975744	
0.000200	-5.056151	
0.000210	-6.028187	
0.000220	-6.871065	
0.000230	-7.567772	
0.000240	-8.104976	
0.000250	-8.472754	
0.000260	-8.663964	
0.000270	-8.677793	
0.000280	-8.518413	
0.000290	-8.191069	
0.000300	-7.706457	
0.000310	-7.076077	
0.000320	-6.315522	
0.000330	-5.442797	
0.000340	-4.478245	
0.000350	-3.443653	
0.000360	-2.361801	
0.000370	-1.256064	
0.000380	-0.149963	
0.000390	0.933493	
0.000400	1.972253	
0.000410	2.945605	
0.000420	3.834623	
0.000430	4.622486	
0.000440	5.295146	
0.000450	5.840951	
0.000460	6.251157	
0.000470	6.518551	
0.000480	6.642065	
0.000490	6.620847	
0.000500	6.461329	
0.000510	6.169323	
0.000520	5.754710	
0.000530	5.227495	
0.000540	4.601135	
0.000550	3.890973	
0.000560	3.113641	
0.000570	2.287105	
0.000580	1.429830	
0.000590	0.560539	
0.000600	-0.302152	
0.000610	-1.140207	
0.000620	-1.936439	
0.000630	-2.674975	
0.000640	-3.341582	
0.000650	-3.923738	
0.000660	-4.410940	
0.000670	-4.794882	
0.000680	-5.068245	
0.000690	-5.228965	
0.000700	-5.275769	
0.000710	-5.208298	
0.000720	-5.035196	
0.000730	-4.760160	
0.000740	-4.392166	
0.000750	-3.939655	
0.000760	-3.413899	
0.000770	-2.827516	
0.000780	-2.194126	
0.000790	-1.528045	
0.000800	-0.844004	
0.000810	-0.156787	
0.000820	0.519064	
0.000830	1.169551	
0.000840	1.781472	
0.000850	2.342834	
0.000860	2.842887	
0.000870	3.272400	
0.000880	3.623752	
0.000890	3.891173	
0.000900	4.069633	
0.000910	4.158419	
0.000920	4.157930	
0.000930	4.069715	
0.000940	3.897838	
0.000950	3.647842	
0.000960	3.327634	
0.000970	2.944276	
0.000980	2.507145	
0.000990	2.026575	
0.001000	1.513616	
0.001010	0.979749	
0.001020	0.436669	
0.001030	-0.103990	
0.001040	-0.630888	
0.001050	-1.133268	
0.001060	-1.601046	
0.001070	-2.025097	
0.001080	-2.397409	
0.001090	-2.711237	
0.001100	-2.961162	
0.001110	-3.142149	
0.001120	-3.252983	
0.001130	-3.292698	
0.001140	-3.255738	
0.001150	-3.157611	
0.001160	-2.995528	
0.001170	-2.774994	
0.001180	-2.500878	
0.001190	-2.180050	
0.001200	-1.820226	
0.001210	-1.429797	
0.001220	-1.017638	
0.001230	-0.592879	
0.001240	-0.164748	
0.001250	0.257671	
0.001260	0.665594	
0.001270	1.050758	
0.001280	1.405547	
0.001290	1.723117	
0.001300	1.997556	
0.001310	2.223971	
0.001320	2.397613	
0.001330	2.516943	
0.001340	2.580573	
0.001350	2.588964	
0.001360	2.537227	
0.001370	2.438298	
0.001380	2.290438	
0.001390	2.098521	
0.001400	1.866638	
0.001410	1.600487	
0.001420	1.306381	
0.001430	0.991101	
0.001440	0.661724	
0.001450	0.325506	
0.001460	-0.010326	
0.001470	-0.338706	
0.001480	-0.652872	
0.001490	-0.946532	
0.001500	-1.213933	
0.001510	-1.449992	
0.001520	-1.650396	
0.001530	-1.811677	
0.001540	-1.930386	
0.001550	-2.005789	
0.001560	-2.037129	
0.001570	-2.021825	
0.001580	-1.968019	
0.001590	-1.873568	
0.001600	-1.741928	
0.001610	-1.577334	
0.001620	-1.383162	
0.001630	-1.164099	
0.001640	-0.925273	
0.001650	-0.672115	
0.001660	-0.410276	
0.001670	-0.145468	
0.001680	0.116670	
0.001690	0.370655	
0.001700	0.611348	
0.001710	0.833967	
0.001720	1.034211	
0.001730	1.208331	
0.001740	1.353206	
0.001750	1.465559	
0.001760	1.544541	
0.001770	1.589171	
0.001780	1.599007	
0.001790	1.571683	
0.001800	1.515512	
0.001810	1.428963	
0.001820	1.314395	
0.001830	1.175423	
0.001840	1.014774	
0.001850	0.836275	
0.001860	0.644056	
0.001870	0.442453	
0.001880	0.235924	
0.001890	0.028932	
0.001900	-0.174155	
0.001910	-0.369166	
0.001920	-0.552172	
0.001930	-0.719573	
0.001940	-0.868170	
0.001950	-0.995221	
0.001960	-1.097723	
0.001970	-1.174814	
0.001980	-1.225406	
0.001990	-1.248933	
0.002000	-1.240593	
0.002010	-1.211078	
0.002020	-1.157243	
0.002030	-1.080446	
0.002040	-0.982747	
0.002050	-0.867188	
0.002060	-0.735940	
0.002070	-0.592087	
0.002080	-0.438921	
0.002090	-0.279867	
0.002100	-0.118413	
0.002110	0.041984	
0.002120	0.197978	
0.002130	0.346398	
0.002140	0.484279	
0.002150	0.608940	
0.002160	0.718030	
0.002170	0.809569	
0.002180	0.881342	
0.002190	0.932919	
0.002200	0.963632	
0.002210	0.973233	
0.002220	0.961476	
0.002230	0.930680	
0.002240	0.881069	
0.002250	0.814100	
0.002260	0.731675	
0.002270	0.636191	
0.002280	0.529449	
0.002290	0.413929	
0.002300	0.292247	
0.002310	0.167107	
0.002320	0.041226	
0.002330	-0.082729	
0.002340	-0.202209	
0.002350	-0.314800	
0.002360	-0.418279	
0.002370	-0.510655	
0.002380	-0.590210	
0.002390	-0.655054	
0.002400	-0.704618	
0.002410	-0.738188	
0.002420	-0.755355	
0.002430	-0.754648	
0.002440	-0.737693	
0.002450	-0.707649	
0.002460	-0.663590	
0.002470	-0.606671	
0.002480	-0.538362	
0.002490	-0.460675	
0.002500	-0.375047	
0.002510	-0.283443	
0.002520	-0.187920	
0.002530	-0.090581	
0.002540	0.006486	
0.002550	0.101242	
0.002560	0.191753	
0.002570	0.276210	
0.002580	0.352964	
0.002590	0.420568	
0.002600	0.477355	
0.002610	0.522777	
0.002620	0.556126	
0.002630	0.576945	
0.002640	0.584961	
0.002650	0.578383	
0.002660	0.561785	
0.002670	0.534106	
0.002680	0.495965	
0.002690	0.448353	
0.002700	0.392756	
0.002710	0.330178	
0.002720	0.262078	
0.002730	0.190004	
0.002740	0.115562	
0.002750	0.040371	
0.002760	-0.033971	
0.002770	-0.105917	
0.002780	-0.174009	
0.002790	-0.236900	
0.002800	-0.293376	
0.002810	-0.342001	
0.002820	-0.382286	
0.002830	-0.413570	
0.002840	-0.435385	
0.002850	-0.447435	
0.002860	-0.449497	
0.002870	-0.441666	
0.002880	-0.425566	
0.002890	-0.400874	
0.002900	-0.368434	
0.002910	-0.329076	
0.002920	-0.284018	
0.002930	-0.234040	
0.002940	-0.180294	
0.002950	-0.123992	
0.002960	-0.066372	
0.002970	-0.008674	
0.002980	0.047886	
0.002990	0.102142	
0.003000	0.152998	
0.003010	0.199462	
0.003020	0.240304	
0.003030	0.275115	
0.003040	0.303300	
0.003050	0.324412	
0.003060	0.338141	
0.003070	0.344280	
0.003080	0.342126	
0.003090	0.332979	
0.003100	0.317945	
0.003110	0.296731	
0.003120	0.269870	
0.003130	0.238041	
0.003140	0.202227	
0.003150	0.163018	
0.003160	0.121306	
0.003170	0.078019	
0.003180	0.034099	
0.003190	-0.009518	
0.003200	-0.051919	
0.003210	-0.092238	
0.003220	-0.129669	
0.003230	-0.163185	
0.003240	-0.192425	
0.003250	-0.216902	
0.003260	-0.236206	
0.003270	-0.250039	
0.003280	-0.258258	
0.003290	-0.260641	
0.003300	-0.255813	
0.003310	-0.247548	
0.003320	-0.234624	
0.003330	-0.217000	
0.003340	-0.195304	
0.003350	-0.170090	
0.003360	-0.141978	
0.003370	-0.111634	
0.003380	-0.079751	
0.003390	-0.047038	
0.003400	-0.014200	
0.003410	0.018073	
0.003420	0.049122	
0.003430	0.078329	
0.003440	0.105134	
0.003450	0.129040	
0.003460	0.149622	
0.003470	0.166538	
0.003480	0.179525	
0.003490	0.188403	
0.003500	0.193045	
0.003510	0.193039	
0.003520	0.188153	
0.003530	0.180759	
0.003540	0.169938	
0.003550	0.155819	
0.003560	0.138818	
0.003570	0.119361	
0.003580	0.097916	
0.003590	0.074985	
0.003600	0.051086	
0.003610	0.026744	
0.003620	0.002481	
0.003630	-0.021199	
0.003640	-0.043816	
0.003650	-0.064924	
0.003660	-0.084123	
0.003670	-0.101060	
0.003680	-0.115438	
0.003690	-0.127021	
0.003700	-0.135632	
0.003710	-0.141147	
0.003720	-0.143458	
0.003730	-0.141894	
0.003740	-0.137728	
0.003750	-0.131342	
0.003760	-0.122454	
0.003770	-0.111328	
0.003780	-0.098109	
0.003790	-0.083187	
0.003800	-0.066918	
0.003810	-0.049676	
0.003820	-0.031846	
0.003830	-0.013817	
0.003840	0.004029	
0.003850	0.021324	
0.003860	0.037720	
0.003870	0.052897	
0.003880	0.066570	
0.003890	0.078489	
0.003900	0.088449	
0.003910	0.096337	
0.003920	0.101919	
0.003930	0.105177	
0.003940	0.105879	
0.003950	0.103924	
0.003960	0.100435	
0.003970	0.095050	
0.003980	0.087854	
0.003990	0.079075	
0.004000	0.068904	
0.004010	0.057532	
0.004020	0.045257	
0.004030	0.032359	
0.004040	0.019124	
0.004050	0.005835	
0.004060	-0.007226	
0.004070	-0.019794	
0.004080	-0.031616	
0.004090	-0.042466	
0.004100	-0.052139	
0.004110	-0.060495	
0.004120	-0.067333	
0.004130	-0.072530	
0.004140	-0.076059	
0.004150	-0.077812	
0.004160	-0.077510	
0.004170	-0.075577	
0.004180	-0.072405	
0.004190	-0.068002	
0.004200	-0.062351	
0.004210	-0.055553	
0.004220	-0.047802	
0.004230	-0.039271	
0.004240	-0.030147	
0.004250	-0.020630	
0.004260	-0.010923	
0.004270	-0.001233	
0.004280	0.008238	
0.004290	0.017293	
0.004300	0.025748	
0.004310	0.033436	
0.004320	0.040206	
0.004330	0.045932	
0.004340	0.050511	
0.004350	0.053914	
0.004360	0.056043	
0.004370	0.056785	
0.004380	0.056160	
0.004390	0.054412	
0.004400	0.051768	
0.004410	0.048244	
0.004420	0.043856	
0.004430	0.038693	
0.004440	0.032859	
0.004450	0.026512	
0.004460	0.019791	
0.004470	0.012841	
0.004480	0.005813	
0.004490	-0.001146	
0.004500	-0.007891	
0.004510	-0.014284	
0.004520	-0.020199	
0.004530	-0.025519	
0.004540	-0.030144	
0.004550	-0.034022	
0.004560	-0.037062	
0.004570	-0.039207	
0.004580	-0.040396	
0.004590	-0.040557	
0.004600	-0.039881	
0.004610	-0.038417	
0.004620	-0.036288	
0.004630	-0.033563	
0.004640	-0.030258	
0.004650	-0.026436	
0.004660	-0.022179	
0.004670	-0.017583	
0.004680	-0.012750	
0.004690	-0.007787	
0.004700	-0.002798	
0.004710	0.002110	
0.004720	0.006838	
0.004730	0.011290	
0.004740	0.015379	
0.004750	0.019027	
0.004760	0.022164	
0.004770	0.024735	
0.004780	0.026688	
0.004790	0.027980	
0.004800	0.028549	
