t	x	
0.000000	0.000000	
0.000010	0.001849	
0.000020	0.013582	
0.000030	0.043673	
0.000040	0.099120	
0.000050	0.185415	
0.000060	0.306832	
0.000070	0.466578	
0.000080	0.666078	
0.000090	0.908598	
0.000100	1.186827	
0.000110	1.501864	
0.000120	1.851371	
0.000130	2.231818	
0.000140	2.638911	
0.000150	3.067789	
0.000160	3.513002	
0.000170	3.968772	
0.000180	4.429067	
0.000190	4.887703	
0.000200	5.338493	
0.000210	5.775356	
0.000220	6.192395	
0.000230	6.584046	
0.000240	6.945189	
0.000250	7.271149	
0.000260	7.557814	
0.000270	7.801694	
0.000280	7.999949	
0.000290	8.149952	
0.000300	8.250856	
0.000310	8.300124	
0.000320	8.302244	
0.000330	8.256316	
0.000340	8.164450	
0.000350	8.028420	
0.000360	7.851202	
0.000370	7.636377	
0.000380	7.388062	
0.000390	7.110810	
0.000400	6.809526	
0.000410	6.489487	
0.000420	6.156134	
0.000430	5.815033	
0.000440	5.471765	
0.000450	5.131848	
0.000460	4.800675	
0.000470	4.483352	
0.000480	4.184728	
0.000490	3.909251	
0.000500	3.660943	
0.000510	3.443331	
0.000520	3.259428	
0.000530	3.111646	
0.000540	3.002251	
0.000550	2.931928	
0.000560	2.905572	
0.000570	2.914150	
0.000580	2.960996	
0.000590	3.044417	
0.000600	3.163024	
0.000610	3.314409	
0.000620	3.495670	
0.000630	3.703468	
0.000640	3.934092	
0.000650	4.183536	
0.000660	4.447548	
0.000670	4.721712	
0.000680	5.001526	
0.000690	5.282466	
0.000700	5.560063	
0.000710	5.829960	
0.000720	6.088023	
0.000730	6.330353	
0.000740	6.553372	
0.000750	6.753832	
0.000760	6.928910	
0.000770	7.076229	
0.000780	7.193402	
0.000790	7.279527	
0.000800	7.333690	
0.000810	7.353626	
0.000820	7.343503	
0.000830	7.302257	
0.000840	7.230928	
0.000850	7.131597	
0.000860	7.005783	
0.000870	6.855888	
0.000880	6.684665	
0.000890	6.495168	
0.000900	6.290687	
0.000910	6.074703	
0.000920	5.850824	
0.000930	5.622724	
0.000940	5.394086	
0.000950	5.168545	
0.000960	4.949607	
0.000970	4.740649	
0.000980	4.544824	
0.000990	4.365028	
0.001000	4.203855	
0.001010	4.063574	
0.001020	3.946094	
0.001030	3.853342	
0.001040	3.785973	
0.001050	3.744685	
0.001060	3.732195	
0.001070	3.743142	
0.001080	3.779330	
0.001090	3.839866	
0.001100	3.922987	
0.001110	4.027458	
0.001120	4.151290	
0.001130	4.292221	
0.001140	4.447744	
0.001150	4.615168	
0.001160	4.791651	
0.001170	4.974246	
0.001180	5.159962	
0.001190	5.345807	
0.001200	5.528835	
0.001210	5.706187	
0.001220	5.875148	
0.001230	6.033178	
0.001240	6.177938	
0.001250	6.307342	
0.001260	6.419573	
0.001270	6.513124	
0.001280	6.586434	
0.001290	6.639020	
0.001300	6.670309	
0.001310	6.678779	
0.001320	6.667873	
0.001330	6.636302	
0.001340	6.585039	
0.001350	6.515583	
0.001360	6.428927	
0.001370	6.326710	
0.001380	6.210794	
0.001390	6.083232	
0.001400	5.946226	
0.001410	5.802101	
0.001420	5.653259	
0.001430	5.502135	
0.001440	5.351159	
0.001450	5.202728	
0.001460	5.059144	
0.001470	4.922606	
0.001480	4.795166	
0.001490	4.678703	
0.001500	4.574891	
0.001510	4.485172	
0.001520	4.411112	
0.001530	4.353289	
0.001540	4.312371	
0.001550	4.288828	
0.001560	4.283257	
0.001570	4.294081	
0.001580	4.321453	
0.001590	4.364729	
0.001600	4.422632	
0.001610	4.494370	
0.001620	4.578595	
0.001630	4.673779	
0.001640	4.778240	
0.001650	4.890179	
0.001660	5.007701	
0.001670	5.128849	
0.001680	5.251645	
0.001690	5.374116	
0.001700	5.494319	
0.001710	5.610398	
0.001720	5.720577	
0.001730	5.823205	
0.001740	5.916777	
0.001750	5.999950	
0.001760	6.071567	
0.001770	6.130339	
0.001780	6.175859	
0.001790	6.207602	
0.001800	6.225485	
0.001810	6.227102	
0.001820	6.216920	
0.001830	6.193391	
0.001840	6.157054	
0.001850	6.108998	
0.001860	6.049841	
0.001870	5.980691	
0.001880	5.902798	
0.001890	5.817535	
0.001900	5.726366	
0.001910	5.630834	
0.001920	5.532528	
0.001930	5.433049	
0.001940	5.333995	
0.001950	5.236923	
0.001960	5.143338	
0.001970	5.054667	
0.001980	4.972238	
0.001990	4.897261	
0.002000	4.830809	
0.002010	4.773805	
0.002020	4.727304	
0.002030	4.691586	
0.002040	4.667063	
0.002050	4.653945	
0.002060	4.653497	
0.002070	4.662867	
0.002080	4.682986	
0.002090	4.713402	
0.002100	4.753186	
0.002110	4.801861	
0.002120	4.858520	
0.002130	4.922142	
0.002140	4.991608	
0.002150	5.065726	
0.002160	5.143246	
0.002170	5.222879	
0.002180	5.303331	
0.002190	5.383310	
0.002200	5.461563	
0.002210	5.536878	
0.002220	5.608110	
0.002230	5.674194	
0.002240	5.734163	
0.002250	5.787160	
0.002260	5.832167	
0.002270	5.868873	
0.002280	5.896826	
0.002290	5.915705	
0.002300	5.925258	
0.002310	5.924822	
0.002320	5.916411	
0.002330	5.899325	
0.002340	5.873981	
0.002350	5.841164	
0.002360	5.801245	
0.002370	5.754962	
0.002380	5.703148	
0.002390	5.646711	
0.002400	5.586618	
0.002410	5.523882	
0.002420	5.459544	
0.002430	5.394651	
0.002440	5.330239	
0.002450	5.267316	
0.002460	5.206854	
0.002470	5.149772	
0.002480	5.096922	
0.002490	5.049076	
0.002500	5.006919	
0.002510	4.971235	
0.002520	4.942287	
0.002530	4.920426	
0.002540	4.905910	
0.002550	4.900259	
0.002560	4.901244	
0.002570	4.908670	
0.002580	4.923004	
0.002590	4.943937	
0.002600	4.970844	
0.002610	5.003400	
0.002620	5.041005	
0.002630	5.082985	
0.002640	5.128607	
0.002650	5.177089	
0.002660	5.227616	
0.002670	5.279349	
0.002680	5.331450	
0.002690	5.383087	
0.002700	5.433455	
0.002710	5.481776	
0.002720	5.527317	
0.002730	5.569400	
0.002740	5.607410	
0.002750	5.640627	
0.002760	5.668771	
0.002770	5.691481	
0.002780	5.708480	
0.002790	5.719558	
0.002800	5.723714	
0.002810	5.722416	
0.002820	5.715933	
0.002830	5.703943	
0.002840	5.686700	
0.002850	5.664556	
0.002860	5.638110	
0.002870	5.607669	
0.002880	5.573778	
0.002890	5.537028	
0.002900	5.498048	
0.002910	5.457492	
0.002920	5.416031	
0.002930	5.374335	
0.002940	5.333070	
0.002950	5.292880	
0.002960	5.254383	
0.002970	5.218162	
0.002980	5.184754	
0.002990	5.154646	
0.003000	5.128422	
0.003010	5.106288	
0.003020	5.088526	
0.003030	5.075355	
0.003040	5.066950	
0.003050	5.064008	
0.003060	5.065451	
0.003070	5.071045	
0.003080	5.081011	
0.003090	5.095147	
0.003100	5.113163	
0.003110	5.134567	
0.003120	5.159122	
0.003130	5.186390	
0.003140	5.215898	
0.003150	5.247141	
0.003160	5.279595	
0.003170	5.312725	
0.003180	5.345997	
0.003190	5.378880	
0.003200	5.410859	
0.003210	5.441445	
0.003220	5.470174	
0.003230	5.496620	
0.003240	5.520255	
0.003250	5.540883	
0.003260	5.558227	
0.003270	5.572065	
0.003280	5.582225	
0.003290	5.588686	
0.003300	5.590628	
0.003310	5.589155	
0.003320	5.584382	
0.003330	5.576153	
0.003340	5.564630	
0.003350	5.550047	
0.003360	5.532811	
0.003370	5.513100	
0.003380	5.491264	
0.003390	5.467682	
0.003400	5.442758	
0.003410	5.416907	
0.003420	5.390553	
0.003430	5.364121	
0.003440	5.338034	
0.003450	5.312698	
0.003460	5.288503	
0.003470	5.265815	
0.003480	5.244970	
0.003490	5.226394	
0.003500	5.210229	
0.003510	5.196690	
0.003520	5.185951	
0.003530	5.178149	
0.003540	5.173339	
0.003550	5.172307	
0.003560	5.173730	
0.003570	5.177737	
0.003580	5.184463	
0.003590	5.193773	
0.003600	5.205483	
0.003610	5.219253	
0.003620	5.234956	
0.003630	5.252311	
0.003640	5.271019	
0.003650	5.290763	
0.003660	5.311214	
0.003670	5.332037	
0.003680	5.352895	
0.003690	5.373457	
0.003700	5.393402	
0.003710	5.412422	
0.003720	5.430230	
0.003730	5.446444	
0.003740	5.460942	
0.003750	5.473524	
0.003760	5.484024	
0.003770	5.492305	
0.003780	5.498284	
0.003790	5.501843	
0.003800	5.502273	
0.003810	5.500965	
0.003820	5.497760	
0.003830	5.492353	
0.003840	5.484923	
0.003850	5.475625	
0.003860	5.464642	
0.003870	5.452181	
0.003880	5.438530	
0.003890	5.423837	
0.003900	5.408349	
0.003910	5.392326	
0.003920	5.376029	
0.003930	5.359720	
0.003940	5.343659	
0.003950	5.328097	
0.003960	5.313340	
0.003970	5.299564	
0.003980	5.286968	
0.003990	5.275725	
0.004000	5.265987	
0.004010	5.257877	
0.004020	5.251495	
0.004030	5.246876	
0.004040	5.244187	
0.004050	5.243929	
0.004060	5.244863	
0.004070	5.247497	
0.004080	5.251794	
0.004090	5.257663	
0.004100	5.264983	
0.004110	5.273612	
0.004120	5.283387	
0.004130	5.294133	
0.004140	5.305659	
0.004150	5.317770	
0.004160	5.330261	
0.004170	5.342930	
0.004180	5.355572	
0.004190	5.367989	
0.004200	5.379990	
0.004210	5.391395	
0.004220	5.402034	
0.004230	5.411757	
0.004240	5.420427	
0.004250	5.427928	
0.004260	5.434164	
0.004270	5.439107	
0.004280	5.442585	
0.004290	5.444582	
0.004300	5.444739	
0.004310	5.443976	
0.004320	5.441855	
0.004330	5.438512	
0.004340	5.433934	
0.004350	5.428238	
0.004360	5.421535	
0.004370	5.413949	
0.004380	5.405617	
0.004390	5.396685	
0.004400	5.387306	
0.004410	5.377636	
0.004420	5.367835	
0.004430	5.358058	
0.004440	5.348459	
0.004450	5.339186	
0.004460	5.330380	
0.004470	5.322169	
0.004480	5.314671	
0.004490	5.307991	
0.004500	5.302220	
0.004510	5.297392	
0.004520	5.293642	
0.004530	5.291026	
0.004540	5.289605	
0.004550	5.289514	
0.004560	5.290137	
0.004570	5.291802	
0.004580	5.294444	
0.004590	5.297987	
0.004600	5.302409	
0.004610	5.307605	
0.004620	5.313478	
0.004630	5.319924	
0.004640	5.326829	
0.004650	5.334075	
0.004660	5.341543	
0.004670	5.349109	
0.004680	5.356652	
0.004690	5.364054	
0.004700	5.371202	
0.004710	5.377987	
0.004720	5.384308	
0.004730	5.390077	
0.004740	5.395210	
0.004750	5.399663	
0.004760	5.403335	
0.004770	5.406174	
0.004780	5.408171	
0.004790	5.409207	
0.004800	5.409255	
0.004810	5.408745	
0.004820	5.407422	
0.004830	5.405345	
0.004840	5.402576	
0.004850	5.399164	
0.004860	5.395166	
