t	x	
0.002900	5.484427	
0.002910	5.474145	
0.002920	5.461752	
0.002930	5.447450	
0.002940	5.431580	
0.002950	5.414510	
0.002960	5.396626	
0.002970	5.378320	
0.002980	5.359988	
0.002990	5.342016	
0.003000	5.324777	
0.003010	5.308616	
0.003020	5.293949	
0.003030	5.280966	
0.003040	5.269902	
0.003050	5.260947	
0.003060	5.254249	
0.003070	5.249928	
0.003080	5.248268	
0.003090	5.248906	
0.003100	5.251518	
0.003110	5.256244	
0.003120	5.262954	
0.003130	5.271468	
0.003140	5.281483	
0.003150	5.292847	
0.003160	5.305294	
0.003170	5.318540	
0.003180	5.332288	
0.003190	5.346239	
0.003200	5.360095	
0.003210	5.373565	
0.003220	5.386374	
0.003230	5.398181	
0.003240	5.408825	
0.003250	5.418118	
0.003260	5.425894	
0.003270	5.432021	
0.003280	5.436415	
0.003290	5.438964	
0.003300	5.439167	
0.003310	5.438229	
0.003320	5.435721	
0.003330	5.431591	
0.003340	5.426013	
0.003350	5.419141	
0.003360	5.411152	
0.003370	5.402242	
0.003380	5.392623	
0.003390	5.382514	
0.003400	5.372140	
0.003410	5.361725	
0.003420	5.351487	
0.003430	5.341636	
0.003440	5.332367	
0.003450	5.323859	
0.003460	5.316269	
0.003470	5.309732	
0.003480	5.304359	
0.003490	5.300234	
0.003500	5.297428	
0.003510	5.296105	
0.003520	5.296385	
0.003530	5.297504	
0.003540	5.299787	
0.003550	5.303219	
0.003560	5.307687	
0.003570	5.313072	
0.003580	5.319238	
0.003590	5.326035	
0.003600	5.333305	
0.003610	5.340883	
0.003620	5.348603	
0.003630	5.356299	
0.003640	5.363812	
0.003650	5.370988	
0.003660	5.377687	
0.003670	5.383781	
0.003680	5.389159	
0.003690	5.393724	
0.003700	5.397401	
0.003710	5.400129	
0.003720	5.401852	
0.003730	5.402323	
0.003740	5.401932	
0.003750	5.400796	
0.003760	5.398801	
0.003770	5.396020	
0.003780	5.392478	
0.003790	5.388291	
0.003800	5.383563	
0.003810	5.378406	
0.003820	5.372939	
0.003830	5.367285	
0.003840	5.361567	
0.003850	5.355906	
0.003860	5.350419	
0.003870	5.345216	
0.003880	5.340400	
0.003890	5.336060	
0.003900	5.332277	
0.003910	5.329101	
0.003920	5.326620	
0.003930	5.324859	
0.003940	5.323907	
0.003950	5.323823	
0.003960	5.324248	
0.003970	5.325315	
0.003980	5.327009	
0.003990	5.329266	
0.004000	5.332035	
0.004010	5.335266	
0.004020	5.338870	
