t	u	
0.000000	0.000000	
0.000010	0.307588	
0.000020	0.605714	
0.000030	0.894669	
0.000040	1.174731	
0.000050	1.446173	
0.000060	1.709258	
0.000070	1.964238	
0.000080	2.211216	
0.000090	2.450595	
0.000100	2.682590	
0.000110	2.906547	
0.000120	3.124538	
0.000130	3.335818	
0.000140	3.540618	
0.000150	3.739263	
0.000160	3.931809	
0.000170	4.118440	
0.000180	4.299334	
0.000190	4.474667	
0.000200	4.644607	
0.000210	4.809318	
0.000220	4.968963	
0.000230	5.123697	
0.000240	5.273673	
0.000250	5.419035	
0.000260	5.559927	
0.000270	5.696487	
0.000280	5.828844	
0.000290	5.957129	
0.000300	6.081464	
0.000310	6.201970	
0.000320	6.318680	
0.000330	6.431801	
0.000340	6.541437	
0.000350	6.647710	
0.000360	6.750352	
0.000370	6.850188	
0.000380	6.946970	
0.000390	7.040780	
0.000400	7.131782	
0.000410	7.219990	
0.000420	7.305487	
0.000430	7.388356	
0.000440	7.468678	
0.000450	7.546528	
0.000460	7.621983	
0.000470	7.695118	
0.000480	7.766003	
0.000490	7.834708	
0.000500	7.901300	
0.000510	7.965845	
0.000520	8.028405	
0.000530	8.089039	
0.000540	8.147808	
0.000550	8.204768	
0.000560	8.259972	
0.000570	8.313434	
0.000580	8.365251	
0.000590	8.415472	
0.000600	8.464134	
0.000610	8.511245	
0.000620	8.556967	
0.000630	8.601295	
0.000640	8.644263	
0.000650	8.685950	
0.000660	8.726357	
0.000670	8.765524	
0.000680	8.803486	
0.000690	8.840282	
0.000700	8.875946	
0.000710	8.910512	
0.000720	8.944015	
0.000730	8.976488	
0.000740	9.007961	
0.000750	9.038468	
0.000760	9.068037	
0.000770	9.096696	
0.000780	9.124474	
0.000790	9.151397	
0.000800	9.177490	
0.000810	9.202755	
0.000820	9.227244	
0.000830	9.250980	
0.000840	9.273983	
0.000850	9.296272	
0.000860	9.317810	
0.000870	9.338758	
0.000880	9.359066	
0.000890	9.378751	
0.000900	9.397852	
0.000910	9.416366	
0.000920	9.434312	
0.000930	9.451707	
0.000940	9.468567	
0.000950	9.484908	
0.000960	9.500746	
0.000970	9.516097	
0.000980	9.530976	
0.000990	9.545398	
0.001000	9.559376	
0.001010	9.572925	
0.001020	9.586057	
0.001030	9.598785	
0.001040	9.611121	
0.001050	9.623077	
0.001060	9.634653	
0.001070	9.645873	
0.001080	9.656747	
0.001090	9.667288	
0.001100	9.677498	
0.001110	9.687404	
0.001120	9.697001	
0.001130	9.706306	
0.001140	9.715326	
0.001150	9.724077	
0.001160	9.732560	
0.001170	9.740782	
0.001180	9.748752	
0.001190	9.756477	
0.001200	9.763964	
0.001210	9.771221	
