t	u	
0.000000	0.000000	
0.000010	0.605736	
0.000020	1.174779	
0.000030	1.709343	
0.000040	2.211510	
0.000050	2.683237	
0.000060	3.126367	
0.000070	3.542619	
0.000080	3.933333	
0.000090	4.300354	
0.000100	4.642658	
0.000110	4.966655	
0.000120	5.271148	
0.000130	5.557489	
0.000140	5.826519	
0.000150	6.079271	
0.000160	6.316723	
0.000170	6.539799	
0.000180	6.749366	
0.000190	6.946240	
0.000200	7.131190	
0.000210	7.304940	
0.000220	7.468167	
0.000230	7.621507	
0.000240	7.765558	
0.000250	7.900885	
0.000260	8.028015	
0.000270	8.147444	
0.000280	8.259635	
0.000290	8.365026	
0.000300	8.464027	
0.000310	8.556936	
0.000320	8.644217	
0.000330	8.726195	
0.000340	8.802708	
0.000350	8.875112	
0.000360	8.943149	
0.000370	9.007140	
0.000380	9.067263	
0.000390	9.123748	
0.000400	9.176814	
0.000410	9.226668	
0.000420	9.273503	
0.000430	9.317502	
0.000440	9.358836	
0.000450	9.397666	
0.000460	9.434145	
0.000470	9.468415	
0.000480	9.500609	
0.000490	9.530853	
0.000500	9.559265	
0.000510	9.585956	
0.000520	9.611031	
0.000530	9.634586	
0.000540	9.656713	
0.000550	9.677498	
0.000560	9.697003	
0.000570	9.715327	
0.000580	9.732538	
0.000590	9.748592	
0.000600	9.763790	
0.000610	9.778073	
0.000620	9.791494	
0.000630	9.804118	
0.000640	9.815979	
0.000650	9.827122	
0.000660	9.837591	
0.000670	9.847426	
0.000680	9.856665	
0.000690	9.865345	
0.000700	9.873499	
0.000710	9.881160	
0.000720	9.888356	
0.000730	9.895117	
0.000740	9.901468	
0.000750	9.907434	
0.000760	9.913040	
0.000770	9.918305	
0.000780	9.923252	
0.000790	9.927899	
0.000800	9.932258	
0.000810	9.936354	
0.000820	9.940202	
0.000830	9.943816	
0.000840	9.947187	
0.000850	9.950381	
0.000860	9.953381	
0.000870	9.956199	
0.000880	9.958851	
0.000890	9.961342	
0.000900	9.963683	
0.000910	9.965882	
0.000920	9.967948	
0.000930	9.969889	
0.000940	9.971712	
0.000950	9.973425	
0.000960	9.975034	
0.000970	9.976545	
0.000980	9.977966	
0.000990	9.979300	
0.001000	9.980553	
0.001010	9.981731	
0.001020	9.982837	
0.001030	9.983876	
0.001040	9.984852	
0.001050	9.985768	
0.001060	9.986628	
0.001070	9.987436	
0.001080	9.988195	
0.001090	9.988902	
0.001100	9.989572	
0.001110	9.990203	
0.001120	9.990795	
0.001130	9.991352	
0.001140	9.991875	
0.001150	9.992367	
0.001160	9.992829	
0.001170	9.993264	
0.001180	9.993671	
0.001190	9.994054	
0.001200	9.994414	
0.001210	9.994753	
0.001220	9.995070	
0.001230	9.995369	
0.001240	9.995649	
0.001250	9.995912	
0.001260	9.996160	
0.001270	9.996392	
0.001280	9.996611	
0.001290	9.996816	
0.001300	9.997008	
0.001310	9.997189	
0.001320	9.997359	
0.001330	9.997518	
0.001340	9.997667	
0.001350	9.997808	
0.001360	9.997941	
0.001370	9.998065	
0.001380	9.998182	
0.001390	9.998292	
0.001400	9.998395	
0.001410	9.998493	
0.001420	9.998584	
0.001430	9.998670	
0.001440	9.998750	
0.001450	9.998826	
0.001460	9.998897	
0.001470	9.998964	
0.001480	9.999026	
0.001490	9.999085	
0.001500	9.999141	
0.001510	9.999193	
0.001520	9.999242	
0.001530	9.999287	
0.001540	9.999330	
0.001550	9.999371	
0.001560	9.999409	
0.001570	9.999445	
0.001580	9.999478	
0.001590	9.999509	
0.001600	9.999539	
0.001610	9.999567	
0.001620	9.999593	
0.001630	9.999618	
0.001640	9.999641	
0.001650	9.999662	
0.001660	9.999683	
0.001670	9.999702	
0.001680	9.999720	
0.001690	9.999737	
0.001700	9.999753	
0.001710	9.999768	
0.001720	9.999782	
0.001730	9.999795	
0.001740	9.999808	
0.001750	9.999819	
0.001760	9.999830	
0.001770	9.999840	
0.001780	9.999850	
0.001790	9.999859	
0.001800	9.999868	
0.001810	9.999876	
0.001820	9.999883	
0.001830	9.999890	
0.001840	9.999897	
0.001850	9.999903	
0.001860	9.999909	
0.001870	9.999914	
0.001880	9.999919	
0.001890	9.999924	
0.001900	9.999929	
0.001910	9.999933	
0.001920	9.999937	
0.001930	9.999941	
0.001940	9.999945	
0.001950	9.999948	
0.001960	9.999951	
0.001970	9.999954	
0.001980	9.999957	
0.001990	9.999959	
0.002000	9.999962	
0.002010	9.999964	
0.002020	9.999966	
0.002030	9.999968	
0.002040	9.999970	
0.002050	9.999972	
0.002060	9.999974	
0.002070	9.999975	
0.002080	9.999977	
0.002090	9.999978	
0.002100	9.999980	
0.002110	9.999981	
0.002120	9.999982	
0.002130	9.999983	
0.002140	9.999984	
0.002150	9.999985	
0.002160	9.999986	
0.002170	9.999987	
0.002180	9.999988	
0.002190	9.999988	
0.002200	9.999989	
0.002210	9.999990	
0.002220	9.999990	
0.002230	9.999991	
0.002240	9.999991	
0.002250	9.999992	
0.002260	9.999992	
0.002270	9.999993	
0.002280	9.999993	
0.002290	9.999994	
0.002300	9.999994	
0.002310	9.999994	
0.002320	9.999995	
0.002330	9.999995	
0.002340	9.999995	
0.002350	9.999996	
0.002360	9.999996	
0.002370	9.999996	
0.002380	9.999996	
0.002390	9.999997	
0.002400	9.999997	
0.002410	9.999997	
0.002420	9.999997	
0.002430	9.999997	
0.002440	9.999998	
0.002450	9.999998	
0.002460	9.999998	
0.002470	9.999998	
0.002480	9.999998	
0.002490	9.999998	
0.002500	9.999998	
0.002510	9.999998	
0.002520	9.999999	
0.002530	9.999999	
0.002540	9.999999	
0.002550	9.999999	
0.002560	9.999999	
0.002570	9.999999	
0.002580	9.999999	
0.002590	9.999999	
0.002600	9.999999	
0.002610	9.999999	
0.002620	9.999999	
0.002630	9.999999	
0.002640	9.999999	
0.002650	9.999999	
0.002660	9.999999	
0.002670	9.999999	
0.002680	9.999999	
0.002690	9.999999	
0.002700	10.000000	
0.002710	10.000000	
0.002720	10.000000	
0.002730	10.000000	
0.002740	10.000000	
0.002750	10.000000	
0.002760	10.000000	
0.002770	10.000000	
0.002780	10.000000	
0.002790	10.000000	
0.002800	10.000000	
0.002810	10.000000	
0.002820	10.000000	
0.002830	10.000000	
0.002840	10.000000	
0.002850	10.000000	
0.002860	10.000000	
0.002870	10.000000	
0.002880	10.000000	
0.002890	10.000000	
0.002900	10.000000	
0.002910	10.000000	
0.002920	10.000000	
0.002930	10.000000	
0.002940	10.000000	
0.002950	10.000000	
0.002960	10.000000	
0.002970	10.000000	
0.002980	10.000000	
0.002990	10.000000	
0.003000	10.000000	
0.003010	10.000000	
0.003020	10.000000	
0.003030	10.000000	
0.003040	10.000000	
0.003050	10.000000	
0.003060	10.000000	
0.003070	10.000000	
0.003080	10.000000	
0.003090	10.000000	
0.003100	10.000000	
0.003110	10.000000	
0.003120	10.000000	
0.003130	10.000000	
0.003140	10.000000	
0.003150	10.000000	
0.003160	10.000000	
0.003170	10.000000	
0.003180	10.000000	
0.003190	10.000000	
0.003200	10.000000	
0.003210	10.000000	
0.003220	10.000000	
0.003230	10.000000	
0.003240	10.000000	
0.003250	10.000000	
0.003260	10.000000	
0.003270	10.000000	
0.003280	10.000000	
0.003290	10.000000	
0.003300	10.000000	
0.003310	10.000000	
0.003320	10.000000	
0.003330	10.000000	
0.003340	10.000000	
0.003350	10.000000	
0.003360	10.000000	
0.003370	10.000000	
0.003380	10.000000	
0.003390	10.000000	
0.003400	10.000000	
0.003410	10.000000	
0.003420	10.000000	
0.003430	10.000000	
0.003440	10.000000	
0.003450	10.000000	
0.003460	10.000000	
0.003470	10.000000	
0.003480	10.000000	
0.003490	10.000000	
0.003500	10.000000	
0.003510	10.000000	
0.003520	10.000000	
0.003530	10.000000	
0.003540	10.000000	
0.003550	10.000000	
0.003560	10.000000	
0.003570	10.000000	
0.003580	10.000000	
0.003590	10.000000	
0.003600	10.000000	
0.003610	10.000000	
0.003620	10.000000	
0.003630	10.000000	
0.003640	10.000000	
0.003650	10.000000	
0.003660	10.000000	
0.003670	10.000000	
0.003680	10.000000	
0.003690	10.000000	
0.003700	10.000000	
0.003710	10.000000	
0.003720	10.000000	
0.003730	10.000000	
0.003740	10.000000	
0.003750	10.000000	
0.003760	10.000000	
0.003770	10.000000	
0.003780	10.000000	
0.003790	10.000000	
0.003800	10.000000	
0.003810	10.000000	
0.003820	10.000000	
