t	u	
0.002540	9.949241	
0.002550	9.950285	
0.002560	9.951307	
0.002570	9.952309	
0.002580	9.953290	
0.002590	9.954249	
0.002600	9.955187	
0.002610	9.956102	
0.002620	9.957002	
0.002630	9.957885	
0.002640	9.958751	
0.002650	9.959600	
0.002660	9.960430	
0.002670	9.961244	
0.002680	9.962041	
0.002690	9.962822	
0.002700	9.963586	
0.002710	9.964335	
0.002720	9.965069	
0.002730	9.965787	
0.002740	9.966491	
0.002750	9.967180	
0.002760	9.967855	
0.002770	9.968516	
0.002780	9.969163	
0.002790	9.969797	
0.002800	9.970419	
0.002810	9.971027	
0.002820	9.971623	
0.002830	9.972206	
0.002840	9.972777	
0.002850	9.973335	
0.002860	9.973879	
0.002870	9.974414	
0.002880	9.974940	
0.002890	9.975455	
0.002900	9.975960	
0.002910	9.976454	
0.002920	9.976939	
0.002930	9.977413	
0.002940	9.977877	
0.002950	9.978332	
0.002960	9.978778	
0.002970	9.979214	
0.002980	9.979642	
0.002990	9.980060	
0.003000	9.980471	
0.003010	9.980872	
0.003020	9.981266	
0.003030	9.981651	
0.003040	9.982028	
0.003050	9.982398	
0.003060	9.982760	
0.003070	9.983114	
0.003080	9.983461	
0.003090	9.983801	
0.003100	9.984132	
0.003110	9.984456	
0.003120	9.984774	
0.003130	9.985087	
0.003140	9.985393	
0.003150	9.985693	
0.003160	9.985988	
0.003170	9.986276	
0.003180	9.986558	
0.003190	9.986835	
0.003200	9.987105	
0.003210	9.987371	
0.003220	9.987630	
0.003230	9.987885	
0.003240	9.988134	
0.003250	9.988378	
0.003260	9.988617	
0.003270	9.988851	
0.003280	9.989080	
0.003290	9.989305	
0.003300	9.989525	
0.003310	9.989740	
0.003320	9.989951	
0.003330	9.990157	
0.003340	9.990359	
0.003350	9.990556	
0.003360	9.990749	
0.003370	9.990938	
0.003380	9.991124	
0.003390	9.991307	
0.003400	9.991485	
0.003410	9.991660	
0.003420	9.991832	
0.003430	9.991999	
0.003440	9.992164	
0.003450	9.992325	
0.003460	9.992483	
0.003470	9.992638	
0.003480	9.992789	
0.003490	9.992937	
0.003500	9.993083	
0.003510	9.993225	
0.003520	9.993364	
0.003530	9.993501	
0.003540	9.993634	
0.003550	9.993765	
0.003560	9.993893	
0.003570	9.994019	
0.003580	9.994141	
0.003590	9.994261	
0.003600	9.994379	
0.003610	9.994493	
0.003620	9.994606	
0.003630	9.994716	
0.003640	9.994825	
0.003650	9.994931	
0.003660	9.995035	
0.003670	9.995137	
0.003680	9.995237	
0.003690	9.995335	
0.003700	9.995431	
0.003710	9.995525	
0.003720	9.995617	
0.003730	9.995707	
0.003740	9.995795	
0.003750	9.995881	
0.003760	9.995966	
0.003770	9.996049	
0.003780	9.996130	
0.003790	9.996210	
0.003800	9.996287	
0.003810	9.996364	
0.003820	9.996438	
0.003830	9.996511	
0.003840	9.996583	
0.003850	9.996652	
0.003860	9.996721	
0.003870	9.996788	
0.003880	9.996854	
0.003890	9.996918	
0.003900	9.996981	
0.003910	9.997043	
0.003920	9.997104	
0.003930	9.997163	
0.003940	9.997222	
0.003950	9.997279	
0.003960	9.997335	
0.003970	9.997389	
0.003980	9.997443	
0.003990	9.997496	
0.004000	9.997547	
0.004010	9.997597	
0.004020	9.997647	
0.004030	9.997695	
0.004040	9.997742	
0.004050	9.997789	
0.004060	9.997834	
0.004070	9.997879	
0.004080	9.997922	
0.004090	9.997964	
0.004100	9.998006	
0.004110	9.998047	
0.004120	9.998087	
0.004130	9.998126	
0.004140	9.998164	
0.004150	9.998202	
0.004160	9.998238	
0.004170	9.998275	
0.004180	9.998310	
0.004190	9.998345	
0.004200	9.998379	
0.004210	9.998412	
0.004220	9.998445	
0.004230	9.998477	
0.004240	9.998508	
0.004250	9.998538	
0.004260	9.998568	
0.004270	9.998598	
0.004280	9.998627	
0.004290	9.998655	
0.004300	9.998682	
0.004310	9.998709	
0.004320	9.998736	
0.004330	9.998762	
0.004340	9.998787	
0.004350	9.998812	
0.004360	9.998836	
0.004370	9.998860	
0.004380	9.998883	
0.004390	9.998906	
0.004400	9.998928	
0.004410	9.998950	
0.004420	9.998972	
0.004430	9.998993	
0.004440	9.999013	
0.004450	9.999034	
0.004460	9.999053	
0.004470	9.999073	
0.004480	9.999092	
0.004490	9.999110	
0.004500	9.999129	
0.004510	9.999147	
0.004520	9.999164	
0.004530	9.999181	
0.004540	9.999198	
0.004550	9.999214	
0.004560	9.999231	
0.004570	9.999246	
0.004580	9.999262	
0.004590	9.999277	
0.004600	9.999291	
0.004610	9.999306	
0.004620	9.999320	
0.004630	9.999334	
0.004640	9.999348	
0.004650	9.999361	
0.004660	9.999374	
0.004670	9.999387	
0.004680	9.999399	
0.004690	9.999412	
0.004700	9.999424	
0.004710	9.999435	
0.004720	9.999447	
0.004730	9.999458	
0.004740	9.999469	
0.004750	9.999480	
0.004760	9.999491	
0.004770	9.999501	
0.004780	9.999512	
0.004790	9.999521	
0.004800	9.999531	
0.004810	9.999541	
0.004820	9.999550	
0.004830	9.999559	
0.004840	9.999568	
0.004850	9.999577	
0.004860	9.999586	
0.004870	9.999594	
0.004880	9.999603	
0.004890	9.999611	
0.004900	9.999619	
0.004910	9.999626	
0.004920	9.999634	
0.004930	9.999641	
0.004940	9.999649	
0.004950	9.999656	
0.004960	9.999663	
0.004970	9.999670	
0.004980	9.999677	
0.004990	9.999683	
0.005000	9.999690	
0.005010	9.999696	
0.005020	9.999702	
0.005030	9.999708	
0.005040	9.999714	
0.005050	9.999720	
0.005060	9.999726	
0.005070	9.999731	
0.005080	9.999737	
0.005090	9.999742	
0.005100	9.999748	
0.005110	9.999753	
0.005120	9.999758	
0.005130	9.999763	
0.005140	9.999768	
0.005150	9.999772	
0.005160	9.999777	
0.005170	9.999781	
0.005180	9.999786	
0.005190	9.999790	
0.005200	9.999795	
0.005210	9.999799	
0.005220	9.999803	
0.005230	9.999807	
0.005240	9.999811	
0.005250	9.999815	
0.005260	9.999818	
0.005270	9.999822	
0.005280	9.999826	
0.005290	9.999829	
0.005300	9.999833	
0.005310	9.999836	
0.005320	9.999840	
0.005330	9.999843	
0.005340	9.999846	
0.005350	9.999849	
0.005360	9.999852	
0.005370	9.999855	
0.005380	9.999858	
0.005390	9.999861	
0.005400	9.999864	
0.005410	9.999867	
0.005420	9.999869	
0.005430	9.999872	
0.005440	9.999875	
0.005450	9.999877	
0.005460	9.999880	
0.005470	9.999882	
0.005480	9.999885	
0.005490	9.999887	
0.005500	9.999889	
0.005510	9.999892	
0.005520	9.999894	
0.005530	9.999896	
0.005540	9.999898	
0.005550	9.999900	
0.005560	9.999902	
0.005570	9.999904	
0.005580	9.999906	
0.005590	9.999908	
0.005600	9.999910	
0.005610	9.999912	
0.005620	9.999914	
0.005630	9.999915	
0.005640	9.999917	
0.005650	9.999919	
0.005660	9.999920	
0.005670	9.999922	
0.005680	9.999924	
0.005690	9.999925	
0.005700	9.999927	
0.005710	9.999928	
0.005720	9.999930	
0.005730	9.999931	
0.005740	9.999933	
0.005750	9.999934	
0.005760	9.999935	
0.005770	9.999937	
0.005780	9.999938	
0.005790	9.999939	
0.005800	9.999940	
0.005810	9.999942	
0.005820	9.999943	
0.005830	9.999944	
