t	v	
0.000000	0.000000	
0.000010	-0.423859	
0.000020	-0.833614	
0.000030	-1.223240	
0.000040	-1.587619	
0.000050	-1.920979	
0.000060	-2.218539	
0.000070	-2.476156	
0.000080	-2.690397	
0.000090	-2.858549	
0.000100	-2.978675	
0.000110	-3.049674	
0.000120	-3.071211	
0.000130	-3.043736	
0.000140	-2.968475	
0.000150	-2.847419	
0.000160	-2.683213	
0.000170	-2.479149	
0.000180	-2.239103	
0.000190	-1.967466	
0.000200	-1.669042	
0.000210	-1.348688	
0.000220	-1.012433	
0.000230	-0.665866	
0.000240	-0.314691	
0.000250	0.034396	
0.000260	0.377203	
0.000270	0.708184	
0.000280	1.022306	
0.000290	1.315546	
0.000300	1.583202	
0.000310	1.821460	
0.000320	2.027014	
0.000330	2.197130	
0.000340	2.329687	
0.000350	2.423163	
0.000360	2.476736	
0.000370	2.490205	
0.000380	2.463999	
0.000390	2.399189	
0.000400	2.297442	
0.000410	2.160955	
0.000420	1.992448	
0.000430	1.795104	
0.000440	1.572514	
0.000450	1.328614	
0.000460	1.067375	
0.000470	0.793727	
0.000480	0.512216	
0.000490	0.227438	
0.000500	-0.055118	
0.000510	-0.332115	
0.000520	-0.599092	
0.000530	-0.851982	
0.000540	-1.087660	
0.000550	-1.302291	
0.000560	-1.492803	
0.000570	-1.656577	
0.000580	-1.791449	
0.000590	-1.895751	
0.000600	-1.968297	
0.000610	-2.008479	
0.000620	-2.016192	
0.000630	-1.991836	
0.000640	-1.936350	
0.000650	-1.851104	
0.000660	-1.737927	
0.000670	-1.599058	
0.000680	-1.437111	
0.000690	-1.255027	
0.000700	-1.056022	
0.000710	-0.843334	
0.000720	-0.620994	
0.000730	-0.392692	
0.000740	-0.162177	
0.000750	0.066195	
0.000760	0.289663	
0.000770	0.504653	
0.000780	0.707901	
0.000790	0.896999	
0.000800	1.068805	
0.000810	1.220887	
0.000820	1.351153	
0.000830	1.457889	
0.000840	1.539778	
0.000850	1.595909	
0.000860	1.625838	
0.000870	1.629528	
0.000880	1.607343	
0.000890	1.560093	
0.000900	1.488917	
0.000910	1.395324	
0.000920	1.281155	
0.000930	1.148554	
0.000940	0.999923	
0.000950	0.837586	
0.000960	0.664863	
0.000970	0.484660	
0.000980	0.299963	
0.000990	0.113827	
0.001000	-0.070264	
0.001010	-0.250140	
0.001020	-0.422853	
0.001030	-0.585819	
0.001040	-0.737177	
0.001050	-0.874384	
0.001060	-0.995499	
0.001070	-1.098863	
0.001080	-1.183124	
0.001090	-1.247251	
0.001100	-1.290537	
0.001110	-1.312662	
0.001120	-1.313633	
0.001130	-1.293793	
0.001140	-1.253817	
0.001150	-1.194652	
0.001160	-1.117541	
0.001170	-1.023993	
0.001180	-0.915760	
0.001190	-0.794800	
0.001200	-0.662995	
0.001210	-0.523058	
0.001220	-0.377343	
0.001230	-0.228241	
0.001240	-0.078629	
0.001250	0.069072	
0.001260	0.213168	
0.001270	0.351341	
