  t                         w                         alpha
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  0.12239619187345104       1.16344089126513755E-004
  2.00000000000000004E-003  0.24177614745270792       4.62755688728811202E-004
  3.00000000000000006E-003  0.35823364365528554       1.03207897607742252E-003
  4.00000000000000008E-003  0.47184023636594713       1.81885599915979318E-003
  5.00000000000000010E-003  0.58266571649496379       2.81776343005586813E-003
  6.00000000000000012E-003  0.69077816619252652       4.02360827716064656E-003
  7.00000000000000015E-003  0.79624400076850121       5.43132468774411726E-003
  8.00000000000000017E-003  0.89912800953879668       7.03597083237514700E-003
  9.00000000000000105E-003  0.99949339565351125       8.83272586701709488E-003
  1.00000000000000002E-002   1.0974018631856803       1.08168832902991278E-002
  1.09999999999999994E-002   1.1929134919758919       1.29838604897919152E-002
  1.20000000000000002E-002   1.2860869587003094       1.53291818799596476E-002
  1.30000000000000011E-002   1.3769795034891210       1.78484814483510362E-002
  1.40000000000000003E-002   1.4656469650907875       2.05375000734324513E-002
  1.49999999999999994E-002   1.5521438151732470       2.33920829082521764E-002
  1.60000000000000003E-002   1.6365231917830769       2.64081768283282066E-002
  1.70000000000000012E-002   1.7188369319831218       2.95818279422025432E-002
  1.80000000000000021E-002   1.7991356319364376       3.29091770085145202E-002
  1.89999999999999995E-002   1.8774685934391000       3.63864635142320675E-002
  2.00000000000000004E-002   1.9538839369949648       4.00100170498310995E-002
  2.10000000000000013E-002   2.0284286050660465       4.37762570613719690E-002
  2.19999999999999987E-002   2.1011483909132971       4.76816906506581095E-002
  2.29999999999999996E-002   2.1720879667311825       5.17229104292607419E-002
  2.40000000000000005E-002   2.2412909110933437       5.58965924250905896E-002
  2.50000000000000014E-002   2.3087997357262329       6.01994940402290346E-002
  2.60000000000000023E-002   2.3746559116271588       6.46284520587637468E-002
  2.69999999999999997E-002   2.4388998945428688       6.91803807034009899E-002
  2.80000000000000006E-002   2.5015711669871381       7.38522684305580740E-002
  2.90000000000000015E-002   2.5627082666609802       7.86411757626005598E-002
  2.99999999999999989E-002   2.6223487479716265       8.35442382229970998E-002
  3.09999999999999998E-002   2.6805292522535531       8.85586609801841673E-002
  3.20000000000000007E-002   2.7372855235138798       9.36817176465795515E-002
  3.30000000000000016E-002   2.7926524303950684       9.89107486033694167E-002
  3.40000000000000024E-002   2.8466639875969877       0.10424315936653239     
  3.50000000000000033E-002   2.8993535179236565       0.10967640822666325     
  3.60000000000000042E-002   2.9507532488972426       0.11520803701739146     
  3.69999999999999982E-002   3.0008947526884771       0.12083563755952414     
  3.79999999999999991E-002   3.0498088286298923       0.12655686062239241     
  3.89999999999999999E-002   3.0975255221345526       0.13236941448081815     
  4.00000000000000008E-002   3.1440741431512071       0.13827106350744064     
  4.10000000000000017E-002   3.1894832841670073       0.14425962679955201     
  4.20000000000000026E-002   3.2337808377707074       0.15033297683945818     
  4.30000000000000035E-002   3.2769940137833502       0.15648903818782833     
  4.39999999999999974E-002   3.3191493559734320       0.16272578620874079     
  4.49999999999999983E-002   3.3602727583595660       0.16904124582618993     
  4.59999999999999992E-002   3.4003894811161173       0.17543349031087882     
  4.70000000000000001E-002   3.4395241660876956       0.18190064009684481     
  4.80000000000000010E-002   3.4777008519259884       0.18844086162689247     
  4.90000000000000019E-002   3.5149429888548256       0.19505236622638242     
  5.00000000000000028E-002   3.5512734530721390       0.20173340900471598     
  5.10000000000000037E-002   3.5867145620435510       0.20848228768881216     
  5.20000000000000046E-002   3.6212882212585851       0.21529733142922144     
  5.29999999999999985E-002   3.6550156694731810       0.22217692023184896     
  5.39999999999999994E-002   3.6879176251844639       0.22911947378553696     
  5.50000000000000003E-002   3.7200142993759266       0.23612345048992034     
