  t                          alpha1                    alpha2                    alpha3                    alpha4                    alpha5
  3.40000000000000024E-002  6.65215233541529977E-002  5.81125015797591404E-002  4.97034820387260712E-002  4.12944367957239142E-002  3.28854011773162813E-002
  3.50000000000000033E-002  7.11093238633402486E-002  6.22632917713356396E-002  5.34172666102959576E-002  4.45712158568194877E-002  3.57251746862194200E-002
  3.60000000000000042E-002  7.58249415558243101E-002  6.65342316627878239E-002  5.72435285766022747E-002  4.79527964575947180E-002  3.86620779073715073E-002
  3.69999999999999982E-002  8.06652220068164727E-002  7.09223669133270535E-002  6.11795184942762124E-002  5.14366411378689367E-002  4.16937769725686663E-002
  3.79999999999999991E-002  8.56270570216061122E-002  7.54247880581126739E-002  6.52225256323039626E-002  5.50202344168178523E-002  4.48179559922080584E-002
  3.89999999999999999E-002  9.07073891543083294E-002  8.00386310879640933E-002  6.93698794214949871E-002  5.87010991580554781E-002  4.80323312714236242E-002
  4.00000000000000008E-002  9.59032152360762002E-002  8.47610811184377755E-002  7.36189532645251526E-002  6.24767970452288768E-002  5.13346527820510226E-002
  4.10000000000000017E-002  0.10121158906933084       8.95893752212838790E-002  7.79671675047090701E-002  6.63449316879610174E-002  5.47227074059871144E-002
  4.20000000000000026E-002  0.10662962342133815       9.45208045516692380E-002  8.24119916869425762E-002  7.03031510163872053E-002  5.81943214635222902E-002
  4.30000000000000035E-002  0.11215449745498518       9.95527188076218567E-002  8.69509462243458070E-002  7.43491490778804970E-002  6.17473626403164735E-002
  4.39999999999999974E-002  0.11778344588044437       0.10468252435618602       9.15816087992599448E-002  7.84806689845190392E-002  6.53797414096491114E-002
  4.49999999999999983E-002  0.12351376454482636       0.10990768182646903       9.63016047401955011E-002  8.26955037114932290E-002  6.90894145246895297E-002
  4.59999999999999992E-002  0.12934280969016185       0.11522570819241290       0.10110861223425385       8.69914917450574227E-002  7.28743825658311611E-002
  4.70000000000000001E-002  0.13526800121388466       0.12063417854110763       0.10600036131896261       9.13665199088435631E-002  7.67326889337026780E-002
  4.80000000000000010E-002  0.14128682292923367       0.12613072597498379       0.11097463684251194       9.58185238693301800E-002  8.06624209581945084E-002
  4.90000000000000019E-002  0.14739681342898034       0.13171304217657864       0.11602927868142357       0.10034548902887987       8.46617112543120165E-002
  5.00000000000000028E-002  0.15359557553856634       0.13737887075728514       0.12116217366644394       0.10494545092204549       8.87287374448791771E-002
  5.10000000000000037E-002  0.15988077147833502       0.14312601387873874       0.12637126390040665       0.10961648876364193       9.28617226688745190E-002
  5.20000000000000046E-002  0.16625012195186908       0.14895232846416886       0.13165454252611497       0.11435673191460342       9.70589301188724690E-002
  5.29999999999999985E-002  0.17270140515652871       0.15485572530780145       0.13701005293460403       0.11916435636162040       0.10131866837708982     
  5.39999999999999994E-002  0.17923245687972991       0.16083416812148019       0.14243588790800429       0.12403758395620330       0.10563928836431306     
  5.50000000000000003E-002  0.18584116593739097       0.16688567360871703       0.14793018968433824       0.12897468160074563       0.11001918261961476     
  5.60000000000000012E-002  0.19252547644883081       0.17300830713108506       0.15349114608347897       0.13397396129564029       0.11445678453718827     
  5.70000000000000021E-002  0.19928338563449460       0.17920018494242407       0.15911699239264523       0.13903377651808158       0.11895056839104237     
  5.80000000000000029E-002  0.20611294264973046       0.18545947206345370       0.16480600949787119       0.14415252401903411       0.12349904601822551     
  5.90000000000000038E-002  0.21301211570392900       0.19178425934811799       0.17055652287964312       0.14932864206027308       0.12810076846160237     
  5.99999999999999978E-002  0.21997918899072108       0.19817293070501904       0.17636678923324955       0.15456060948675823       0.13275432434564105     
  6.09999999999999987E-002  0.22701236034655581       0.20462379083357377       0.18223533514435816       0.15984684201560170       0.13745833902622165     
  6.19999999999999996E-002  0.23410987486805609       0.21113518884926707       0.18816061374539056       0.16518600202049391       0.14221138066216982     
  6.30000000000000004E-002  0.24127002376172577       0.21770551720906989       0.19414111874186149       0.17057668445573870       0.14701224076236674     
  6.40000000000000013E-002  0.24849114320777380       0.22433321064895609       0.20017538342359673       0.17601752116527786       0.15185964972497015     
  6.50000000000000022E-002  0.25577161324021291       0.23101674513573131       0.20626197968829701       0.18150717997798679       0.15675237131011088     
  6.60000000000000031E-002  0.26310985664494219       0.23775463683493386       0.21239951707926435       0.18704436381522135       0.16168920181726384     
  6.70000000000000040E-002  0.27050433828689047       0.24454544110535767       0.21858664183872847       0.19262780981210487       0.16666896927449851     
  6.80000000000000049E-002  0.27795356347559308       0.25138775210824094       0.22482203617826946       0.19825628845372784       0.17169053264083023     
  6.90000000000000058E-002  0.28545607678679241       0.25828020054637263       0.23110441733221448       0.20392860301763363       0.17675278102262612     
  7.00000000000000067E-002  0.29301046133875769       0.26522145337320108       0.23743253608748963       0.20964358837872418       0.18185463318843453     
  7.10000000000000075E-002  0.30061533779514588       0.27221021285668023       0.24380517631467863       0.21540011001059370       0.18699503642027529     
  7.20000000000000084E-002  0.30826936339003130       0.27924521566366489       0.25022115411178258       0.22119706344276896       0.19217296567930242     
  7.29999999999999954E-002  0.31597123097518753       0.28632523196497495       0.25667931696706958       0.22703337348134189       0.19738742308952834     
  7.39999999999999963E-002  0.32371966708835620       0.29344906456114911       0.26317854294107512       0.23290799344721663       0.20263743723231678     
  7.49999999999999972E-002  0.33151343449384002       0.30061554726443057       0.26971773986771985       0.23881990443197573       0.20792206245699960     
  7.59999999999999981E-002  0.33935132731893286       0.30782354673946394       0.27629584397703899       0.24476811457130931       0.21324037820759803     
  7.69999999999999990E-002  0.34723217172239662       0.31507195856080217       0.28291182125492059       0.25075165784431719       0.21859148836556047     
  7.79999999999999999E-002  0.35515482505167761       0.32235970764392369       0.28956466418374854       0.25676959514444841       0.22397452016748112     
  7.90000000000000008E-002  0.36311817502129828       0.32968574747266699       0.29625339201563616       0.26282101149281462       0.22938862516109013     
  8.00000000000000017E-002  0.37112113842362737       0.33704905934617535       0.30297705006709519       0.26890501622408114       0.23483297669976938     
  8.10000000000000026E-002  0.37916266179474734       0.34444865117579199       0.30973470903160205       0.27502074234547141       0.24030677010514115     
  8.20000000000000034E-002  0.38724171927648415       0.35188355817851574       0.31652546387102215       0.28116734591210313       0.24580922208759604     
  8.30000000000000043E-002  0.39535731206410218       0.35935284081347990       0.32334843449174100       0.28734400501590240       0.25133957018162717     
  8.40000000000000052E-002  0.40350846684615238       0.36685558378534033       0.33020276380424057       0.29354992041717148       0.25689707183224669     
  8.50000000000000061E-002  0.41169423747505429       0.37439089621357169       0.33708761647496022       0.29978431375751152       0.26248100496466142     
  8.60000000000000070E-002  0.41991370152240859       0.38195791156442910       0.34400218017015777       0.30604642625634432       0.26809066637037726     
  8.70000000000000079E-002  0.42816596467017670       0.38955578527552115       0.35094566440332020       0.31233552038394907       0.27372537054342932     
  8.79999999999999949E-002  0.43645015405329379       0.39718369796296948       0.35791729888245416       0.31865087701868250       0.27938445115219057     
  8.89999999999999958E-002  0.44476542003920128       0.40484085021670962       0.36491633593583900       0.32499179923115573       0.28506725849619313     
  8.99999999999999967E-002  0.45311093561077698       0.41252646390460623       0.37194204631530897       0.33135760665748859       0.29077316294926547     
  9.09999999999999976E-002  0.46148589576555704       0.42023978160725783       0.37899372018355104       0.33774763704275623       0.29650154983893090     
  9.19999999999999984E-002  0.46988951693082570       0.42798006606769556       0.38607066659841244       0.34416124575996798       0.30225182085339669     
  9.29999999999999993E-002  0.47832103639423518       0.43574659965565443       0.39317221301086752       0.35059780534168650       0.30802339360693226     
  9.40000000000000002E-002  0.48677970891299377       0.44353868384608541       0.40029770477627841       0.35705670502408471       0.31381570121666730     
  9.50000000000000011E-002  0.49526481468903299       0.45135563605083168       0.40744650232040214       0.36353735030306317       0.31962819189060426     
  9.60000000000000020E-002  0.50377565044323391       0.45919679715408790       0.41461798771225011       0.37003916033507800       0.32546032852661921     
  9.70000000000000029E-002  0.51231153160603371       0.46706152305727183       0.42181155732346726       0.37656157399652274       0.33131158637053970     
  9.80000000000000038E-002  0.52087179181993248       0.47494918679705678       0.42902662358416099       0.38310404311121632       0.33718145846802416     
  9.90000000000000047E-002  0.52945578245525315       0.48285917808978024       0.43626261455596316       0.38966603408630379       0.34306944957185581     
  0.10000000000000001       0.53806287213874204       0.49079090288790450       0.44351897351634234       0.39624702752454166       0.34897507761015473     
  0.10100000000000001       0.54669244629461589       0.49874378294824573       0.45079515855403601       0.40284651784679620       0.35489787333601447     
  0.10200000000000001       0.55534390669787803       0.50671725541168444       0.45809064217513318       0.40946401292458723       0.36083737998651561     
  0.10300000000000001       0.56401667103941167       0.51471077239398899       0.46540491091964409       0.41609903372240264       0.36679315295066894     
  0.10400000000000001       0.57271017250267264       0.52272380058754142       0.47273746498824676       0.42275111394945014       0.37276475944628801     
  0.10500000000000000       0.58142385935158314       0.53075582087361417       0.48008781787895077       0.42941979972067451       0.37875177820535638     
  0.10600000000000000       0.59015719452941762       0.53880632794496941       0.48745549603340033       0.43610464922680553       0.38475379916779390     
  0.10700000000000000       0.59890965532533469       0.54687482993844827       0.49484003849257358       0.44280523241317232       0.39077042318331157     
  0.10800000000000000       0.60768073272817591       0.55496084813066315       0.50224099657005794       0.44952113066698252       0.39680126172126512     
  0.10900000000000000       0.61646993114020276       0.56306391624956598       0.50965793352304678       0.45625193653474300       0.40284593658811768     
  0.11000000000000000       0.62527676524654197       0.57118357954729804       0.51709042396959604       0.46299725335485881       0.40890407966613346     
  0.11100000000000000       0.63410076556328976       0.57931939431935808       0.52453805243938700       0.46975669482581223       0.41497533261148434     
  0.11200000000000000       0.64294147526069734       0.58747093073506884       0.53200041484041571       0.47652988338335617       0.42105934642161996     
  0.11300000000000000       0.65179844967537048       0.59563777041112320       0.53947711906873741       0.48331645233607418       0.42715578011690614     
  0.11400000000000000       0.66067125598610454       0.60381950610657431       0.54696778346296049       0.49011604560201977       0.43326430227919355     
