  t                         w1                        w2                        w3                        w4                        w5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  1.16718765621288555E-003  1.08539659494838220E-003  1.01431957603881850E-003  9.51979264102400797E-004  8.96856227390556275E-004
  2.00000000000000004E-003  8.27421354314918610E-003  7.69514604559459574E-003  7.19183723549373863E-003  6.75032679320512231E-003  6.35988955722355601E-003
  3.00000000000000006E-003  2.48163609575999221E-002  2.30832409836681136E-002  2.15763967072638702E-002  2.02542261691500969E-002  1.90847590040880075E-002
  4.00000000000000008E-003  5.24188737622352310E-002  4.87685107900483819E-002  4.55934511000020345E-002  4.28065360225252656E-002  4.03407035817037601E-002
  5.00000000000000010E-003  9.14743118459051263E-002  8.51271762514320823E-002  7.96036640421042274E-002  7.47532355235293183E-002  7.04599377816243488E-002
  6.00000000000000012E-003  0.14159747790295096       0.13181475724528677       0.12329629407846829       0.11581190761694486       0.10918409758973648     
  7.00000000000000015E-003  0.20193551337700524       0.18805358822973128       0.17595718671693925       0.16532268982801374       0.15589979251425429     
  8.00000000000000017E-003  0.27138021083621061       0.25282911029844474       0.23665127468773781       0.22241878089289083       0.20980027557838571     
  9.00000000000000105E-003  0.34871751151456659       0.32502827690690833       0.30435148821429786       0.28614710595344722       0.26999640312502948     
  1.00000000000000002E-002  0.43271450194384409       0.40351931122191598       0.37801227590116299       0.35553644764837322       0.33558165092103559     
  1.09999999999999994E-002  0.52218496420043570       0.48721243197503877       0.45662623665683760       0.42965053450894758       0.40568173484321757     
  1.20000000000000002E-002  0.61602473930727242       0.57509115923496901       0.53925316143487845       0.50761566941012570       0.47948016796258852     
  1.30000000000000011E-002  0.71322520587681604       0.66623068250888862       0.62503662717724340       0.58863347165695623       0.55623103661969164     
  1.40000000000000003E-002  0.81288834860824599       0.75980076649993855       0.71320634190094467       0.67198757275625864       0.63526425287103883     
  1.49999999999999994E-002  0.91421746768683188       0.85506702070184737       0.80308389783326106       0.75704560210127358       0.71598784961587469     
  1.60000000000000003E-002   1.0165215339429217       0.95139070877397991       0.89407420747238231       0.84325207658779666       0.79788121607187923     
