   t                         w1                        w2                       w3                        w4                        w5    
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  1.01431957603881850E-003 -8.48318600329545265E-003 -1.79803959389286255E-002 -2.74775697031625944E-002 -3.69746497833496890E-002
  2.00000000000000004E-003  7.19183723549373863E-003 -1.17379586815803683E-002 -3.06669841189678577E-002 -4.95961806221551366E-002 -6.85257485864343013E-002
  3.00000000000000006E-003  2.15763967072638702E-002 -6.67261247582050850E-003 -3.49208961605527654E-002 -6.31695311762516670E-002 -9.14180933534118334E-002
  4.00000000000000008E-003  4.55934511000020345E-002  8.17147006350370762E-003 -2.92496792558674529E-002 -6.66710111643969150E-002 -0.10409230629818453     
  5.00000000000000010E-003  7.96036640421042274E-002  3.31783731945532179E-002 -1.32464253310984985E-002 -5.96721835622488414E-002 -0.10609704292151670     
  6.00000000000000012E-003  0.12329629407846829       6.80522191814223881E-002  1.28085612265045629E-002 -4.24374521604680977E-002 -9.76815916712536342E-002
  7.00000000000000015E-003  0.17595718671693925       0.11208818075686341       4.82202967004139102E-002 -1.56515382417730109E-002 -7.95216735791648005E-002
  8.00000000000000017E-003  0.23665127468773781       0.16435790011626994       9.20650318109326321E-002  1.97679251010271645E-002 -5.25281033844126333E-002
  9.00000000000000105E-003  0.30435148821429786       0.22383435986164099       0.14331828632704804       6.27987432914866306E-002 -1.77203894860972384E-002
  1.00000000000000002E-002  0.37801227590116299       0.28947518036665171       0.20093822350511317       0.11239830087100165       2.38593557187052399E-002
  1.09999999999999994E-002  0.45662623665683760       0.36027051655254627       0.26391521676729190       0.16755694278408301       7.11989405405861753E-002
  1.20000000000000002E-002  0.53925316143487845       0.43527815123647029       0.33130292770928327       0.22732596142180903       0.12334889360942357     
  1.30000000000000011E-002  0.62503662717724340       0.51363712378916415       0.40223857526310069       0.29083875264863862       0.17943845520824117     
  1.40000000000000003E-002  0.71320634190094467       0.59457598731860495       0.47594591812323789       0.35731552618920304       0.23868471615755280     
  1.49999999999999994E-002  0.80308389783326106       0.67741161575857167       0.55173965504288025       0.42606561703688917       0.30039309316354829     
  1.60000000000000003E-002  0.89407420747238231       0.76154482940744295       0.62901573425913704       0.49648479785636135       0.36395376250874778     
  1.70000000000000012E-002  0.98566427872188656       0.84645831855243869       0.70725262646354647       0.56804536625857183       0.42883798042470533     
  1.80000000000000021E-002   1.0774142638853541       0.93170830208555433       0.78600221758426236       0.64029481841146796       0.49458734985699587     
  1.89999999999999995E-002   1.1689511963448584        1.0169167706680822       0.86488254638818129       0.71284687193028717       0.56081116134623232     
  2.00000000000000004E-002   1.2599604722412157        1.1017651886464501       0.94357009499111855       0.78537419424495880       0.62717780467422535     
  2.10000000000000013E-002   1.3501792831262394        1.1859864983956054        1.0217938856979167       0.85760061848778046       0.69340732719593590     
  2.19999999999999987E-002   1.4393901938097291        1.2693590131979449        1.0993279974114589       0.92929649302893025       0.75926499745155940     
  2.29999999999999996E-002   1.5274149970471564        1.3517005436720713        1.1759860955216646        1.0002713437407753       0.82455654625093133     
  2.40000000000000005E-002   1.6141091683083792        1.4328624095087785        1.2516156768499316        1.0703687212822246       0.88912161347266161     
  2.50000000000000014E-002   1.6993572417049776        1.5127255423845685        1.3260935430859868        1.1394613774325211       0.95282912735977732     
  2.60000000000000023E-002   1.7830694027448692        1.5911955641610440        1.3993217619199896        1.2074475363781205        1.0155732599337877     
  2.69999999999999997E-002   1.8651766572323227        1.6682000692063041        1.4712235280726171        1.2742466700571082        1.0772699730396862     
  2.80000000000000006E-002   1.9456281805831444        1.7436844725100160        1.5417408375994059        1.3397970350411923        1.1378533741496892     
  2.90000000000000015E-002   2.0243882144445147        1.8176095317387131        1.6108309142334842        1.4040521804632140        1.1972736097101346     
  2.99999999999999989E-002   2.1014337815660586        1.8899487630890299        1.6784638039758086        1.4669787732559558        1.2554938681124213     
