  t                         I1                        I2                        I3                        I4                        I5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  0.15906691761055211       0.15907661965312034       0.15908511402555955       0.15909265242270465       0.15909944292010764     
  2.00000000000000004E-003  0.54101062436343728       0.54113135701857862       0.54123621134853583       0.54132823596292357       0.54140969633647096     
  3.00000000000000006E-003   1.0382516044497647        1.0387692902908674        1.0392193143679471        1.0396142112890390        1.0399630320735787     
  4.00000000000000008E-003   1.5790820427473724        1.5804783834747957        1.5816925918287936        1.5827581815160359        1.5837005218200781     
  5.00000000000000010E-003   2.1171174466191798        2.1200374110657738        2.1225771405969498        2.1248064253088628        2.1267786702389389     
  6.00000000000000012E-003   2.6238290388009977        2.6290231391023915        2.6335431783200494        2.6375124024752918        2.6410255437106303     
  7.00000000000000015E-003   3.0827400053550118        3.0910160121357664        3.0982220202648514        3.1045529413891946        3.1101565807844938     
  8.00000000000000017E-003   3.4857214934226133        3.4978937822908160        3.5084988848914969        3.5178211033879494        3.5260795538571248     
  9.00000000000000105E-003   3.8301677603147537        3.8470181591908248        3.8617091449733039        3.8746307243810540        3.8860853073753132     
  1.00000000000000002E-002   4.1170145636806890        4.1392617562888292        4.1586726136712064        4.1757568672431145        4.1909107949122681     
  1.09999999999999994E-002   4.3493790561054793        4.3776592811648696        4.4023543792191342        4.4241051433236960        4.4434104678322717     
  1.20000000000000002E-002   4.5315966404803323        4.5664589648045997        4.5969221354279064        4.6237705450273943        4.6476215027565129     
  1.30000000000000011E-002   4.6686065407439070        4.7104807587304469        4.7471126806210968        4.7794256943119517        4.8081508688298307     
  1.40000000000000003E-002   4.7654909757084134        4.8147218813045649        4.8578447091610295        4.8959096175629293        4.9297730679497782     
  1.49999999999999994E-002   4.8272588267145560        4.8840895733627221        4.9339218984023985        4.9779538534827186        5.0171568586060244     
  1.60000000000000003E-002   4.8586311498250474        4.9232136753090776        4.9799067432301891        5.0300536693185744        5.0747388580363566     
  1.70000000000000012E-002   4.8639628655775384        4.9363654122816243        4.9999985775817448        5.0563458754713810        5.1066010803180459     
  1.80000000000000021E-002   4.8472036238113798        4.9274189482687225        4.9980065140240066        5.0605839565203201        5.1164427697585984     
  1.89999999999999995E-002   4.8118755648739633        4.8998304520129592        4.9773295820256367        5.0461147552433099        5.1075767996358676     
  2.00000000000000004E-002   4.7610965523959381        4.8566602680618187        4.9409780846136897        5.0159058328759469        5.0829266033050429     
  2.10000000000000013E-002   4.6975986553273392        4.8005914836016839        4.8915922286380971        4.9725595977072077        5.0450598741604562     
  2.19999999999999987E-002   4.6237581790535911        4.7339593840393084        4.8314699829440722        4.9183413410803540        4.9962138822865292     
  2.29999999999999996E-002   4.5416255863141739        4.6587810718286393        4.7626010770568890        4.8552153596064320        4.9383318309965114     
  2.40000000000000005E-002   4.4529699699007717        4.5767987107875010        4.6867021595386751        4.7848758620373895        4.8730859564070181     
  2.50000000000000014E-002   4.3593048511309265        4.4895048240562527        4.6052464872527228        4.7087785058055287        4.8019118235100287     
  2.60000000000000023E-002   4.2619084233062141        4.3981627061772821        4.5194832541812691        4.6281592898830937        4.7260419251292500     
  2.69999999999999997E-002   4.1618685501076218        4.3038493891374996        4.4304788483398374        4.5440743884664787        4.6465179922259656     
  2.80000000000000006E-002   4.0600999065654682        4.2074726765935901        4.3391337669938981        4.4574169087700000        4.5642258682806736     
  2.90000000000000015E-002   3.9573709254232132        4.1097979652929864        4.2462095308111438        4.3689440905082577        4.4799183736217039     
  2.99999999999999989E-002   3.8543247933150724        4.0114679989635507        4.1523471514527071        4.2792930161272098        4.3942298085559397     
  3.09999999999999998E-002   3.7514946523056012        3.9130180194723336        4.0580823677612106        4.1890019639172449        4.3076968898725481     
  3.20000000000000007E-002   3.6493225569393819        3.8148941013983708        3.9638633606085154        4.0985182408006580        4.2207670690619663     
  3.30000000000000016E-002   3.5481688883138705        3.7174624829207170        3.8700601329037179        4.0082141675637217        4.1338139658032995     
  3.40000000000000024E-002   3.4483264280414390        3.6210231678666895        3.7769776669003767        3.9183981227905198        4.0471482184058836     
  3.50000000000000033E-002   3.3500302800408841        3.5258195645496513        3.6848653260177997        3.8293237432783789        3.9610265109619580     
  3.60000000000000042E-002   3.2534677052498231        3.4320480980237114        3.5939262794951978        3.7411991906165318        3.8756607060833530     
  3.69999999999999982E-002   3.1587845225827151        3.3398644039190590        3.5043235179770096        3.6541930098768893        3.7912235635075531     
  3.79999999999999991E-002   3.0660919615241604        3.2493900041450443        3.4161863830877466        3.5684405379677524        3.7078550471320333     
  3.89999999999999999E-002   2.9754722008190946        3.1607176959272576        3.3296158292825955        3.4840490564674429        3.6256673835480546     
  4.00000000000000008E-002   2.8869830893824941        3.0739161466166496        3.2446889110349737        3.4011021862804984        3.5447493764681735     
  4.10000000000000017E-002   2.8006621543812740        2.9890338052829000        3.1614626038518079        3.3196636304864082        3.4651700816089455     
  4.20000000000000026E-002   2.7165299824363220        2.9061022149837403        3.0799770537845061        3.2397803581439382        3.3869819331683066     
  4.30000000000000035E-002   2.6345932431775716        2.8251388418053964        3.0002582825106812        3.1614852555705495        3.3102233524738391     
  4.39999999999999974E-002   2.5548470982905482        2.7461495463947236        2.9223207109433358        3.0847995732592990        3.2349211183435966     
  4.49999999999999983E-002   2.4772772129195917        2.6691305445412388        2.8461689986778378        3.0097347890218229        3.1610922518005040     
  4.59999999999999992E-002   2.4018615142099442        2.5940701034981255        2.7717997001889785        2.9362942288008762        3.0887455858077995     
  4.70000000000000001E-002   2.3285716751300192        2.5209499951962315        2.6992027449061777        2.8644744672956119        3.0178831431295787     
  4.80000000000000010E-002   2.2573743881079635        2.4497467330909415        2.6283626147931050        2.7942664723319988        2.9485012848524512     
  4.90000000000000019E-002   2.1882323430691173        2.3804325798052748        2.5592593741646881        2.7256567089103725        2.8805917682287725     
  5.00000000000000028E-002   2.1211051808559880        2.3129764303760592        2.4918694932307335        2.6586278872595335        2.8141424545625524     
  5.10000000000000037E-002   2.0559502185784777        2.2473445520427551        2.4261665966934234        2.5931597152159602        2.7491381046836154     
  5.20000000000000046E-002   1.9927230670277647        2.1835011964812048        2.3621220694669356        2.5292294969579081        2.6855609616046938     
  5.29999999999999985E-002   1.9313781461077093        2.1214091128800376        2.2997055656680021        2.4668126371046202        2.6233912431950981     
  5.39999999999999994E-002   1.8718691405691199        2.0610299959031306        2.2388854484982876        2.4058830727923115        2.5626075669536923     
