  t                         I1                        I2                        I3                        I4                        I5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003   4.4525020777566899        4.4435668164585582        4.4326269904645352        4.4254179277219450        4.4208170622614844     
  2.00000000000000004E-003   6.2861000355759584        6.2257754865070405        6.1776024769632212        6.1498471062898483        6.1333904207454131     
  3.00000000000000006E-003   6.6577999947996300        6.5277763371772872        6.4326093131278688        6.3798837604148195        6.3493362994046336     
  4.00000000000000008E-003   6.7187441273497557        6.5158729511506266        6.3729657680021568        6.2950977228063811        6.2504888144070314     
  5.00000000000000010E-003   6.7197841459550798        6.4446602576896304        6.2553313674573632        6.1533008659714126        6.0951919656447560     
  6.00000000000000012E-003   6.7094907103652224        6.3633816655667950        6.1292965881300354        6.0041289590685736        5.9332276910186312     
  7.00000000000000015E-003   6.6971186214963527        6.2813973796387588        6.0041915286396712        5.8569982178553683        5.7739384394425510     
  8.00000000000000017E-003   6.6844017824946640        6.2004410546119013        5.8817634528442841        5.7136011496182251        5.6190076864626928     
  9.00000000000000105E-003   6.6716731746313265        6.1208324770926508        5.7622843125823850        5.5741677051680085        5.4686437151378158     
  1.00000000000000002E-002   6.6589951446109410        6.0426072355995251        5.6457394607896498        5.4386435157671293        5.3227671747890444     
  1.09999999999999994E-002   6.6463784043728191        5.9657514760291264        5.5320672923678078        5.3069279536082599        5.1812528474271842     
  1.20000000000000002E-002   6.6338246041539364        5.8902428577625940        5.4211985800357834        5.1789136825732802        5.0439719211353857     
  1.30000000000000011E-002   6.6213337776558676        5.8160580239293971        5.3130644045737663        5.0544990876503109        4.9107962174924626     
  1.40000000000000003E-002   6.6089056714490546        5.7431738042349156        5.2075973438876568        4.9335829811837604        4.7816051613130712     
  1.49999999999999994E-002   6.5965399810641703        5.6715673998451495        5.1047316106854534        4.8160669802697997        4.6562793878394517     
  1.60000000000000003E-002   6.5842363935245718        5.6012164069230703        5.0044030375522617        4.7018554642375214        4.5347031948730336     
  1.70000000000000012E-002   6.5719945970610549        5.5320988143391956        4.9065490403343288        4.5908555017234463        4.4167645489487457     
  1.80000000000000021E-002   6.5598142807221489        5.4641929973478307        4.8111085792516315        4.4829767753612959        4.3023546002544339     
  1.89999999999999995E-002   6.5476951351769017        5.3974777443266380        4.7180221206065420        4.3781315080856187        4.1913677564591465     
  2.00000000000000004E-002   6.5356368527388451        5.3319321296008786        4.6272315994659863        4.2762343915382939        4.0837015851069989     
  2.10000000000000013E-002   6.5236391273523004        5.2675356514157716        4.5386803833261498        4.1772025165618292        3.9792567190077341     
  2.19999999999999987E-002   6.5117016545737503        5.2042681673045355        4.4523133174170413        4.0809553248117592        3.8779367927952442     
  2.29999999999999996E-002   6.4998241315533045        5.1421098877341631        4.3680763833921139        3.9874145289818586        3.7796482449860096     
  2.40000000000000005E-002   6.4880061221024850        5.0810413698656038        4.2859170565148643        3.8965038920655557        3.6843003665331682     
  2.50000000000000014E-002   6.4762474598977686        5.0210435371708000        4.2057841059398040        3.8081494768143553        3.5918051135000248     
  2.60000000000000023E-002   6.4645478468280393        4.9620975951442086        4.1276276344665650        3.7222794217958821        3.5020771581817414     
  2.69999999999999997E-002   6.4529069863037245        4.9041851028037096        4.0513988337015618        3.6388239959450113        3.4150338583748034     
  2.80000000000000006E-002   6.4413245832457227        4.8472879425198867        3.9770501557606504        3.5577151907021376        3.3305947542545700     
