  t                         U1                        U2                        U3                        U4                        U5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  0.76758426808157521       0.76758394032289134       0.76758362170171990       0.76758331042854155       0.76758300320926454     
  2.00000000000000004E-003   1.4173364893255576        1.4173361580626491        1.4173358434161154        1.4173355376868932        1.4173352378003543     
  3.00000000000000006E-003   1.9673394818500789        1.9673391975867631        1.9673389170526401        1.9673386361746963        1.9673384032876999     
  4.00000000000000008E-003   2.4329094130181024        2.4329093065349023        2.4329091907739602        2.4329090648455685        2.4329089717420169     
  5.00000000000000010E-003   2.8270279915155099        2.8270274343737847        2.8270270475614918        2.8270267690199296        2.8270266016650272     
  6.00000000000000012E-003   3.1606275406908542        3.1606271649369795        3.1606269462268233        3.1606268286692512        3.1606268123837649     
  7.00000000000000015E-003   3.4430102795258781        3.4430101717151413        3.4430101750471720        3.4430102478024596        3.4430138787363691     
  8.00000000000000017E-003   3.6820466048599849        3.6820471539642554        3.6820478027002088        3.6820484892186855        3.6820521657205822     
  9.00000000000000105E-003   3.8843804381801554        3.8843808865748071        3.8843814281718934        3.8843820090333514        3.8843851268786964     
  1.00000000000000002E-002   4.0556552965383466        4.0556555847655655        4.0556559698792434        4.0556564033102935        4.0556589967128893     
  1.09999999999999994E-002   4.2006387958704856        4.2006390890066525        4.2006394195710115        4.2006397635103374        4.2006419205216226     
  1.20000000000000002E-002   4.3233605245508455        4.3233655558004038        4.3233657132254528        4.3233634699800270        4.3233663751684199     
  1.30000000000000011E-002   4.4272424294667667        4.4272445592901057        4.4272454913067394        4.4272443110727586        4.4272474217476105     
  1.40000000000000003E-002   4.5151686463389895        4.5151704663930055        4.5151764040113926        4.5151757857825681        4.5151787668976402     
  1.49999999999999994E-002   4.5895967103538542        4.5895982361514944        4.5896032590855835        4.5896027408585844        4.5896052750797534     
  1.60000000000000003E-002   4.6525989844357492        4.6526002656239838        4.6526045174301087        4.6526040870688234        4.6526062472609606     
  1.70000000000000012E-002   4.7059295877831149        4.7059306810003152        4.7059342948343899        4.7059339500446127        4.7059357608619923     
  1.80000000000000021E-002   4.7510746077220611        4.7510754964758224        4.7510785355914091        4.7510786292228904        4.7510783815114834     
  1.89999999999999995E-002   4.7892891997142915        4.7892899636987636        4.7892925575076752        4.7892926658210211        4.7892924915450275     
  2.00000000000000004E-002   4.8216373028033139        4.8216379973265013        4.8216402466981796        4.8216403965706442        4.8216403103958303     
  2.10000000000000013E-002   4.8490195085539547        4.8490201647553981        4.8490221413794323        4.8490223438088327        4.8490219456364931     
  2.19999999999999987E-002   4.8721981537550159        4.8721987574668857        4.8722001230848475        4.8722001575748406        4.8721992221787414     
  2.29999999999999996E-002   4.8918175761782274        4.8918181248161030        4.8918193037956454        4.8918193426592849        4.8918185646044865     
  2.40000000000000005E-002   4.9084253307816059        4.9084257958417146        4.9084267862801996        4.9084268033858116        4.9084261210437639     
