  t                         U1                        U2                        U3                        U4                        U5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  0.76758972492232236       0.76758965017209402       0.76758965662054979       0.76758945776966714       0.76758938680008326     
  2.00000000000000004E-003   1.4173361864848941        1.4173391182675457        1.4173409593385327        1.4173403049300273        1.4173406188315860     
  3.00000000000000006E-003   1.9673353082668892        1.9673393708664493        1.9673427193735071        1.9673425334669676        1.9673429118666284     
  4.00000000000000008E-003   2.4329001189860260        2.4329132941716130        2.4329130090200843        2.4329117705032264        2.4329114047977836     
  5.00000000000000010E-003   2.8270575220940719        2.8270491496180230        2.8270216166131710        2.8270240882594271        2.8270226565344094     
  6.00000000000000012E-003   3.1606882444664386        3.1606358505106988        3.1606168887248249        3.1606211936059014        3.1606208816669437     
  7.00000000000000015E-003   3.4430816754271532        3.4430147932011339        3.4429940668542476        3.4430015327296948        3.4430037180592614     
  8.00000000000000017E-003   3.6821218168005019        3.6820427200129777        3.6820263349649451        3.6820319825139647        3.6820358179359993     
  9.00000000000000105E-003   3.8844476976802622        3.8843739689254408        3.8843663087013738        3.8843701886956019        3.8843733982181843     
  1.00000000000000002E-002   4.0557136668603837        4.0556449753452437        4.0556415638477894        4.0556426692569065        4.0556462295718010     
  1.09999999999999994E-002   4.2006869627271399        4.2006249227189425        4.2006218503870043        4.2006246295593597        4.2006289998707640     
  1.20000000000000002E-002   4.3234038413575462        4.3233463300261965        4.3233485707204631        4.3233502080941086        4.3233530481864060     
  1.30000000000000011E-002   4.4272822828144651        4.4272312358596757        4.4272330657109018        4.4272326122720962        4.4272343054925223     
  1.40000000000000003E-002   4.5152130313369270        4.5151722371285636        4.5151686085094145        4.5151670728115869        4.5151618905747810     
  1.49999999999999994E-002   4.5896444582476263        4.5896079840781736        4.5895970503204220        4.5895956519027479        4.5895912265675420     
  1.60000000000000003E-002   4.6526495905963392        4.6526133747601435        4.6525993855373970        4.6525981099934892        4.6525943589305410     
  1.70000000000000012E-002   4.7059771854348034        4.7059420497853894        4.7059299198637703        4.7059288315376770        4.7059256685489856     
  1.80000000000000021E-002   4.7511173625532068        4.7510838901260835        4.7510735358334246        4.7510726387197000        4.7510699463518105     
  1.89999999999999995E-002   4.7893278065786937        4.7892949811824517        4.7892869423521232        4.7892873289758509        4.7892851266884460     
  2.00000000000000004E-002   4.8216717567003151        4.8216400609778889        4.8216351857876738        4.8216355814340792        4.8216337393000064     
  2.10000000000000013E-002   4.8490507970079744        4.8490198118935677        4.8490176535198799        4.8490179607816115        4.8490163843501612     
  2.19999999999999987E-002   4.8722258906469911        4.8721965059228367        4.8721965889527130        4.8721967762153851        4.8721954044713680     
  2.29999999999999996E-002   4.8918444820869746        4.8918160091364484        4.8918166757366022        4.8918170546711837        4.8918161272452743     
  2.40000000000000005E-002   4.9084497558680082        4.9084236789546898        4.9084244090197755        4.9084247580163085        4.9084239891297186     
  2.50000000000000014E-002   4.9225040671366482        4.9224814966707306        4.9224826972988529        4.9224830665539683        4.9224838857867850     
  2.60000000000000023E-002   4.9344007839312498        4.9343812673970584        4.9343828728203905        4.9343845755666518        4.9343854318057279     
  2.69999999999999997E-002   4.9444708634489132        4.9444543014907341        4.9444574719741805        4.9444592282349307        4.9444601305248925     
  2.80000000000000006E-002   4.9529943350135710        4.9529810843810367        4.9529857524944987        4.9529875830465473        4.9529884929131409     
  2.90000000000000015E-002   4.9602082878553722        4.9601991666136849        4.9602043879957334        4.9602061159390747        4.9602069378896463     
  2.99999999999999989E-002   4.9663138633753814        4.9663091839042472        4.9663144209800967        4.9663160041730690        4.9663167307633929     
  3.09999999999999998E-002   4.9714834375971080        4.9714812198319889        4.9714858018676189        4.9714871883589407        4.9714878278489696     
  3.20000000000000007E-002   4.9758594760703350        4.9758592563033783        4.9758632800724971        4.9758644972057260        4.9758650596043079     
  3.30000000000000016E-002   4.9795639049284519        4.9795651781765056        4.9795687177470169        4.9795697859432417        4.9795702789752605     
  3.40000000000000024E-002   4.9826998340428759        4.9827021636220419        4.9827052773227081        4.9827062127387549        4.9827066429303617     
  3.50000000000000033E-002   4.9853545148375638        4.9853574497570570        4.9853602899082361        4.9853611062532472        4.9853614796388390     
  3.60000000000000042E-002   4.9876012551443178        4.9876051010971025        4.9876075853863568        4.9876082898055234        4.9876086093887073     
  3.69999999999999982E-002   4.9895032735780607        4.9895077071741927        4.9895098702560485        4.9895104795978824        4.9895107555749982     
  3.79999999999999991E-002   4.9911139266663511        4.9911182453718235        4.9911201237979066        4.9911206538493449        4.9911208952373327     
  3.89999999999999999E-002   4.9924774376649896        4.9924815573807555        4.9924831872015609        4.9924836522219653        4.9924838667931066     
  4.00000000000000008E-002   4.9936313308096540        4.9936355988492229        4.9936370140976374        4.9936374265992693        4.9936376209172835     
  4.10000000000000017E-002   4.9946081919031196        4.9946124970619907        4.9946137288730688        4.9946140995698833        4.9946142801381050     
  4.20000000000000026E-002   4.9954351924117297        4.9954394461361593        4.9954405223168186        4.9954408603784017        4.9954410312893227     
  4.30000000000000035E-002   4.9961353397441384        4.9961394646944077        4.9961404096029041        4.9961406877224750        4.9961408300768930     
  4.39999999999999974E-002   4.9967283111402301        4.9967320330056548        4.9967328299569234        4.9967330593732671        4.9967331771155274     
  4.49999999999999983E-002   4.9972302949711809        4.9972336212607384        4.9972342894535782        4.9972344801577782        4.9972345768586965     
  4.59999999999999992E-002   4.9976552532797269        4.9976582021547600        4.9976587593912933        4.9976589189380425        4.9976589977832724     
  4.70000000000000001E-002   4.9980150056285435        4.9980176018103597        4.9980180658153106        4.9980181983947762        4.9980182621921285     
  4.80000000000000010E-002   4.9983195578338613        4.9983218296447784        4.9983222154488125        4.9983223248826629        4.9983223760815569     
  4.90000000000000019E-002   4.9985773802751998        4.9985793575328472        4.9985796655874228        4.9985797574973816        4.9985797998216785     
  5.00000000000000028E-002   4.9987956435094505        4.9987973467872449        4.9987976055204149        4.9987976821982363        4.9987977168341988     
  5.10000000000000037E-002   4.9989804177352921        4.9989818823144390        4.9989820990794920        4.9989821625594653        4.9989821905679994     
  5.20000000000000046E-002   4.9991368416518149        4.9991380983968616        4.9991382795087764        4.9991383316004647        4.9991383539300909     
  5.29999999999999985E-002   4.9992692654059532        4.9992703413692823        4.9992704922519939        4.9992705345658539        4.9992705520632859     
  5.39999999999999994E-002   4.9993813716038478        4.9993822905262135        4.9993824158368847        4.9993824498049513        4.9993824601472312     
  5.50000000000000003E-002   4.9994762777518211        4.9994770604808876        4.9994771617224316        4.9994771884346259        4.9994771957908402     
  5.60000000000000012E-002   4.9995566229764430        4.9995572858248494        4.9995573690695929        4.9995573898434538        4.9995573948365566     
  5.70000000000000021E-002   4.9996246414361689        4.9996252009850837        4.9996252693367254        4.9996252852772134        4.9996252884182608     
  5.80000000000000029E-002   4.9996822244668033        4.9996826953456726        4.9996827513879651        4.9996827634168923        4.9996827815646308     
  5.90000000000000038E-002   4.9997309731897976        4.9997313682276729        4.9997314141083473        4.9997314374004844        4.9997314516458493     
  5.99999999999999978E-002   4.9997722430470013        4.9997725734337344        4.9997726238652129        4.9997726418789625        4.9997726530029105     
  6.09999999999999987E-002   4.9998071815009393        4.9998074569653612        4.9998075095708101        4.9998075233870107        4.9998075320225404     
  6.19999999999999996E-002   4.9998367599494715        4.9998369996428167        4.9998370419279610        4.9998370524208635        4.9998370590794412     
  6.30000000000000004E-002   4.9998618007427975        4.9998620087209025        4.9998620426023823        4.9998620504765547        4.9998620555701070     
  6.40000000000000013E-002   4.9998830000544157        4.9998831800575552        4.9998832071125099        4.9998832129336019        4.9998832167927745     
  6.50000000000000022E-002   4.9999009472423577        4.9999011026795683        4.9999011242024993        4.9999011284228123        4.9999011311807928     
  6.60000000000000031E-002   4.9999161412393063        4.9999162751881769        4.9999162922389395        4.9999162950973091        4.9999162964998902     
  6.70000000000000040E-002   4.9999290044001006        4.9999291196445323        4.9999291330887257        4.9999291344005368        4.9999291347682906     
  6.80000000000000049E-002   4.9999398941784952        4.9999399933223296        4.9999400037320587        4.9999400036034913        4.9999400031942640     
  6.90000000000000058E-002   4.9999491133614873        4.9999491986553144        4.9999492063101254        4.9999492051128680        4.9999492041329585     
  7.00000000000000067E-002   4.9999569182713257        4.9999569916570028        4.9999569968689510        4.9999569948994829        4.9999569935256023     
  7.10000000000000075E-002   4.9999635258967938        4.9999635890473328        4.9999635921381609        4.9999635896313839        4.9999635880312896     
  7.20000000000000084E-002   4.9999691199298795        4.9999691742228789        4.9999691755702695        4.9999691727108297        4.9999691710059349     
  7.29999999999999954E-002   4.9999738558758402        4.9999739024243341        4.9999739024519103        4.9999738993835887        4.9999738976760275     
  7.39999999999999963E-002   4.9999778653789253        4.9999779051821660        4.9999779042297510        4.9999779010083909        4.9999778994435884     
  7.49999999999999972E-002   4.9999812598841595        4.9999812938331480        4.9999812921717366        4.9999812889447153        4.9999812875151353     
  7.59999999999999981E-002   4.9999841337371000        4.9999841626216233        4.9999841604173403        4.9999841573302639        4.9999841560320020     
  7.69999999999999990E-002   4.9999865668078476        4.9999865913243493        4.9999865887825834        4.9999865859188724        4.9999865846899016     
  7.79999999999999999E-002   4.9999886267123257        4.9999886474721169        4.9999886447434676        4.9999886421116759        4.9999886409562393     
