  t                         I1                        I2                        I3                        I4                        I5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  0.15919349767785784       0.15912190940857193       0.15908511402555955       0.15906813329031386       0.15905936606351337     
  2.00000000000000004E-003  0.54244801224459926       0.54167500367480836       0.54123621134853583       0.54102552710452811       0.54091566934143920     
  3.00000000000000006E-003   1.0443710945827167        1.0410877300470636        1.0392193143679471        1.0383154544339164        1.0378442443092590     
  4.00000000000000008E-003   1.5955461611834070        1.5867292754744213        1.5816925918287936        1.5792542294124710        1.5779846355531413     
  5.00000000000000010E-003   2.1515339110734266        2.1330862989534589        2.1225771405969498        2.1174774700995651        2.1148212330943217     
  6.00000000000000012E-003   2.6853121036186307        2.6523021361324868        2.6335431783200494        2.6244692980963675        2.6197455237071305     
  7.00000000000000015E-003   3.1810706264127444        3.1281820840288366        3.0982220202648514        3.0837598915489544        3.0762364665793132     
  8.00000000000000017E-003   3.6309004315471269        3.5526679170562807        3.5084988848914969        3.4872211058747871        3.4761614061532340     
  9.00000000000000105E-003   4.0319651173326205        3.9230027952965423        3.8617091449733039        3.8322430377023706        3.8169420262682188     
  1.00000000000000002E-002   4.3846239266556415        4.2398083791172931        4.1586726136712064        4.1197535268549244        4.0995655002208640     
  1.09999999999999994E-002   4.6911921905496419        4.5057815845287195        4.4023543792191342        4.3528594231371347        4.3272123758930547     
  1.20000000000000002E-002   4.9550697141001976        4.7247821871906774        4.5969221354279064        4.5358844151504467        4.5043000442748786     
  1.30000000000000011E-002   5.1801647272528122        4.9012149701008205        4.7471126806210968        4.6737550160347103        4.6358467704529280     
  1.40000000000000003E-002   5.3705474208197339        5.0396525387718389        4.8578447091610295        4.7715411059143307        4.7270140588336487     
  1.49999999999999994E-002   5.5301723490213446        5.1445712160452404        4.9339218984023985        4.8342394059065246        4.7828894051897386     
  1.60000000000000003E-002   5.6627940246435493        5.2202229427155009        4.9799067432301891        4.8665596509422269        4.8082655803335097     
  1.70000000000000012E-002   5.7718549173510825        5.2705173772347989        4.9999985775817448        4.8728463876841914        4.8075725178378939     
  1.80000000000000021E-002   5.8604920501132449        5.2989965653909694        4.9980065140240066        4.8570399241603690        4.7848026843498515     
  1.89999999999999995E-002   5.9314958002908460        5.3088312932865147        4.9773295820256367        4.8226542551062943        4.7435391845772035     
  2.00000000000000004E-002   5.9873324707302107        5.3028290984728130        4.9409780846136897        4.7728001576951185        4.6869450475796892     
  2.10000000000000013E-002   6.0301636079095093        5.2834486216436902        4.8915922286380971        4.7102036843315043        4.6177905610148162     
  2.19999999999999987E-002   6.0618724617848843        5.2528360397777254        4.8314699829440722        4.6372361311511225        4.5384837246018250     
  2.29999999999999996E-002   6.0840915382978569        5.2128526759487404        4.7626010770568890        4.5559438798571259        4.4511006433305038     
  2.40000000000000005E-002   6.0982309194607103        5.1651042704685750        4.6867021595386751        4.4680927720242609        4.3574366876847641     
  2.50000000000000014E-002   6.1055034213819575        5.1109742547275836        4.6052464872527228        4.3751938105054675        4.2590081928631998     
  2.60000000000000023E-002   6.1069540659573676        5.0516469011460403        4.5194832541812691        4.2785234303476738        4.1571109710630010     
  2.69999999999999997E-002   6.1034712715937411        4.9881389183596818        4.4304788483398374        4.1791682441693121        4.0528402743606717     
  2.80000000000000006E-002   6.0958173038217129        4.9213049729072535        4.3391337669938981        4.0780421698795362        3.9471149875798739     
  2.90000000000000015E-002   6.0846426882875821        4.8518770880279627        4.2462095308111438        3.9759133512973426        3.8407047866817789     
  2.99999999999999989E-002   6.0705018639012778        4.7804793493031710        4.1523471514527071        3.8734250120475071        3.7342519900987594     
  3.09999999999999998E-002   6.0538664687954151        4.7076371804855990        4.0580823677612106        3.7711106432806893        3.6282868925150926     
  3.20000000000000007E-002   6.0351382686357944        4.6337939757324778        3.9638633606085154        3.6694128889104167        3.5232471494780029     
  3.30000000000000016E-002   6.0146584843589004        4.5593229759237834        3.8700601329037179        3.5686929416260553        3.4194873563553219     
  3.40000000000000024E-002   5.9927168884952851        4.4845375345124818        3.7769776669003767        3.4692445608557030        3.3172934657425888     
  3.50000000000000033E-002   5.9695594088160737        4.4096996202021916        3.6848653260177997        3.3713039590411791        3.2168929401364452     
