  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  4.10000000000000017E-002  0.11295492120162262       0.10676879453998124       0.10121158906933084       9.61942837207142437E-002  9.16434021042722147E-002
  4.20000000000000026E-002  0.11889090844589499       0.11243525079944397       0.10662962342133815       0.10138304507458264       9.66202031102883774E-002
  4.30000000000000035E-002  0.12493533612234084       0.11820958311842412       0.11215449745498518       0.10667727803221021       0.10170088004659408     
  4.39999999999999974E-002  0.13108493291119586       0.12408878389800833       0.11778344588044437       0.11207443481401889       0.10688308053507520     
  4.49999999999999983E-002  0.13733651489677334       0.13006992063426334       0.12351376454482636       0.11757201859932992       0.11216449488245631     
  4.59999999999999992E-002  0.14368698500895796       0.13615013392712080       0.12934280969016185       0.12316758530200902       0.11754285854727352     
  4.70000000000000001E-002  0.15013333215331950       0.14232663705521276       0.13526800121388466       0.12885874368762110       0.12301595241898736     
  4.80000000000000010E-002  0.15667263313264312       0.14859671808168520       0.14128682292923367       0.13464315556883380       0.12858160479385658     
  4.90000000000000019E-002  0.16330204051667116       0.15495772921824047       0.14739681342898034       0.14051853177161264       0.13423768458392935     
  5.00000000000000028E-002  0.17001879408072298       0.16140709738247308       0.15359557553856634       0.14648263859689040       0.13998210763260291     
  5.10000000000000037E-002  0.17682021398540651       0.16794231841926738       0.15988077147833502       0.15253329377829244       0.14581283549108440     
  5.20000000000000046E-002  0.18370369907700226       0.17456095585232045       0.16625012195186908       0.15866836582441723       0.15172787437656202     
  5.29999999999999985E-002  0.19066672511955668       0.18126063956071337       0.17270140515652871       0.16488577328277446       0.15772527425044733     
  5.39999999999999994E-002  0.19770684455131943       0.18803906574630200       0.17923245687972991       0.17118348491194640       0.16380312903152941     
  5.50000000000000003E-002  0.20482167981383953       0.19489399141510488       0.18584116593739097       0.17755951591334349       0.16995957348740770     
  5.60000000000000012E-002  0.21200892630620910       0.20182323698424717       0.19252547644883081       0.18401192990237505       0.17619278493258295     
  5.70000000000000021E-002  0.21926634899879766       0.20882468355675890       0.19928338563449460       0.19053883712193628       0.18250098177510746     
  5.80000000000000029E-002  0.22659166185504609       0.21589614596102075       0.20611294264973046       0.19713839351271834       0.18888242277231362     
  5.90000000000000038E-002  0.23398288575476578       0.22303575106421494       0.21301211570392900       0.20380866304854470       0.19533540627112453     
  5.99999999999999978E-002  0.24143798311812020       0.23024155310667840       0.21997918899072108       0.21054802961257371       0.20185812757048355     
  6.09999999999999987E-002  0.24895497858423668       0.23751166116757036       0.22701236034655581       0.21735478049701387       0.20844910610490472     
  6.19999999999999996E-002  0.25653195723179223       0.24484423773167685       0.23410987486805609       0.22422724490811929       0.21510675429662685     
  6.30000000000000004E-002  0.26416706283168628       0.25223749727612882       0.24127002376172577       0.23116379302422130       0.22182952106231998     
  6.40000000000000013E-002  0.27185849613435215       0.25968970487970883       0.24849114320777380       0.23816283506186983       0.22861589104107363     
  6.50000000000000022E-002  0.27960451343612536       0.26719917485684774       0.25577161324021291       0.24522282035222862       0.23546438382830065     
  6.60000000000000031E-002  0.28740342532183943       0.27476426973369267       0.26310985664494219       0.25234223642946335       0.24237355321727516     
  6.70000000000000040E-002  0.29525359348531505       0.28238339885192365       0.27050433828689047       0.25951960813250191       0.24934198644969599     
  6.80000000000000049E-002  0.30315343012289414       0.29005501623678620       0.27795356347559308       0.26675349719598668       0.25636830359362656     
  6.90000000000000058E-002  0.31110139641421236       0.29777761995480301       0.28545607678679241       0.27404250044176010       0.26345115682998810     
  7.00000000000000067E-002  0.31909600104286806       0.30554975088880987       0.29301046133875769       0.28138524934224907       0.27058922932767016     
  7.10000000000000075E-002  0.32713579875686011       0.31336999154248180       0.30061533779514588       0.28878040923017984       0.27778123481191891     
  7.20000000000000084E-002  0.33521938828464259       0.32123696487437192       0.30826936339003130       0.29622667847955780       0.28502591687300161     
  7.29999999999999954E-002  0.34334541268011654       0.32914933316133438       0.31597123097518753       0.30372278770357147       0.29232204828778685     
  7.39999999999999963E-002  0.35151255571697498       0.33710579638628779       0.32371966708835620       0.31126749896953138       0.29966843035444024     
  7.49999999999999972E-002  0.35971954278286183       0.34510509299669390       0.33151343449384002       0.31885960397508839       0.30706389224033098     
  7.59999999999999981E-002  0.36796514436164995       0.35314599662373408       0.33935132731893286       0.32649792694019297       0.31450728930068000     
  7.69999999999999990E-002  0.37624815754362184       0.36122731596203972       0.34723217172239662       0.33418131966533654       0.32199750606939304     
  7.79999999999999999E-002  0.38456742253129583       0.36934789331420592       0.35515482505167761       0.34190866243937673       0.32953345144868085     
  7.90000000000000008E-002  0.39292181544652410       0.37750660307549849       0.36311817502129828       0.34967886333923431       0.33711405973917458     
  8.00000000000000017E-002  0.40131024722401731       0.38570235373510170       0.37112113842362737       0.35749085754601784       0.34473829005403583     
  8.10000000000000026E-002  0.40973166159197627       0.39393409091045073       0.37916266179474734       0.36534360613540379       0.35240512574596561     
  8.20000000000000034E-002  0.41818503589142930       0.40220077700196799       0.38724171927648415       0.37323609702810517       0.36011357325056764     
  8.30000000000000043E-002  0.42666937427733614       0.41050141104691873       0.39535731206410218       0.38116734282694598       0.36786266330556600     
  8.40000000000000052E-002  0.43518372347327011       0.41883501531872097       0.40350846684615238       0.38913638065374945       0.37565144872358924     
  8.50000000000000061E-002  0.44372715274114466       0.42720065325593110       0.41169423747505429       0.39714227154266163       0.38347900438117233     
  8.60000000000000070E-002  0.45229876020705273       0.43559740730952012       0.41991370152240859       0.40518409984815901       0.39134442670655378     
  8.70000000000000079E-002  0.46089767196831583       0.44402438621268842       0.42816596467017670       0.41326097266742928       0.39924683317909743     
  8.79999999999999949E-002  0.46952304122798655       0.45248072422980301       0.43645015405329379       0.42137201927682399       0.40718536184011767     
  8.89999999999999958E-002  0.47817404745591369       0.46096558042659758       0.44476542003920128       0.42951638910340195       0.41515917081488368     
  8.99999999999999967E-002  0.48684989557570846       0.46947813796115767       0.45311093561077698       0.43769325416757526       0.42316743784557082     
  9.09999999999999976E-002  0.49554981282654809       0.47801760339503779       0.46148589576555704       0.44590180712227884       0.43120935986108355     
  9.19999999999999984E-002  0.50427305504638054       0.48658320602404725       0.46988951693082570       0.45414126045867848       0.43928415254185166     
  9.29999999999999993E-002  0.51301889901287201       0.49517419458336215       0.47832103639423518       0.46241084624631495       0.44739104958948234     
  9.40000000000000002E-002  0.52178664392541352       0.50378984460191556       0.48677970891299377       0.47070981564730069       0.45552930140155090     
  9.50000000000000011E-002  0.53057561071051329       0.51242944986434358       0.49526481468903299       0.47903743541452015       0.46369817674507979     
  9.60000000000000020E-002  0.53938514134860926       0.52109232437674391       0.50377565044323391       0.48739299649598455       0.47189695852785690     
  9.70000000000000029E-002  0.54821459822169405       0.52977780178804490       0.51231153160603371       0.49577580465690380       0.48012495274250527     
  9.80000000000000038E-002  0.55706336348107610       0.53848523482782651       0.52087179181993248       0.50418518290987679       0.48838147855771025     
  9.90000000000000047E-002  0.56593083843470493       0.54721399476024202       0.52945578245525315       0.51262047108665088       0.49666587100814402     
  0.10000000000000001       0.57481644295344758       0.55596347085347286       0.53806287213874204       0.52108102542048040       0.50497748062493597     
  0.10100000000000001       0.58371961489570900       0.56473306986438609       0.54669244629461589       0.52956621813878724       0.51331567307471304     
  0.10200000000000001       0.59263980954988327       0.57352221553788107       0.55534390669787803       0.53807543706599836       0.52167982880703268     
  0.10300000000000001       0.60157649916686506       0.58233034812057816       0.56401667103941167       0.54660808523615101       0.53006934271002082     
  0.10400000000000001       0.61052917208158097       0.59115692388836738       0.57271017250267264       0.55516358051511572       0.53848362377398451     
  0.10500000000000000       0.61949733240779781       0.60000141474423607       0.58142385935158314       0.56374135523222579       0.54692209476287290     
  0.10600000000000000       0.62848049966264963       0.60886330752888851       0.59015719452941762       0.57234085582099414       0.55538419189338584     
  0.10700000000000000       0.63747820828844648       0.61774210361715209       0.59890965532533469       0.58096154246876330       0.56386936452150993     
  0.10800000000000000       0.64649000565386050       0.62663731868790229       0.60768073272817591       0.58960288877505829       0.57237707483638223     
  0.10900000000000000       0.65551544505057169       0.63554848061897795       0.61646993114020276       0.59826438147272898       0.58090679756127817     
  0.11000000000000000       0.66455411177860246       0.64447513135426016       0.62527676524654197       0.60694551775022454       0.58945801791442975     
  0.11100000000000000       0.67360559578516888       0.65341682726020855       0.63410076556328976       0.61564580814476488       0.59803023328706983     
  0.11200000000000000       0.68266949972881885       0.66237312835210782       0.64294147526069734       0.62436477661571677       0.60662295420878121     
  0.11300000000000000       0.69174543858543536       0.67134362524731428       0.65179844967537048       0.63310195896226951       0.61523570262882898     
  0.11400000000000000       0.70083303926644513       0.68032791150442895       0.66067125598610454       0.64185690252880145       0.62386801164956962     
  0.11500000000000000       0.70993194024885908       0.68932559231849821       0.66955946320601945       0.65062916591758724       0.63251942526609006     
  0.11600000000000001       0.71904179121677614       0.69833628418789473       0.67846267106988101       0.65941831870866552       0.64118949811193338     
  0.11700000000000001       0.72816225271399460       0.70735961459073082       0.68738048054260370       0.66822394118668182       0.64987779521076439     
  0.11800000000000001       0.73729299580739249       0.71639522167053382       0.69631250320353266       0.67704561374480710       0.65858389173384335     
  0.11900000000000001       0.74643370176073331       0.72544275393091617       0.70525836096412320       0.68588294776376124       0.66730737276316288     
  0.12000000000000000       0.75558406171858772       0.73450186993898459       0.71421768579312772       0.69473555417998600       0.67604782227595639     
  0.12100000000000000       0.76474377640004731       0.74357223803723982       0.72319011944909029       0.70360305359472364       0.68480485535527380     
  0.12200000000000000       0.77391255580193119       0.75265353606371865       0.73217531321995410       0.71248507603395228       0.69357808556058265     
  0.12300000000000000       0.78309011891119118       0.76174545108015002       0.74117292766959331       0.72138126071428565       0.70236713545606833     
  0.12400000000000000       0.79227619342623146       0.77084767910789143       0.75018263239108574       0.73029125581468490       0.71117163640083081     
  0.12500000000000000       0.80147051548686576       0.77995992487142241       0.75920410576654773       0.73921471825383844       0.71999122834396601     
  0.12600000000000000       0.81067282941264263       0.78908190154918201       0.76823703473335303       0.74815131347307273       0.72882555962442308     
  0.12700000000000000       0.81988288744928339       0.79821333053153831       0.77728111455657156       0.75710071522465128       0.73767428677551994     
  0.12800000000000000       0.82910044952297823       0.80735394118568515       0.78633604860746154       0.76606260536533410       0.74653707433401695     
  0.12900000000000000       0.83832528300229803       0.81650347062727069       0.79540154814784825       0.77503667365506368       0.75541359465363644     
  0.13000000000000000       0.84755716246748714       0.82566166349856129       0.80447733212023975       0.78402261756064862       0.76430352772292398     
  0.13100000000000001       0.85679586948690456       0.83482827175295760       0.81356312694352606       0.79302014206432425       0.77320656098735585     
  0.13200000000000001       0.86604119241266053       0.84400305444567858       0.82265866631410856       0.80202895947706854       0.78212238917558952     
  0.13300000000000001       0.87529292598260444       0.85318577753043712       0.83176369101232339       0.81104878925655499       0.79105071412976169     
  0.13400000000000001       0.88455087127808640       0.86237621366193451       0.84087794871400734       0.82007935782962416       0.79999124463974025     
  0.13500000000000001       0.89381483556289998       0.87157414200401684       0.85000119380708139       0.82912039841916818       0.80894369628123675     
  0.13600000000000001       0.90308463209086598       0.88077934804331071       0.85913318721300924       0.83817165087531342       0.81790779125769053     
  0.13700000000000001       0.91236007991941326       0.88999162340506177       0.86827369621300299       0.84723286151079202       0.82688325824583886     
  0.13800000000000001       0.92164100372897351       0.89921076550935464       0.87742249427885743       0.85630378294041232       0.83586983224487976     
  0.13900000000000001       0.93092756592885539       0.90843657758157947       0.88657936090827594       0.86538417392450639       0.84486725442915578     
  0.14000000000000001       0.94021924171289195       0.91766886849471041       0.89574408146458462       0.87447379921627144       0.85387527200426427     
  0.14100000000000001       0.94951587325885534       0.92690745260699903       0.90491644703700280       0.88357242941290237       0.86289363806652186     
  0.14200000000000002       0.95881730761406592       0.93615214960433957       0.91409625414973161       0.89267984081041918       0.87192211146570486     
  0.14300000000000002       0.96812339654516932       0.94540278434716885       0.92328330468004316       0.90179581526210528       0.88096045667098499     
  0.14400000000000002       0.97743399639255113       0.95465955207310349       0.93247740578784755       0.91092014004045707       0.89000844363999032     
  0.14499999999999999       0.98674896792923572       0.96392189382354931       0.94167836977465191       0.92005260771605257       0.89906584769091569     
  0.14599999999999999       0.99606817622414345       0.97318965066402141       0.95088601394629424       0.92919301592538839       0.90813244937761572     
  0.14699999999999999        1.0053914905095618       0.98246266819059225       0.96010016047934288       0.93834116724702954       0.91720803436760268     
  0.14799999999999999        1.0147187840527063       0.99174079640076751       0.96932063629107212       0.94749686917495402       0.92629239332289137     
  0.14899999999999999        1.0240499340312421        1.0010238895680401       0.97854766432519180       0.95665993399600813       0.93538532179755307     
  0.14999999999999999        1.0333848214126464        1.0103118061200200       0.98778066088422700       0.96583017867041954       0.94448662000514327     
  0.15100000000000000        1.0427233308372910        1.0196044085200364       0.99701946780804274       0.97500742471529678       0.95359609275592672     
  0.15200000000000000        1.0520653505051314        1.0289015631521146        1.0062639311265242       0.98419149809103545       0.96271354941848197     
  0.15300000000000000        1.0614107720658916        1.0382031402092278        1.0155139009485945       0.99338222909056195       0.97183880381310828     
  0.15400000000000000        1.0707594905126367        1.0475090135847400        1.0247692313541692        1.0025798632985137       0.98097167410773356     
  0.15500000000000000        1.0801114040786264        1.0568190607669325        1.0340297802889711        1.0117838004190887       0.99011198271625611     
  0.15600000000000000        1.0894664141373520        1.0661331627365473        1.0432954094621343        1.0209938844392694       0.99925955619926932     
  0.15700000000000000        1.0988244251056567        1.0754512038672417        1.0525659842465176        1.0302099632068031        1.0084142251671098     
  0.15800000000000000        1.1081853443498451        1.0847730718288839        1.0618413735816592        1.0394318883346771        1.0175762671228579     
  0.15900000000000000        1.1175490820946847        1.0940986574936036        1.0711214498792998        1.0486595151079590        1.0267450493711718     
  0.16000000000000000        1.1269155513352229        1.1034278548445191        1.0804060889314095        1.0578927023929392        1.0359204153802168     
  0.16100000000000000        1.1362846677513139        1.1127605608870670        1.0896951698206510        1.0671313125485238        1.0451022122524778     
  0.16200000000000001        1.1456563496247900        1.1220966755628587        1.0989885748332113        1.0763752113398175        1.0542902906403910     
  0.16300000000000001        1.1550305177591849        1.1314361016659897        1.1082861893739475        1.0856242678538457        1.0634845046639387     
  0.16400000000000001        1.1644070954019332        1.1407787447617370        1.1175879018837711        1.0948783544173595        1.0726847118301508     
  0.16500000000000001        1.1737860081689706        1.1501245131075710        1.1268936037592316        1.1041373465166766        1.0818907729544800     
  0.16600000000000001        1.1831671839716600        1.1594733175764211        1.1362031892742204        1.1134011227195042        1.0911025520839985     
  0.16700000000000001        1.1925505529459726        1.1688250715821253        1.1455165555037525        1.1226695645986944        1.1003199164223780     
  0.16800000000000001        1.2019360473838501        1.1781796910070070        1.1548336022497678        1.1319425566578891        1.1095427362566126     
  0.16900000000000001        1.2113236016666895        1.1875370941315126        1.1641542319688956        1.1412199862590029        1.1187708848854399     
  0.17000000000000001        1.2207131522008750        1.1968972015658588        1.1734783497021313        1.1505017435514959        1.1280042385494256     
  0.17100000000000001        1.2301046373553017        1.2062599361836241        1.1828058630063807        1.1597877214034058        1.1372426763626695     
  0.17200000000000001        1.2394979974008267        1.2156252230572344        1.1921366818878110        1.1690778153340757        1.1464860802460981     
  0.17300000000000001        1.2488931744515843        1.2249929893952878        1.2014707187369713        1.1783719234485537        1.1557343348623041     
  0.17400000000000002        1.2582901124081172        1.2343631644816639        1.2108078882656303        1.1876699463736116        1.1649873275518985     
  0.17500000000000002        1.2676887569022568        1.2437356796163714        1.2201481074452869        1.1969717871953487        1.1742449482713426     
  0.17599999999999999        1.2770889969893142        1.2531104680580776        1.2294912954473090        1.2062773513983369        1.1835070895322171     
  0.17699999999999999        1.2864908496629353        1.2624874649682793        1.2388373735846592        1.2155865468062750        1.1927736463419083     
  0.17799999999999999        1.2958942645758673        1.2718666073570639        1.2481862652551627        1.2248992835241062        1.2020445161456661     
  0.17899999999999999        1.3052991929608895        1.2812478340304141        1.2575378958862764        1.2342154738815718        1.2113195987700074     
  0.17999999999999999        1.3147055875811098        1.2906310855390182        1.2668921928813255        1.2435350323781613        1.2205987963674356     
  0.18099999999999999        1.3241134026818244        1.3000163041285371        1.2762490855671598        1.2528578756294206        1.2298820133624404     
  0.18200000000000000        1.3335225939438986        1.3094034336912874        1.2856085051431969        1.2621839223145936        1.2391691563987517     
  0.18300000000000000        1.3429331184386091        1.3187924197193051        1.2949703846318199        1.2715130931255552        1.2484601342878212     
  0.18400000000000000        1.3523449345839131        1.3281831436845397        1.3043346588300793        1.2808453107170099        1.2577548579584952     
  0.18500000000000000        1.3617580021020930        1.3375756297841646        1.3137012642626849        1.2901804996579223        1.2670532404078572     
  0.18600000000000000        1.3711722819787351        1.3469698272305586        1.3230701391362372        1.2995185863841485        1.2763551966532132     
  0.18700000000000000        1.3805877364229968        1.3563656867068759        1.3324412232946692        1.3088594991522395        1.2856606436851892     
  0.18800000000000000        1.3900043288291315        1.3657631603243614        1.3418144581758733        1.3182031679943900        1.2949695004219182     
  0.18900000000000000        1.3994220237392183        1.3751622015809015        1.3511897867694747        1.3275495246744962        1.3042816876642929     
  0.19000000000000000        1.4088407868070687        1.3845627653207810        1.3605671535757220        1.3368985026453086        1.3135971280522527     
  0.19100000000000000        1.4182605847632670        1.3939648076956104        1.3699465045654702        1.3462500370066373        1.3229157460220893     
  0.19200000000000000        1.4276813853813148        1.4033682861263854        1.3793277175683656        1.3556040644645961        1.3322374677647419     
  0.19300000000000000        1.4371031574448374        1.4127731592666533        1.3887108209646544        1.3649605232918554        1.3415622211850584     
  0.19400000000000001        1.4465258707158251        1.4221793869667438        1.3980957641560094        1.3743193532888731        1.3508899358620072     
  0.19500000000000001        1.4559494959038723        1.4315869302390429        1.4074824979044844        1.3836804957460920        1.3602205430098082     
  0.19600000000000001        1.4653740046363872        1.4409957512242761        1.4168709742958627        1.3930438934070661        1.3695539754399677     
  0.19700000000000001        1.4747993694297348        1.4504058131587667        1.4262611467039925        1.4024094904325040        1.3788901675241942     
  0.19800000000000001        1.4842255636612933        1.4598170803426516        1.4356529697560838        1.4117772323651994        1.3882290551581764     
  0.19900000000000001        1.4936525374778729        1.4692295181090118        1.4450463992989457        1.4211470660958301        1.3975705757262005     
