  t                         w                         U                         I                         alpha
  7.00000000000000067E-002   4.0093722194886317        4.9999569912322492        1.4557858882193213       0.29301046133875769     
  7.10000000000000075E-002   4.0357201920097570        4.9999635868524530        1.4170835605633370       0.30061533779514588     
  7.20000000000000084E-002   4.0613674436318998        4.9999691706583311        1.3794078207348563       0.30826936339003130     
  7.29999999999999954E-002   4.0863325648696476        4.9999738979213966        1.3427318466513964       0.31597123097518753     
  7.39999999999999963E-002   4.1106336742204839        4.9999778999795019        1.3070294328338377       0.32371966708835620     
  7.49999999999999972E-002   4.1342883804991626        4.9999812882559764        1.2722750587120464       0.33151343449384002     
  7.59999999999999981E-002   4.1573138512750862        4.9999841569044463        1.2384437965631891       0.33935132731893286     
  7.69999999999999990E-002   4.1797268023348995        4.9999865856335104        1.2055113360996565       0.34723217172239662     
  7.79999999999999999E-002   4.2015435089179602        4.9999886419230029        1.1734539750973898       0.35515482505167761     
  7.90000000000000008E-002   4.2227798167704256        4.9999903829002355        1.1422486091953516       0.36311817502129828     
  8.00000000000000017E-002   4.2434511599773099        4.9999918569126507        1.1118727107554471       0.37112113842362737     
  8.10000000000000026E-002   4.2635725509690410        4.9999931049239033        1.0823043480486358       0.37916266179474734     
  8.20000000000000034E-002   4.2831586106339330        4.9999941615968586        1.0535221444886742       0.38724171927648415     
  8.30000000000000043E-002   4.3022235758475622        4.9999950562770028        1.0255052707353463       0.39535731206410218     
  8.40000000000000052E-002   4.3207813214370283        4.9999958138105685       0.99823341505014729       0.40350846684615238     
  8.50000000000000061E-002   4.3388453361089478        4.9999964552273957       0.97168682087554370       0.41169423747505429     
  8.60000000000000070E-002   4.3564287713724203        4.9999969983417856       0.94584621686936310       0.41991370152240859     
  8.70000000000000079E-002   4.3735443787390107        4.9999974582112996       0.92069291068052606       0.42816596467017670     
  8.79999999999999949E-002   4.3902046045218235        4.9999978475993245       0.89620865111373771       0.43645015405329379     
  8.89999999999999958E-002   4.4064215643321996        4.9999981773117739       0.87237566669680755       0.44476542003920128     
  8.99999999999999967E-002   4.4222070517752581        4.9999984564973659       0.84917665386860453       0.45311093561077698     
  9.09999999999999976E-002   4.4375725469294069        4.9999986929018387       0.82659476533599818       0.46148589576555704     
  9.19999999999999984E-002   4.4525292246133299        4.9999988930831520       0.80461359861751480       0.46988951693082570     
  9.29999999999999993E-002   4.4670879624431965        4.9999990625936688       0.78321718478879354       0.47832103639423518     
  9.40000000000000002E-002   4.4812593891459409        4.9999992061334488       0.76238991797075095       0.48677970891299377     
  9.50000000000000011E-002   4.4950537707513485        4.9999993276839652       0.74211672302376808       0.49526481468903299     
  9.60000000000000020E-002   4.5084811378743037        4.9999994306151851       0.72238286882636249       0.50377565044323391     
  9.70000000000000029E-002   4.5215512544336045        4.9999995177804148       0.70317401455474482       0.51231153160603371     
  9.80000000000000038E-002   4.5342736247202300        4.9999995915955386       0.68447619955001460       0.52087179181993248     
  9.90000000000000047E-002   4.5466575002809195        4.9999996541061043       0.66627583341758834       0.52945578245525315     
  0.10000000000000001        4.5587118866222225        4.9999997070441156       0.64855968635723393       0.53806287213874204     
  0.10100000000000001        4.5704455497400902        4.9999997518761017       0.63131487972158939       0.54669244629461589     
  0.10200000000000001        4.5818670224771063        4.9999997898438311       0.61452887680407220       0.55534390669787803     
  0.10300000000000001        4.5929846107138719        4.9999998219987676       0.59818947385049914       0.56401667103941167     
  0.10400000000000001        4.6038063993968974        4.9999998492312470       0.58228479129393440       0.57271017250267264     
