  t                         U1                        U2                        U3                        U4                        U5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  0.76757029294479040       0.76758177044738529       0.76758362170171990       0.76758422876344123       0.76758449989451527     
  2.00000000000000004E-003   1.4173201578993253        1.4173336524910038        1.4173358434161154        1.4173364497761642        1.4173367230455389     
  3.00000000000000006E-003   1.9673223145721315        1.9673368364223029        1.9673389170526401        1.9673394485517364        1.9673396745938816     
  4.00000000000000008E-003   2.4329015767651474        2.4329080339758011        2.4329091907739602        2.4329094010834327        2.4329092922568307     
  5.00000000000000010E-003   2.8270575602254793        2.8270390974281168        2.8270270475614918        2.8270279152695732        2.8270283743518241     
  6.00000000000000012E-003   3.1606622292751205        3.1606379699196001        3.1606269462268233        3.1606274864425257        3.1606278083007715     
  7.00000000000000015E-003   3.4430528788995542        3.4430242627044976        3.4430101750471720        3.4430102592528455        3.4430103439779716     
  8.00000000000000017E-003   3.6820980728272334        3.6820632735511469        3.6820478027002088        3.6820466664564608        3.6820461798084221     
  9.00000000000000105E-003   3.8844344914166382        3.8844005053024837        3.8843814281718934        3.8843804878927446        3.8843800963077446     
  1.00000000000000002E-002   4.0557021989433553        4.0556719155593335        4.0556559698792434        4.0556553270369520        4.0556550825890634     
  1.09999999999999994E-002   4.2006785752987819        4.2006526627989693        4.2006394195710115        4.2006388303133217        4.2006361415830442     
  1.20000000000000002E-002   4.3233996658045788        4.3233788743100270        4.3233657132254528        4.3233606190973637        4.3233578858003918     
  1.30000000000000011E-002   4.4272785201527816        4.4272602390054496        4.4272454913067394        4.4272425006249057        4.4272402754764046     
  1.40000000000000003E-002   4.5152150653916090        4.5151900841599204        4.5151764040113926        4.5151687085204308        4.5151668118721728     
  1.49999999999999994E-002   4.5896463178544140        4.5896149253655407        4.5896032590855835        4.5895967605449197        4.5895953510102512     
  1.60000000000000003E-002   4.6526484696488417        4.6526145235783307        4.6526045174301087        4.6525990251192599        4.6525978482947314     
  1.70000000000000012E-002   4.7059712302045105        4.7059425895643789        4.7059342948343899        4.7059296228699301        4.7059315328787541     
  1.80000000000000021E-002   4.7511064409090800        4.7510832772654910        4.7510785355914091        4.7510746322429060        4.7510762909205928     
  1.89999999999999995E-002   4.7893116431870633        4.7892942286306059        4.7892925575076752        4.7892892212651850        4.7892906231654004     
  2.00000000000000004E-002   4.8216513903729563        4.8216404079033541        4.8216402466981796        4.8216373262207837        4.8216384789581896     
  2.10000000000000013E-002   4.8490263779985927        4.8490211657318225        4.8490221413794323        4.8490195360147412        4.8490204600324338     
  2.19999999999999987E-002   4.8721989210128687        4.8721986515269222        4.8722001230848475        4.8721981854787453        4.8721989132709806     
  2.29999999999999996E-002   4.8918141784110469        4.8918180502108672        4.8918193037956454        4.8918176081341489        4.8918181844259188     
  2.40000000000000005E-002   4.9084184066635830        4.9084251496816211        4.9084267862801996        4.9084253583134343        4.9084276216606852     
