  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  4.00000000000000008E-002  0.13644805284188016       0.16449703493857523       0.13364934726855854       0.10678208650502652       8.75914841627008917E-002
  4.10000000000000017E-002  0.14328188125037361       0.17211281678086199       0.13958479850810146       0.11143382749740051       9.13699687971728236E-002
  4.20000000000000026E-002  0.15027126304827285       0.17986023145554461       0.14560698883685516       0.11614806412106680       9.51970042916301940E-002
  4.30000000000000035E-002  0.15741541897403855       0.18773697143611826       0.15171377901910088       0.12092303918764620       9.90711381428770466E-002
  4.39999999999999974E-002  0.16471357226250866       0.19574076962880915       0.15790308255640065       0.12575704489466397       0.10299096128404620     
  4.49999999999999983E-002  0.17216495004780777       0.20386939866459539       0.16417286438817735       0.13064842236608767       0.10695510762159387     
  4.59999999999999992E-002  0.17976878334369564       0.21212067020376102       0.17052114059821202       0.13559555751266816       0.11096225023905294     
  4.70000000000000001E-002  0.18752430702402320       0.22049243470993143       0.17694597419845426       0.14059688243354568       0.11501110266953397     
  4.80000000000000010E-002  0.19543075980329722       0.22898257936238930       0.18344547689454840       0.14565087332245455       0.11910041694332790     
  4.90000000000000019E-002  0.20348738421735041       0.23758902883180319       0.19001780697068357       0.15075604922766606       0.12322891391593767     
  5.00000000000000028E-002  0.21169309155690147       0.24630974417178392       0.19666116814073684       0.15591087963198944       0.12739548960317731     
  5.10000000000000037E-002  0.22004746146845308       0.25514272218119199       0.20337367243013146       0.16111405915050706       0.13159900469021329     
  5.20000000000000046E-002  0.22854974773285522       0.26408599477760863       0.21015374955199531       0.16636422823379357       0.13583835395666288     
  5.29999999999999985E-002  0.23719920787689475       0.27313737816695943       0.21699973283829058       0.17166006556846264       0.14011246525629048     
  5.39999999999999994E-002  0.24599510315447717       0.28229522202067003       0.22390999673409140       0.17700028700182324       0.14442029852723234     
  5.50000000000000003E-002  0.25493669852790191       0.29155765992600530       0.23088295578346990       0.18238364449676892       0.14876084483183682     
  5.60000000000000012E-002  0.26402326264923631       0.30092285819225439       0.23791706364038590       0.18780892511605657       0.15313312542523427     
  5.70000000000000021E-002  0.27325406784178125       0.31038901527713320       0.24501081210396741       0.19327495006427561       0.15753619131550400     
  5.80000000000000029E-002  0.28262839008163387       0.31995436122323551       0.25216273017758123       0.19878057425026427       0.16196912154392720     
  5.90000000000000038E-002  0.29214550897934149       0.32961715710435452       0.25937138344412325       0.20432468417652608       0.16643102258144798     
  5.99999999999999978E-002  0.30180470776164958       0.33937569448150795       0.26663537277497407       0.20990619765744803       0.17092102763462502     
  6.09999999999999987E-002  0.31160527325334136       0.34922829486849150       0.27395333333137933       0.21552406293885568       0.17543829584569443     
  6.19999999999999996E-002  0.32154649585916933       0.35917330915153628       0.28132393393787075       0.22117725784231876       0.17998201151656393     
  6.30000000000000004E-002  0.33162766954587775       0.36920911706363213       0.28874587625206105       0.22686478893351555       0.18455138335602222     
  6.40000000000000013E-002  0.34184809182431558       0.37933412686419227       0.29621789395490761       0.23258569071397744       0.18914564342644427     
  6.50000000000000022E-002  0.35220706373163990       0.38954677471538346       0.30373875196094330       0.23833902437788090       0.19376404758692653     
  6.60000000000000031E-002  0.36270388864571107       0.39984552419308184       0.31130724564797857       0.24412387868030064       0.19840587317186453     
  6.70000000000000040E-002  0.37333787409113744       0.41022886580639778       0.31892219936965521       0.24993936725055324       0.20307041878939369     
  6.80000000000000049E-002  0.38410833159112284       0.42069531652562436       0.32658246834801974       0.25578462864422069       0.20775700464937963     
  6.90000000000000058E-002  0.39501457612442803       0.43124341931845822       0.33428693482963862       0.26165882564286597       0.21246497449122770     
  7.00000000000000067E-002  0.40605592610799973       0.44187174269434848       0.34203450863364204       0.26756114448078577       0.21719368528432517     
  7.10000000000000075E-002  0.41723170337968740       0.45257887838924693       0.34982412647237832       0.27349079302719620       0.22194251648949742     
  7.20000000000000084E-002  0.42854123318104625       0.46336344741149288       0.35765475128892726       0.27944700311762355       0.22671086583681233     
  7.29999999999999954E-002  0.43998384414023051       0.47422409208148081       0.36552537103274974       0.28542903205872550       0.23149814905741023     
  7.39999999999999963E-002  0.45155886825497271       0.48515947852668911       0.37343499977938127       0.29143614887929803       0.23630379971044624     
  7.49999999999999972E-002  0.46326564087564498       0.49616829626505848       0.38138267539742088       0.29746764366247336       0.24112726595787534     
  7.59999999999999981E-002  0.47510350068841367       0.50724925779576746       0.38936745948685447       0.30352283691587090       0.24596801808362570     
