  t                         w                         U                         I                         alpha
  3.60000000000000042E-002   2.9183391948673871        5.0000000000000000        2.8331403324068036       0.11081965399922508     
  3.69999999999999982E-002   2.9696729531973030        5.0000000000000000        2.7632750878963037       0.11638564752296726     
  3.79999999999999991E-002   3.0197405592968241        5.0000000000000000        2.6951330765571591       0.12204749379154531     
  3.89999999999999999E-002   3.0685732451023484        5.0000000000000000        2.6286717917242672       0.12780282842352170     
  4.00000000000000008E-002   3.1162014469367492        5.0000000000000000        2.5638498095625497       0.13364934726855854     
  4.10000000000000017E-002   3.1626549098541679        5.0000000000000000        2.5006266470536556       0.13958479850810146     
  4.20000000000000026E-002   3.2079626059867681        5.0000000000000000        2.4389628731260311       0.14560698883685516     
  4.30000000000000035E-002   3.2521527932428800        5.0000000000000000        2.3788200287667522       0.15171377901910088     
  4.39999999999999974E-002   3.2952530329057490        5.0000000000000000        2.3201606030696258       0.15790308255640065     
  4.49999999999999983E-002   3.3372902067980479        5.0000000000000000        2.2629480098743255       0.16417286438817735     
  4.59999999999999992E-002   3.3782905211588359        5.0000000000000000        2.2071465824897527       0.17052114059821202     
  4.70000000000000001E-002   3.4182795623366742        5.0000000000000000        2.1527214978958247       0.17694597419845426     
  4.80000000000000010E-002   3.4572822734681856        5.0000000000000000        2.0996388084838777       0.18344547689454840     
  4.90000000000000019E-002   3.4953229824178020        5.0000000000000000        2.0478654040306710       0.19001780697068357     
  5.00000000000000028E-002   3.5324254169534073        5.0000000000000000        1.9973689910444117       0.19666116814073684     
  5.10000000000000037E-002   3.5686145159875613        5.0000000000000000        1.9481156276653522       0.20337367243013146     
  5.20000000000000046E-002   3.6039110219854718        5.0000000000000000        1.9000770833985989       0.21015374955199531     
  5.29999999999999985E-002   3.6383369505446832        5.0000000000000000        1.8532233950161447       0.21699973283829058     
  5.39999999999999994E-002   3.6719137741853447        5.0000000000000000        1.8075253384182852       0.22390999673409140     
  5.50000000000000003E-002   3.7046624357460041        5.0000000000000000        1.7629544104020300       0.23088295578346990     
  5.60000000000000012E-002   3.7366033614491019        5.0000000000000000        1.7194828108788345       0.23791706364038590     
  5.70000000000000021E-002   3.7677564736442894        5.0000000000000000        1.6770834255310616       0.24501081210396741     
  5.80000000000000029E-002   3.7981412032375022        5.0000000000000000        1.6357298088959418       0.25216273017758123     
  5.90000000000000038E-002   3.8277764979429523        5.0000000000000000        1.5953961731346569       0.25937138344412325     
  5.99999999999999978E-002   3.8566808393369865        5.0000000000000000        1.5560573648220015       0.26663537277497407     
  6.09999999999999987E-002   3.8848722560492108        5.0000000000000000        1.5176888469932723       0.27395333333137933     
  6.19999999999999996E-002   3.9123683320391756        5.0000000000000000        1.4802666878797357       0.28132393393787075     
  6.30000000000000004E-002   3.9391862175628534        5.0000000000000000        1.4437675459831978       0.28874587625206105     
  6.40000000000000013E-002   3.9653426398687177        5.0000000000000000        1.4081686555186690       0.29621789395490761     
  6.50000000000000022E-002   3.9908539136300969        5.0000000000000000        1.3734478122159370       0.30373875196094330     
  6.60000000000000031E-002   4.0157359511202859        5.0000000000000000        1.3395833594712276       0.31130724564797857     
  6.70000000000000040E-002   4.0400042818607487        5.0000000000000000        1.3065541616060155       0.31892219936965521     
  6.80000000000000049E-002   4.0636740276214631        5.0000000000000000        1.2743396378915182       0.32658246834801974     
  6.90000000000000058E-002   4.0867599531961281        5.0000000000000000        1.2429196934436666       0.33428693482963862     
  7.00000000000000067E-002   4.1092764591628583        5.0000000000000000        1.2122747290758400       0.34203450863364204     
  7.10000000000000075E-002   4.1312375908579142        5.0000000000000000        1.1823856290854859       0.34982412647237832     
  7.20000000000000084E-002   4.1526570471266888        5.0000000000000000        1.1532337493442406       0.35765475128892726     
  7.29999999999999954E-002   4.1735481964965935        5.0000000000000000        1.1248008952864248       0.36552537103274974     
  7.39999999999999963E-002   4.1939240623866478        5.0000000000000000        1.0970693420389011       0.37343499977938127     
  7.49999999999999972E-002   4.2137973539250222        5.0000000000000000        1.0700217924783635       0.38138267539742088     
  7.59999999999999981E-002   4.2331804667637387        5.0000000000000000        1.0436413761225636       0.38936745948685447     
  7.69999999999999990E-002   4.2520854908101446        5.0000000000000000        1.0179116386077174       0.39738843679375313     
  7.79999999999999999E-002   4.2705242177677407        5.0000000000000000       0.99281653142551285       0.40544471463940102     
  7.90000000000000008E-002   4.2885081484910428        5.0000000000000000       0.96834040191309068       0.41353542236350416     
  8.00000000000000017E-002   4.3060485055439832        5.0000000000000000       0.94446797616101263       0.42165971037346850     
  8.10000000000000026E-002   4.3231562439988114        5.0000000000000000       0.92118434431611729       0.42981674932688257     
  8.20000000000000034E-002   4.3398420325861844        5.0000000000000000       0.89847498623610655       0.43800573155852779     
  8.30000000000000043E-002   4.3561162804952023        5.0000000000000000       0.87632573501470090       0.44622586905151113     
  8.40000000000000052E-002   4.3719891401178321        5.0000000000000000       0.85472277324655399       0.45447639322950129     
  8.50000000000000061E-002   4.3874705132531373        5.0000000000000000       0.83365262458329747       0.46275655448704217     
  8.60000000000000070E-002   4.4025700969836619        5.0000000000000000       0.81310209129561450       0.47106561871653208     
  8.70000000000000079E-002   4.4172972712546601        5.0000000000000000       0.79305840727819166       0.47940287581891783     
  8.79999999999999949E-002   4.4316612208821677        5.0000000000000000       0.77350907199645669       0.48776763046720240     
  8.89999999999999958E-002   4.4456709041596412        5.0000000000000000       0.75444189321322830       0.49615920448304718     
  8.99999999999999967E-002   4.4593350584442879        5.0000000000000000       0.73584497938524152       0.50457693641386236     
  9.09999999999999976E-002   4.4726622056056975        5.0000000000000000       0.71770673224823966       0.51302018112032699     
  9.19999999999999984E-002   4.4856606573395794        5.0000000000000000       0.70001583958440705       0.52148830937411494     
  9.29999999999999993E-002   4.4983385203508686        5.0000000000000000       0.68276126816841476       0.52998070746551484     
  9.40000000000000002E-002   4.5107037014092137        5.0000000000000000       0.66593225688692204       0.53849677682070973     
  9.50000000000000011E-002   4.5227639122793875        5.0000000000000000       0.64951831002802374       0.54703593362852476     
  9.60000000000000020E-002   4.5345266745304622        5.0000000000000000       0.63350919073644396       0.55559760847635431     
  9.70000000000000029E-002   4.5459993242261811        5.0000000000000000       0.61789491462940505       0.56418124599508090     
  9.80000000000000038E-002   4.5571890164997626        5.0000000000000000       0.60266574357070524       0.57278630451274659     
  9.90000000000000047E-002   4.5681027300161023        5.0000000000000000       0.58781217959754484       0.58141225571674404     
  0.10000000000000001        4.5787472705966437        5.0000000000000000       0.57332495998697119       0.59005858437940117     
  0.10100000000000001        4.5891293022563113        5.0000000000000000       0.55919501501473490       0.59872478600836165     
  0.10200000000000001        4.5992553215623806        5.0000000000000000       0.54541350285291013       0.60741036878772048     
  0.10300000000000001        4.6091316443455819        5.0000000000000000       0.53197182765586426       0.61611485458404547     
  0.10400000000000001        4.6187644305080626        5.0000000000000000       0.51886160579695462       0.62483777706831634     
  0.10500000000000000        4.6281596878754074        5.0000000000000000       0.50607466062556417       0.63357868142431240     
  0.10600000000000000        4.6373232759533689        5.0000000000000000       0.49360301735432960       0.64233712406421195     
  0.10700000000000000        4.6462609095916534        5.0000000000000000       0.48143889807298479       0.65111267235122938     
  0.10800000000000000        4.6549781625570752        5.0000000000000000       0.46957471688494440       0.65990490432911419     
  0.10900000000000000        4.6634806074147104        5.0000000000000000       0.45800288952921442       0.66871339813259145     
  0.11000000000000000        4.6717734083321742        5.0000000000000000       0.44671638757366477       0.67753776281369371     
  0.11100000000000000        4.6798617348836435        5.0000000000000000       0.43570817522794042       0.68637760701515615     
  0.11200000000000000        4.6877506291720223        5.0000000000000000       0.42497139019002367       0.69523254902979426     
  0.11300000000000000        4.6954450089718884        5.0000000000000000       0.41449933936886157       0.70410221656257033     
  0.11400000000000000        4.7029496707949665        5.0000000000000000       0.40428549471193870       0.71298624649852615     
  0.11500000000000000        4.7102692928800112        5.0000000000000000       0.39432348913639143       0.72188428467643584     
  0.11600000000000001        4.7174084381090085        5.0000000000000000       0.38460711255995050       0.73079598566803938     
  0.11700000000000001        4.7243715568514562        5.0000000000000000       0.37513030802961073       0.73972101256271683     
  0.11800000000000001        4.7311629897385563        5.0000000000000000       0.36588716794655968       0.74865903675747403     
  0.11900000000000001        4.7377869703689806        5.0000000000000000       0.35687193038295034       0.75760973775210216     
  0.12000000000000000        4.7442476279479591        5.0000000000000000       0.34807897549052241       0.76657280294939112     
  0.12100000000000000        4.7505489898612936        5.0000000000000000       0.33950282199722132       0.77554792746026535     
  0.12200000000000000        4.7566949841859074        5.0000000000000000       0.33113812379048818       0.78453481391372426     
  0.12300000000000000        4.7626894421385071        5.0000000000000000       0.32297966658431770       0.79353317227147013     
  0.12400000000000000        4.7685361004638747        5.0000000000000000       0.31502236466914091       0.80254271964710466     
  0.12500000000000000        4.7742386037642834        5.0000000000000000       0.30726125774136853       0.81156318012978323     
  0.12600000000000000        4.7798005067714646        5.0000000000000000       0.29969150781102583       0.82059428461221706     
  0.12700000000000000        4.7852252765625858        5.0000000000000000       0.29230839618621157       0.82963577062291594     
  0.12800000000000000        4.7905162947215736        5.0000000000000000       0.28510732053126397       0.83868738216256644     
  0.12900000000000000        4.7956768594471608        5.0000000000000000       0.27808379199771222       0.84774886954444573     
  0.13000000000000000        4.8007101876089564        5.0000000000000000       0.27123343242603370       0.85681998923876768     
  0.13100000000000001        4.8056194167528243        5.0000000000000000       0.26455197161634675       0.86590050372086791     
  0.13200000000000001        4.8104076070568178        5.0000000000000000       0.25803524466640126       0.87499018132313267     
  0.13300000000000001        4.8150777432388887        5.0000000000000000       0.25167918937503053       0.88408879609057633     
  0.13400000000000001        4.8196327364175708        5.0000000000000000       0.24547984370997419       0.89319612763998280     
  0.13500000000000001        4.8240754259267646        5.0000000000000000       0.23943334333794272       0.90231196102251610     
  0.13600000000000001        4.8284085810858119        5.0000000000000000       0.23353591921512418       0.91143608658971997     
  0.13700000000000001        4.8326349029136351        5.0000000000000000       0.22778389525491063       0.92056829986375022     
  0.13800000000000001        4.8367570277997123        5.0000000000000000       0.22217368333123949       0.92970840125946952     
  0.13900000000000001        4.8407775271696174        5.0000000000000000       0.21670178373398155       0.93885619610976490     
  0.14000000000000001        4.8446989088990824        5.0000000000000000       0.21136478324421490       0.94801149455849720     
