  t                          U1                        U2                        U3                        U4                        U5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  0.76758362170171990       0.76758923655187083       0.76758965662054979       0.76758992839231210       0.76759013811398280     
  2.00000000000000004E-003   1.4173358434161154        1.4173402794156820        1.4173409593385327        1.4173413817099607        1.4173396679752364     
  3.00000000000000006E-003   1.9673389170526401        1.9673425996546001        1.9673427193735071        1.9673421661754065        1.9673399908183520     
  4.00000000000000008E-003   2.4329091907739602        2.4329111502376293        2.4329130090200843        2.4329145490810058        2.4329142677939397     
  5.00000000000000010E-003   2.8270270475614918        2.8270215279345448        2.8270216166131710        2.8270388910559530        2.8270390262972929     
  6.00000000000000012E-003   3.1606269462268233        3.1606214541621296        3.1606168887248249        3.1606372014150255        3.1606377446416585     
  7.00000000000000015E-003   3.4430101750471720        3.4430057208503162        3.4429940668542476        3.4430143870396046        3.4430217087177719     
  8.00000000000000017E-003   3.6820478027002088        3.6820383497346736        3.6820263349649451        3.6820405284022506        3.6820485817792776     
  9.00000000000000105E-003   3.8843814281718934        3.8843766012874430        3.8843663087013738        3.8843737951476478        3.8843793983829333     
  1.00000000000000002E-002   4.0556559698792434        4.0556492370847703        4.0556415638477894        4.0556469770960302        4.0556478550479591     
  1.09999999999999994E-002   4.2006394195710115        4.2006317421103372        4.2006218503870043        4.2006237264707815        4.2006240709513687     
  1.20000000000000002E-002   4.3233657132254528        4.3233570152073000        4.3233485707204631        4.3233461623390292        4.3233435807779674     
  1.30000000000000011E-002   4.4272454913067394        4.4272413395461117        4.4272330657109018        4.4272286995814030        4.4272253321840926     
  1.40000000000000003E-002   4.5151764040113926        4.5151733155706433        4.5151686085094145        4.5151642338890428        4.5151604766704940     
  1.49999999999999994E-002   4.5896032590855835        4.5896009422787865        4.5895970503204220        4.5895993854279631        4.5895957579501330     
  1.60000000000000003E-002   4.6526045174301087        4.6526025769269364        4.6525993855373970        4.6526016748019847        4.6526034743147431     
  1.70000000000000012E-002   4.7059342948343899        4.7059326375628245        4.7059299198637703        4.7059319150726466        4.7059337612778052     
  1.80000000000000021E-002   4.7510785355914091        4.7510758491006042        4.7510735358334246        4.7510752128641496        4.7510767997942018     
  1.89999999999999995E-002   4.7892925575076752        4.7892901112386461        4.7892869423521232        4.7892883492278626        4.7892896877849847     
