  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  1.89999999999999995E-002 -7.60292432234018628E-003  6.64373989030255224E-003  9.34525459392492909E-003  9.01105409783334657E-003  8.12656619508499677E-003
  2.00000000000000004E-002 -7.76070712671483171E-003  8.21490885308798734E-003  1.10548254791801651E-002  1.05413287540254055E-002  9.45840719366804368E-003
  2.10000000000000013E-002 -7.85705338255976785E-003  9.94710327028158411E-003  1.29127539176375657E-002  1.21959660738571972E-002  1.08948117149499975E-002
  2.19999999999999987E-002 -7.89021384091843220E-003  1.18404433341028296E-002  1.49179430503527406E-002  1.39735670179682494E-002  1.24343895626435746E-002
  2.29999999999999996E-002 -7.85875315423112918E-003  1.38945898101857299E-002  1.70689096082667219E-002  1.58724226510262231E-002  1.40754963848084610E-002
  2.40000000000000005E-002 -7.76147939651032365E-003  1.61088248371179556E-002  1.93638494761382007E-002  1.78905713517016028E-002  1.58162870098110461E-002
  2.50000000000000014E-002 -7.59745468134247464E-003  1.84821080643394198E-002  2.18006936618808447E-002  2.00258472266708239E-002  1.76547435415699526E-002
  2.60000000000000023E-002 -7.36592248509328803E-003  2.10131303805643072E-002  2.43771679727572375E-002  2.22759219315156465E-002  1.95887414618542317E-002
  2.69999999999999997E-002 -7.06629717229701696E-003  2.37003628556970783E-002  2.70908241668183121E-002  2.46383615718866397E-002  2.16160573880391123E-002
  2.80000000000000006E-002 -6.69813593042681548E-003  2.65420898639774118E-002  2.99391027186830735E-002  2.71106368410168191E-002  2.37344030661279411E-002
  2.90000000000000015E-002 -6.26111675905040299E-003  2.95364535904609656E-002  3.29193519135564452E-002  2.96901695916059229E-002  2.59414594839113416E-002
  2.99999999999999989E-002 -5.75503262340324763E-003  3.26814849076413477E-002  3.60288457279763427E-002  3.23743335249707109E-002  2.82348739630432603E-002
  3.09999999999999998E-002 -5.17988686919024482E-003  3.59751204245042505E-002  3.92648166375740293E-002  3.51604880221295310E-002  3.06122914985565882E-002
  3.20000000000000007E-002 -4.53555082158464164E-003  3.94152257807698428E-002  4.26244538414976282E-002  3.80459705177334517E-002  3.30713464317712452E-002
  3.30000000000000016E-002 -3.82204485382127467E-003  4.29996133848611767E-002  4.61049455436739405E-002  4.10281381458547784E-002  3.56096989514685658E-002
  3.40000000000000024E-002 -3.03943522142441271E-003  4.67260573837496446E-002  4.97034820387260712E-002  4.41043672864216835E-002  3.82250336958275677E-002
  3.50000000000000033E-002 -2.18782901436126312E-003  5.05923090090395280E-002  5.34172666102959576E-002  4.72720622775929591E-002  4.09150668281674929E-002
  3.60000000000000042E-002 -1.26727020651001528E-003  5.45960992147363905E-002  5.72435285766022747E-002  5.05286665148232533E-002  4.36775553817551759E-002
  3.69999999999999982E-002 -2.78042865934156024E-004  5.87351549364088649E-002  6.11795184942762124E-002  5.38716558691660352E-002  4.65102904645261148E-002
  3.79999999999999991E-002  7.79566397687473539E-004  6.30072043610008653E-002  6.52225256323039626E-002  5.72985549854126974E-002  4.94111117971282945E-002
