  t                          I1                        I2                        I3                        I4                        I5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003  0.15908511402555955       0.16099526717919233       0.16291551065845827       0.16483451544476677       0.16675247117745418     
  2.00000000000000004E-003  0.54123621134853583       0.54815455951416792       0.55507048495219380       0.56198906184210973       0.56892091350212248     
  3.00000000000000006E-003   1.0392193143679471        1.0533136127915863        1.0674053946478050        1.0815042611279679        1.0956073311035870     
  4.00000000000000008E-003   1.5816925918287936        1.6044734538173779        1.6272386372152521        1.6500070220169425        1.6727808562735385     
  5.00000000000000010E-003   2.1225771405969498        2.1550734753598522        2.1875414977278309        2.2199715718364224        2.2524398516273005     
  6.00000000000000012E-003   2.6335431783200494        2.6763927534294427        2.7192293344264038        2.7620272635868037        2.8048548936896922     
  7.00000000000000015E-003   3.0982220202648514        3.1518274320763791        3.2054328418889124        3.2590039292171822        3.3125862173681764     
  8.00000000000000017E-003   3.5084988848914969        3.5730748948703535        3.6376471127088590        3.7022076532233332        3.7667673118858094     
  9.00000000000000105E-003   3.8617091449733039        3.9373286207556091        4.0129434888156057        4.0885597321086813        4.1641717436785894     
  1.00000000000000002E-002   4.1586726136712064        4.2453117623301226        4.3319480116855784        4.4185916013831674        4.5052286037758114     
  1.09999999999999994E-002   4.4023543792191342        4.4999186194098080        4.5974787661120313        4.6950506806831491        4.7926187474148998     
  1.20000000000000002E-002   4.5969221354279064        4.7052663443026894        4.8136103850103487        4.9219619839798892        5.0303118665379412     
  1.30000000000000011E-002   4.7471126806210968        4.8660675571033769        4.9850146470569747        5.1039680339127464        5.2229222460136002     
  1.40000000000000003E-002   4.8578447091610295        4.9872026420409412        5.1165572422308259        5.2459121333798198        5.3752677828080380     
  1.49999999999999994E-002   4.9339218984023985        5.0734643777965998        5.2130034486121239        5.3525565571991205        5.4920960371664025     
  1.60000000000000003E-002   4.9799067432301891        5.1294051577774775        5.2789007570353172        5.4284100255750909        5.5779181883645235     
  1.70000000000000012E-002   4.9999985775817448        5.1592197448406072        5.3184383749844404        5.4776696307277604        5.6369007972177068     
  1.80000000000000021E-002   4.9980065140240066        5.1667117155915570        5.3354181303433075        5.5041358116067931        5.6728535530566431     
  1.89999999999999995E-002   4.9773295820256367        5.1552871230387902        5.3332427276972183        5.5112116982737795        5.6891807247679749     
  2.00000000000000004E-002   4.9409780846136897        5.1279546655767838        5.3149293302233085        5.5019115081027543        5.6888984636582185     
  2.10000000000000013E-002   4.8915922286380971        5.0873573505222600        5.2831206369902297        5.4788902204838008        5.6746599396450161     
  2.19999999999999987E-002   4.8314699829440722        5.0357974533447427        5.2401230310068634        5.4444534101830451        5.6487835787978948     
  2.29999999999999996E-002   4.7626010770568890        4.9752672181498809        5.1879333457517189        5.4006023920028827        5.6132717952589770     
  2.40000000000000005E-002   4.6867021595386751        4.9074888396204592        5.1282754702202249        5.3490645656755405        5.5698552714276257     
  2.50000000000000014E-002   4.6052464872527228        4.8339359576378573        5.0626298056977204        5.2913257075887090        5.5200229567268275     
  2.60000000000000023E-002   4.5194832541812691        4.7558715074429205        4.9922599805183845        5.2286544237136470        5.4650499348483548     
  2.69999999999999997E-002   4.4304788483398374        4.6743623667331864        4.9182460973067101        5.1621349479610981        5.4060221867985891     
  2.80000000000000006E-002   4.3391337669938981        4.5903155795309090        4.8414971299395564        5.0926820089068805        5.3438655853570447     
  2.90000000000000015E-002   4.2462095308111438        4.5044960596676482        4.7627824075282232        5.0210716276295875        5.2793589438936479     
  2.99999999999999989E-002   4.1523471514527071        4.4175497703708766        4.6827522714289778        4.9479572429116230        5.2131606951605924     
  3.09999999999999998E-002   4.0580823677612106        4.3300171321706378        4.6019517703889248        4.8738898998545501        5.1458257035196677     
  3.20000000000000007E-002   3.9638633606085154        4.2423514139724947        4.5208393410429863        4.7993301574344667        5.0778189968058465     
  3.30000000000000016E-002   3.8700601329037179        4.1549272898778566        4.4397943259757815        4.7246637456707727        5.0095314964514852     
  3.40000000000000024E-002   3.7769776669003767        4.0680543129044420        4.3591308468302490        4.6502093397261568        4.9412864341994611     
  3.50000000000000033E-002   3.6848653260177997        3.9819866329024673        4.2791075188674972        4.5762300073274425        4.8733513333946386     
  3.60000000000000042E-002   3.5939262794951978        3.8969310766205054        4.1999355333396267        4.5029415646126258        4.8059463626693688     
  3.69999999999999982E-002   3.5043235179770096        3.8130552738958685        4.1217867536695252        4.4305195116563567        4.7392512800530548     
  3.79999999999999991E-002   3.4161863830877466        3.7304927243510759        4.0447988404735131        4.3591059798611642        4.6734123293363670     
  3.89999999999999999E-002   3.3296158292825955        3.6493484328230328        3.9690808514927753        4.2888140745408334        4.6085466709249054     
  4.00000000000000008E-002   3.2446889110349737        3.5697033983067161        3.8947177323497186        4.2197326832759350        4.5447471406889379     
  4.10000000000000017E-002   3.1614626038518079        3.4916184370361769        3.8217741417496773        4.1519303031552450        4.4820860794090311     
  4.20000000000000026E-002   3.0799770537845061        3.4151374342566077        3.7502977055655258        4.0854582971019973        4.4206185914919436     
  4.30000000000000035E-002   3.0002582825106812        3.3402900743020778        3.6803217818514256        4.0203536612475999        4.3603853148352210     
  4.39999999999999974E-002   2.9223207109433358        3.2670942678262280        3.6118677619770030        3.9566413561518661        4.3014147727167718     
  4.49999999999999983E-002   2.8461689986778378        3.1955581315679038        3.5449472142848384        3.8943363352557778        4.2437253466358333     
  4.59999999999999992E-002   2.7717997001889785        3.1256815916150762        3.4795634442371974        3.8334452670511880        4.1873270322381577     
  4.70000000000000001E-002   2.6992027449061777        3.0574578376536183        3.4157129000040376        3.7739678862447694        4.1322228487733330     
  4.80000000000000010E-002   2.6283626147931050        2.9908745357741036        3.3533864315796467        3.7158982121060022        4.0784100014637774     
  4.90000000000000019E-002   2.5592593741646881        2.9259148391723468        3.2925702888325397        3.6592255924616737        4.0258809301633827     
  5.00000000000000028E-002   2.4918694932307335        2.8625582465890100        3.2332469927253551        3.6039355566136724        3.9746241784096483     
  5.10000000000000037E-002   2.4261665966934234        2.8007813161354500        3.1753960349864712        3.5500105423878523        3.9246251206501426     
  5.20000000000000046E-002   2.3621220694669356        2.7405582882664450        3.1189945117983022        3.4974305005231834        3.8758665703951554     
  5.29999999999999985E-002   2.2997055656680021        2.6818615967972725        3.0640176368420042        3.4461734235857926        3.8283292994477001     
  5.39999999999999994E-002   2.2388854484982876        2.6246622979035608        3.0104391722819326        3.3962157789073877        3.7819924806179341     
  5.50000000000000003E-002   2.1796291116707933        2.5689304424553856        2.9582318012940219        3.3475328719636637        3.7368340530198165     
  5.60000000000000012E-002   2.1219033100654099        2.5146353398033652        2.9073673996661489        3.3000991616653192        3.6928310284187451     
  5.70000000000000021E-002   2.0656744004702046        2.4617458424303891        2.8578173157869253        3.2538884841034719        3.6499597579754344     
  5.80000000000000029E-002   2.0109085487902485        2.4102305454568254        2.8095525741639888        3.2088742928080376        3.6081961167769587     
  5.90000000000000038E-002   1.9575691977716743        2.3600554625844974        2.7625440505869685        3.1650298279101774        3.5675157095335006     
  5.99999999999999978E-002   1.9056253656458815        2.3111917029483382        2.7167603097619346        3.1223282628671187        3.5278940112869099     
  6.09999999999999987E-002   1.8550435617066490        2.2636080162109438        2.6721746865504188        3.0807407120136814        3.4893064903115971     
  6.19999999999999996E-002   1.8057906276743980        2.2172734248100658        2.6287583843508022        3.0402427087280999        3.4517267929209798     
  6.30000000000000004E-002   1.7578338145960248        2.1721573024523719        2.5864828997266041        3.0008078722652396        3.4151326111282385     
  6.40000000000000013E-002   1.7111408445461964        2.1282294373650221        2.5453200872160222        2.9624101233323352        3.3794999319005208     
  6.50000000000000022E-002   1.6656799595501592        2.0854600827264549        2.5052422112771775        2.9250237375455224        3.3448050420854925     
  6.60000000000000031E-002   1.6214199597754013        2.0438199963250265        2.4662219874191216        2.8886233880305441        3.3110245724849645     
  6.70000000000000040E-002   1.5783302402798471        2.0032804713456618        2.4282326142527970        2.8531841789031200        3.2781355327672768     
  6.80000000000000049E-002   1.5363808025960344        1.9638133707078962        2.3912478016307519        2.8186816710966900        3.2461153386876576     
  6.90000000000000058E-002   1.4955422670658045        1.9253911203815695        2.3552417883887449        2.7850919071946580        3.2149418328588015     
  7.00000000000000067E-002   1.4557858882193213        1.8879867324661728        2.3201893442391537        2.7523914190294847        3.1845933054520406     
  7.10000000000000075E-002   1.4170835605633370        1.8515738122602539        2.2860657853035788        2.7205572335112636        3.1550484979156859     
  7.20000000000000084E-002   1.3794078207348563        1.8161265616616047        2.2528469787617604        2.6895668830727448        3.1262866079644445     
  7.29999999999999954E-002   1.3427318466513964        1.7816197795305742        2.2205093444296922        2.6593984084615014        3.0982872973012188     
  7.39999999999999963E-002   1.3070294328338377        1.7480288595498068        2.1890298538013306        2.6300303589628875        3.0710306930222879     
  7.49999999999999972E-002   1.2722750587120464        1.7153297697514034        2.1583860270043975        2.6014417905053873        3.0444973868729317     
  7.59999999999999981E-002   1.2384437965631891        1.6834991036457723        2.1285559153443403        2.5736122620290369        3.0186684327350530     
  7.69999999999999990E-002   1.2055113360996565        1.6525140061793013        2.0995181403105749        2.5465218199941986        2.9935253426685668     
  7.79999999999999999E-002   1.1734539750973898        1.6223521916275427        2.0712518326711784        2.5201510296675194        2.9690500724180318     
  7.90000000000000008E-002   1.1422486091953516        1.5929919344224737        2.0437366456432793        2.4944809230504794        2.9452250489298262     
  8.00000000000000017E-002   1.1118727107554471        1.5644120593113833        2.0169527460524939        2.4694930090499483        2.9220331232056846     
  8.10000000000000026E-002   1.0823043480486358        1.5365919211173122        1.9908808049553994        2.4451692650738948        2.8994575790201247     
  8.20000000000000034E-002   1.0535221444886742        1.5095114237081615        1.9655019786168499        2.4214921281971820        2.8774821250334450     
  8.30000000000000043E-002   1.0255052707353463        1.4831509801589500        1.9407979264387689        2.3984444775353686        2.8560908865614891     
  8.40000000000000052E-002  0.99823341505014729        1.4574914949869882        1.9167507731735589        2.3760096506638426        2.8352683894455022     
  8.50000000000000061E-002  0.97168682087554370        1.4325143702732326        1.8933430854127398        2.3541714086004819        2.8149995746859338     
  8.60000000000000070E-002  0.94584621686936310        1.4082015064231947        1.8705578998282462        2.3329139107295598        2.7952697666802111     
  8.70000000000000079E-002  0.92069291068052606        1.3845352542599636        1.8483787008751313        2.3122217517020802        2.7760646507299791     
  8.79999999999999949E-002  0.89620865111373771        1.3614984837258308        1.8267893877378849        2.2920799034539208        2.7573703054429926     
  8.89999999999999958E-002  0.87237566669680755        1.3390744762231621        1.8057743264329587        2.2724737957648364        2.7391731507840307     
  8.99999999999999967E-002  0.84917665386860453        1.3172469530259658        1.7853182630502875        2.2533891995444417        2.7214600212957891     
  9.09999999999999976E-002  0.82659476533599818        1.2960000643827441        1.7654063453613327        2.2348122600910343        2.7042180598048753     
  9.19999999999999984E-002  0.80461359861751480        1.2753183787856066        1.7460241128137679        2.2167294878130464        2.6874347476814227     
  9.29999999999999993E-002  0.78321718478879354        1.2551868724212456        1.7271574866888755        2.1991277490919137        2.6710978964096221     
  9.40000000000000002E-002  0.76238991797075095        1.2355909188158438        1.7087927604329938        2.1819942573010116        2.6551956392930363     
  9.50000000000000011E-002  0.74211672302376808        1.2165162228992770        1.6909165407308240        2.1653165639888314        2.6397164233063761     
  9.60000000000000020E-002  0.72238286882636249        1.1979489794046139        1.6735158857243588        2.1490825048005431        2.6246490011027661     
  9.70000000000000029E-002  0.70317401455474482        1.1798756959516399        1.6565781514617390        2.1332803268673404        2.6099823822651915     
  9.80000000000000038E-002  0.68447619955001460        1.1622832377506336        1.6400910290075206        2.1178985471129925        2.5957059479048832     
  9.90000000000000047E-002  0.66627583341758834        1.1451588183024564        1.6240425357433477        2.1029259868038568        2.5818093231755284     
  0.10000000000000001       0.64855968635723393        1.1284899903126782        1.6084210068660083        2.0883517636332880        2.5682824082686100     
  0.10100000000000001       0.63131487972158939        1.1122646368197842        1.5932150870860073        2.0741652839876012        2.5551153712483421     
  0.10200000000000001       0.61452887680407220        1.0964709625365860        1.5784137225217385        2.0603562353950315        2.5422986410554844     
  0.10300000000000001       0.59818947385049914        1.0810974854011304        1.5640061527902283        2.0469145791560890        2.5298229006750028     
  0.10400000000000001       0.58228479129393440        1.0661330283363866        1.5499819032912869        2.0338305431520647        2.5176790804711855     
  0.10500000000000000       0.56680326520775282        1.0515667112144440        1.5363307776830140        2.0210946148309188        2.5058583516840369     
  0.10600000000000000       0.55173363897478356        1.0373879430228103        1.5230428505450258        2.0086975343683924        2.4943521200875876     
  0.10700000000000000       0.53706495636247131        1.0235864142282662        1.5101084602267476        1.9966302880008573        2.4831520198057753     
  0.10800000000000000       0.52278654803234648        1.0101520904529400        1.4975182020539637        1.9848841015254726        2.4722499072858417     
  0.10900000000000000       0.50888802558634905       0.99707519809037792        1.4852629214787061        1.9734504344235271        2.4616378554226350     
  0.11000000000000000       0.49535921597783339       0.98434620490848235        1.4733337019036639        1.9623209721982886        2.4513081481207206     
  0.11100000000000000       0.48219027785536550       0.97195581000302189        1.4617218343337297        1.9514876173568823        2.4412532739992678     
  0.11200000000000000       0.46937163499335988       0.95989500316427945        1.4504188481522693        1.9409424554180530        2.4314659173517241     
  0.11300000000000000       0.45689396609015420       0.94815501403349856        1.4394165239282553        1.9306777997062015        2.4219389305316206     
  0.11400000000000000       0.44474819799281623       0.93672730572925045        1.4287068610370595        1.9206861858511253        2.4126653662275834     
  0.11500000000000000       0.43292529590783918       0.92560356864112159        1.4182820718449722        1.9109603481935964        2.4036384807489930     
  0.11600000000000001       0.42141686901494452       0.91477552534362661        1.4081345760466073        1.9014932145031538        2.3948517099347453     
  0.11700000000000001       0.41021455221478886       0.90423549499398148        1.3982568209784525        1.8922777449285055        2.3862986643802686     
  0.11800000000000001       0.39931020287319358       0.89397581637296697        1.3886418022023312        1.8833073959336066        2.3779731247902047     
  0.11900000000000001       0.38869589491144058       0.88398903201063417        1.3792825308494676        1.8745756472584105        2.3698688943297306     
  0.12000000000000000       0.37836391305264899       0.87426788277327572        1.3701722039219397        1.8660761520481375        2.3619802264880798     
  0.12100000000000000       0.36830674722019535       0.86480530259343069        1.3613041993542492        1.8578027322464064        2.3543013872152136     
  0.12200000000000000       0.35851708708419600       0.85559441333914454        1.3526720712053648        1.8497493741100410        2.3468267949631505     
  0.12300000000000000       0.34898781675237672       0.84662851981904452        1.3442695449779611        1.8419102238425247        2.3395510166335014     
  0.12400000000000000       0.33971200960154568       0.83790110491958270        1.3360905130614924        1.8342795833428720        2.3324687636322721     
  0.12500000000000000       0.33068292324599119       0.82940582487115788        1.3281290302959783        1.8268519060671413        2.3255748880290126     
  0.12600000000000000       0.32189399463926072       0.82113650463968735        1.3203793096533749        1.8196217929995238        2.3188643788176910     
  0.12700000000000000       0.31333883530590173       0.81308713344038708        1.3128357180333914        1.8125839887302682        2.3123323582766870     
  0.12800000000000000       0.30501122669966146       0.80525186037054519        1.3054927721708323        1.8057333776375788        2.3059740784252432     
  0.12900000000000000       0.29690511568493122       0.79762499015818578        1.2983451346515349        1.7990649801708183        2.2997849175739278     
  0.13000000000000000       0.28901461013806873       0.79020097902361497        1.2913876100340269        1.7925739492323070        2.2937603769665946     
  0.13100000000000001       0.28133397466559434       0.78297443065080574        1.2846151410741986        1.7862555666551940        2.2878960775114980     
  0.13200000000000001       0.27385762643612166       0.77594009226582572        1.2780228050501148        1.7801052397748618        2.2821877565991535     
  0.13300000000000001       0.26658013112293688       0.76909285081935008        1.2716058101846095        1.7741184980913558        2.2766312650047484     
  0.13400000000000001       0.25949619895445630       0.76242772927069913        1.2653594921627376        1.7682909900204928        2.2712225638727648     
  0.13500000000000001       0.25260068086958998       0.75593988297054693        1.2592793107419236        1.7626184797312410        2.2659577217817310     
  0.13600000000000001       0.24588856477529372       0.74962459613973187        1.2533608464520438        1.7570968440671975        2.2608329118870056     
  0.13700000000000001       0.23935497190361588       0.74347727844178380        1.2475997973832993        1.7517220695498248        2.2558444091394176     
  0.13800000000000001       0.23299515326556616       0.73749346164636465        1.2419919760594351        1.7464902494613743        2.2509885875778481     
  0.13900000000000001       0.22680448619919200       0.73166879638159721        1.2365333063940840        1.7413975810053157        2.2462619176937864     
  0.14000000000000001       0.22077847100955350       0.72599904897258116        1.2312198207280221        1.7364403625422760        2.2416609638659346     
  0.14100000000000001       0.21491272803968733       0.72048009836406435        1.2260476569451690        1.7316149908994456        2.2371823818629935     
  0.14200000000000002       0.20920299157199745       0.71510793323342770        1.2210130556652976        1.7269179587514971        2.2328229164128839     
  0.14300000000000002       0.20364510811127104       0.70987864591352279        1.2161123572859884        1.7223458521728243        2.2285793988365321     
  0.14400000000000002       0.19823503490816580       0.70478843249983614        1.2113419967384378        1.7178953473816694        2.2244487447562484     
  0.14499999999999999       0.19296883700260983       0.69983359051109728        1.2066985040108189        1.7135632068323823        2.2204279516068555     
  0.14599999999999999       0.18784268434610868       0.69501051618153786        1.2021785016110442        1.7093462793033871        2.2165140944271031     
