  t                         w1                        w2                        w3                        w4                        w5
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.00000000000000002E-003 -7.47142364654358043E-003  6.23124191913880694E-003  2.01316853251106570E-002  2.88358507779965800E-002  3.42579742067400245E-002
  2.00000000000000004E-003 -2.09774325999195852E-003  5.70213916017345487E-002  0.10258182664879617       0.12846430126415589       0.14367585462308355     
  3.00000000000000006E-003  6.74355889392097563E-003  0.11913276059855761       0.20018718634471191       0.24489178133956316       0.27067809315137986     
  4.00000000000000008E-003  1.62391490866178462E-002  0.18259858343195526       0.29882471313561582       0.36196957178806360       0.39805722527214826     
  5.00000000000000010E-003  2.58203880477809906E-002  0.24541804801998165       0.39568649233530295       0.47650446250506034       0.52242294832559144     
  6.00000000000000012E-003  3.53786568975255067E-002  0.30722459092204013       0.49028401508818636       0.58796202036045020       0.64321980424150493     
  7.00000000000000015E-003  4.48937752687556327E-002  0.36796434555503599       0.58257291970417024       0.69631354338064555       0.76043280246096878     
  8.00000000000000017E-003  5.43619861075799113E-002  0.42764244429033599       0.67259026121460230       0.80162390119464944       0.87414514569985691     
  9.00000000000000105E-003  6.37828069197786951E-002  0.48627493240820219       0.76038871793211749       0.90397340121174163       0.98445521535959946     
  1.00000000000000002E-002  7.31563372710814092E-002  0.54387957299861101       0.84602219885372376        1.0034453118008095        1.0914653290658487     
  1.09999999999999994E-002  8.24827918449590469E-002  0.60047427468424963       0.92954351785918321        1.1001203647366145        1.1952740810230136     
  1.20000000000000002E-002  9.17624033084304402E-002  0.65607673969892499        1.0110047713746204        1.1940785452834506        1.2959771509116080     
  1.30000000000000011E-002  0.10099540739414188       0.71070436800180359        1.0904567806093748        1.2853946398354563        1.3936687733539537     
  1.40000000000000003E-002  0.11018203910937559       0.76437425423090055        1.1679491118782934        1.3741429557533462        1.4884374324702445     
  1.49999999999999994E-002  0.11932253223357016       0.81710319220300676        1.2435301069262512        1.4603957086252120        1.5803706955154835     
  1.60000000000000003E-002  0.12841711970959746       0.86890768037420740        1.3172469136824918        1.5442230816784321        1.6695534373767515     
  1.70000000000000012E-002  0.13746603228419621       0.91980392727210070        1.3891455162034809        1.6256932835183409        1.7560678408515196     
  1.80000000000000021E-002  0.14646949986048188       0.96980785677582204        1.4592707637208953        1.7048726040462572        1.8399937532165087     
  1.89999999999999995E-002  0.15542775110007903        1.0189350885306017        1.5276663988519672        1.7818254686500923        1.9214086321867416     
  2.00000000000000004E-002  0.16434101344106800        1.0672010316142346        1.5943750850310798        1.8566144907673952        2.0003876175336615     
  2.10000000000000013E-002  0.17320951311451938        1.1146207829411741        1.6594384332092955        1.9293005229034532        2.0770036004892707     
  2.19999999999999987E-002  0.18203347515961621        1.1612091748562074        1.7228969685669751        1.9999426921465717        2.1513272702844137     
  2.29999999999999996E-002  0.19081312343746934        1.2069807798136172        1.7847903812929400        2.0685984587201149        2.2234272593497137     
  2.40000000000000005E-002  0.19954878037063728        1.2519499149720239        1.8451572641402700        2.1353237779971486        2.2933701076985638     
  2.50000000000000014E-002  0.20824056890245052        1.2961306277489633        1.9040352591706224        2.2001729174064297        2.3612204003412525     
  2.60000000000000023E-002  0.21688870939119270        1.3395367578885364        1.9614610285447391        2.2631986207981982        2.4270407297844745     
  2.69999999999999997E-002  0.22549342107048079        1.3821818848101586        2.0174704344183851        2.3244520684055110        2.4908917185738133     
  2.80000000000000006E-002  0.23405492205738937        1.4240793498254349        2.0720984127831370        2.3839831762008723        2.5528323883613928     
  2.90000000000000015E-002  0.24257342936017290        1.4652422603132902        2.1253790377514905        2.4418403793576471        2.6129199015650224     
  2.99999999999999989E-002  0.25104915888564416        1.5056834938205053        2.1773455427997561        2.4980707506577891        2.6712097102474437     
  3.09999999999999998E-002  0.25948232544625499        1.5454157020894133        2.2280303414881630        2.5527200387851283        2.7277556248963339     
  3.20000000000000007E-002  0.26787314276692142        1.5844513150143755        2.2774650476713929        2.6058327062996312        2.7826098264674597     
  3.30000000000000016E-002  0.27622182349162788        1.6228025441393363        2.3256804952122621        2.6574519805691819        2.8358229287180952     
  3.40000000000000024E-002  0.28452857918984098        1.6604813699484415        2.3727067128529882        2.7076197642412017        2.8874439167292625     
  3.50000000000000033E-002  0.29279362036275403        1.6974995802257744        2.4185730129865104        2.7563768676759501        2.9375204289333166     
  3.60000000000000042E-002  0.30101715644938731        1.7338687561169597        2.4633080050988454        2.8037629599797378        2.9860986782540131     
  3.69999999999999982E-002  0.30919939583255890        1.7696002757507954        2.5069395996966164        2.8498165946844352        3.0332234947539911     
  3.79999999999999991E-002  0.31734054584474336        1.8047053177972998        2.5494950227009845        2.8945752411127952        3.0789383670075559     
  3.89999999999999999E-002  0.32544081277382758        1.8391948594260232        2.5910007904580592        2.9380752709617224        3.1232854300585413     
  4.00000000000000008E-002  0.33350040186877750        1.8730796989981644        2.6314828329417415        2.9803521411955263        3.1663056874926814     
  4.10000000000000017E-002  0.34151951734522323        1.9063704368734671        2.6709663976783991        3.0214402425676790        3.2080388325439575     
  4.20000000000000026E-002  0.34949836239097132        1.9390774876629746        2.7094761097825995        3.0613729992868168        3.2485233714586021     
  4.30000000000000035E-002  0.35743713917144887        1.9712110834829133        2.7470359872951802        3.1001828961710363        3.2877966589776642     
  4.39999999999999974E-002  0.36533604883508686        2.0027812771510103        2.7836694561427731        3.1379015050389842        3.3258949327587928     
  4.49999999999999983E-002  0.37319529172741911        2.0337979453262376        2.8193993540179978        3.1745594929348155        3.3628533251231318     
