  M                         t_p                        w                        I
  0  3.60000000000000042E-002   4.9978782196167755       3.11837817874173690E-003
  5.7  3.69999999999999982E-002   4.6143235763090287       0.52121062111618555     
  11.4  3.79999999999999991E-002   4.2307689819906136        1.0393027920540876     
  17.1  3.89999999999999999E-002   3.8472143606685902        1.5573950026791432     
  22.8  4.00000000000000008E-002   3.4636597569149652        2.0754871874839460       
