t	v	
0.000000	0.000000	
0.000010	0.089429	
0.000020	0.339968	
0.000030	0.725944	
0.000040	1.221920	
0.000050	1.803366	
0.000060	2.446534	
0.000070	3.128541	
0.000080	3.826847	
0.000090	4.519512	
0.000100	5.189735	
0.000110	5.820586	
0.000120	6.396208	
0.000130	6.902851	
0.000140	7.328673	
0.000150	7.663797	
0.000160	7.900691	
0.000170	8.033793	
0.000180	8.059668	
0.000190	7.977051	
0.000200	7.786681	
0.000210	7.491313	
0.000220	7.095493	
0.000230	6.605526	
0.000240	6.029426	
0.000250	5.376286	
0.000260	4.656584	
0.000270	3.881808	
0.000280	3.064318	
0.000290	2.216862	
0.000300	1.353295	
0.000310	0.487293	
0.000320	-0.367974	
0.000330	-1.199907	
0.000340	-1.996759	
0.000350	-2.746568	
0.000360	-3.438517	
0.000370	-4.062837	
0.000380	-4.610949	
0.000390	-5.075618	
0.000400	-5.450868	
0.000410	-5.732462	
0.000420	-5.917555	
0.000430	-6.004930	
0.000440	-5.994886	
0.000450	-5.889274	
0.000460	-5.691393	
0.000470	-5.406058	
0.000480	-5.039135	
0.000490	-4.597781	
0.000500	-4.090225	
0.000510	-3.525593	
0.000520	-2.913837	
0.000530	-2.265451	
0.000540	-1.591192	
0.000550	-0.902695	
0.000560	-0.212159	
0.000570	0.470077	
0.000580	1.133716	
0.000590	1.769117	
0.000600	2.366428	
0.000610	2.916790	
0.000620	3.412220	
0.000630	3.845724	
0.000640	4.211423	
0.000650	4.504589	
0.000660	4.721726	
0.000670	4.860625	
0.000680	4.920328	
0.000690	4.901150	
0.000700	4.804649	
0.000710	4.633598	
0.000720	4.391917	
0.000730	4.084552	
0.000740	3.717400	
0.000750	3.297253	
0.000760	2.831618	
0.000770	2.328602	
0.000780	1.796534	
0.000790	1.244891	
0.000800	0.682742	
0.000810	0.119654	
0.000820	-0.435688	
0.000830	-0.974856	
0.000840	-1.489576	
0.000850	-1.972869	
0.000860	-2.417148	
0.000870	-2.816008	
0.000880	-3.163851	
0.000890	-3.455980	
0.000900	-3.688653	
0.000910	-3.859127	
0.000920	-3.965726	
0.000930	-4.007782	
0.000940	-3.985663	
0.000950	-3.900746	
0.000960	-3.755387	
0.000970	-3.552870	
0.000980	-3.297314	
0.000990	-2.993618	
0.001000	-2.647361	
0.001010	-2.264723	
0.001020	-1.852382	
0.001030	-1.417109	
0.001040	-0.966695	
0.001050	-0.508527	
0.001060	-0.050817	
0.001070	0.399966	
0.001080	0.836851	
0.001090	1.253147	
0.001100	1.643284	
0.001110	2.001114	
0.001120	2.321483	
0.001130	2.599924	
0.001140	2.832699	
0.001150	3.016844	
0.001160	3.150211	
0.001170	3.231529	
0.001180	3.260341	
0.001190	3.237033	
0.001200	3.162808	
0.001210	3.039677	
0.001220	2.870379	
0.001230	2.658327	
0.001240	2.407570	
0.001250	2.122705	
0.001260	1.808811	
0.001270	1.471323	
0.001280	1.115797	
0.001290	0.748601	
0.001300	0.375770	
0.001310	0.003801	
0.001320	-0.361975	
0.001330	-0.715792	
0.001340	-1.052290	
0.001350	-1.367046	
0.001360	-1.655077	
0.001370	-1.912249	
0.001380	-2.134983	
0.001390	-2.320306	
0.001400	-2.465874	
0.001410	-2.570000	
0.001420	-2.631731	
0.001430	-2.650770	
0.001440	-2.627500	
0.001450	-2.562972	
0.001460	-2.458899	
0.001470	-2.317557	
0.001480	-2.141781	
0.001490	-1.934912	
0.001500	-1.700735	
0.001510	-1.443392	
0.001520	-1.167072	
0.001530	-0.876979	
0.001540	-0.577937	
0.001550	-0.274870	
0.001560	0.027106	
0.001570	0.323427	
0.001580	0.609580	
0.001590	0.881197	
0.001600	1.134803	
0.001610	1.366327	
0.001620	1.572471	
0.001630	1.750374	
0.001640	1.897668	
0.001650	2.012517	
0.001660	2.093600	
0.001670	2.140200	
0.001680	2.152141	
0.001690	2.129788	
0.001700	2.074063	
0.001710	1.986402	
0.001720	1.868701	
0.001730	1.723305	
0.001740	1.552963	
0.001750	1.360773	
0.001760	1.150137	
0.001770	0.924482	
0.001780	0.688072	
0.001790	0.444835	
0.001800	0.198741	
0.001810	-0.045424	
0.001820	-0.284829	
0.001830	-0.515608	
0.001840	-0.734243	
0.001850	-0.938035	
0.001860	-1.123664	
0.001870	-1.288487	
0.001880	-1.430215	
0.001890	-1.546983	
0.001900	-1.637348	
0.001910	-1.700280	
0.001920	-1.735250	
0.001930	-1.742163	
0.001940	-1.721363	
0.001950	-1.673656	
0.001960	-1.600226	
0.001970	-1.502644	
0.001980	-1.382842	
0.001990	-1.243078	
0.002000	-1.085892	
0.002010	-0.914061	
0.002020	-0.730378	
0.002030	-0.538330	
0.002040	-0.341102	
0.002050	-0.141936	
0.002060	0.055392	
0.002070	0.248512	
0.002080	0.434332	
0.002090	0.610030	
0.002100	0.773526	
0.002110	0.922103	
0.002120	1.053656	
0.002130	1.166376	
0.002140	1.258780	
0.002150	1.329725	
0.002160	1.378422	
0.002170	1.404486	
0.002180	1.407878	
0.002190	1.388911	
0.002200	1.348282	
0.002210	1.286973	
0.002220	1.206283	
0.002230	1.107804	
0.002240	0.993382	
0.002250	0.865093	
0.002260	0.724939	
0.002270	0.575793	
0.002280	0.420162	
0.002290	0.260628	
0.002300	0.099827	
0.002310	-0.059224	
0.002320	-0.214655	
0.002330	-0.363917	
0.002340	-0.504778	
0.002350	-0.635630	
0.002360	-0.754274	
0.002370	-0.859031	
0.002380	-0.948466	
0.002390	-1.021409	
0.002400	-1.076966	
0.002410	-1.114524	
0.002420	-1.133803	
0.002430	-1.134808	
0.002440	-1.117833	
0.002450	-1.083458	
0.002460	-1.032500	
0.002470	-0.966028	
0.002480	-0.885346	
0.002490	-0.791964	
0.002500	-0.687573	
0.002510	-0.573819	
0.002520	-0.453003	
0.002530	-0.327154	
0.002540	-0.198362	
0.002550	-0.069107	
0.002560	0.058504	
0.002570	0.183019	
0.002580	0.302433	
0.002590	0.414940	
0.002600	0.519225	
0.002610	0.613571	
0.002620	0.696649	
0.002630	0.767325	
0.002640	0.824679	
0.002650	0.868012	
0.002660	0.896858	
0.002670	0.911027	
0.002680	0.910534	
0.002690	0.895631	
0.002700	0.866817	
0.002710	0.824763	
0.002720	0.770346	
0.002730	0.704630	
0.002740	0.628839	
0.002750	0.544110	
0.002760	0.452301	
0.002770	0.354984	
0.002780	0.253791	
0.002790	0.150406	
0.002800	0.046785	
0.002810	-0.055360	
0.002820	-0.154869	
0.002830	-0.250144	
0.002840	-0.339748	
0.002850	-0.422353	
0.002860	-0.497158	
0.002870	-0.562850	
0.002880	-0.618538	
0.002890	-0.663501	
0.002900	-0.697197	
0.002910	-0.719288	
0.002920	-0.729623	
0.002930	-0.728234	
0.002940	-0.715335	
0.002950	-0.691337	
0.002960	-0.656802	
0.002970	-0.612446	
0.002980	-0.559136	
0.002990	-0.497860	
0.003000	-0.429528	
0.003010	-0.355654	
0.003020	-0.277497	
0.003030	-0.196371	
0.003040	-0.113630	
0.003050	-0.030850	
0.003060	0.050635	
0.003070	0.129891	
0.003080	0.205651	
0.003090	0.276773	
0.003100	0.342205	
0.003110	0.401363	
0.003120	0.453178	
0.003130	0.496948	
0.003140	0.532112	
0.003150	0.558256	
0.003160	0.575126	
0.003170	0.582609	
0.003180	0.580741	
0.003190	0.569709	
0.003200	0.549840	
0.003210	0.521608	
0.003220	0.485595	
0.003230	0.442499	
0.003240	0.392888	
0.003250	0.338004	
0.003260	0.278799	
0.003270	0.216281	
0.003280	0.151501	
0.003290	0.085544	
0.003300	0.019693	
0.003310	-0.045050	
0.003320	-0.107920	
0.003330	-0.167919	
0.003340	-0.224144	
0.003350	-0.275763	
0.003360	-0.322360	
0.003370	-0.363067	
0.003380	-0.397337	
0.003390	-0.424736	
0.003400	-0.444952	
0.003410	-0.457785	
0.003420	-0.463156	
0.003430	-0.461104	
0.003440	-0.451785	
0.003450	-0.435470	
0.003460	-0.412535	
0.003470	-0.383463	
0.003480	-0.348815	
0.003490	-0.309040	
0.003500	-0.265150	
0.003510	-0.217906	
0.003520	-0.168112	
0.003530	-0.116605	
0.003540	-0.064254	
0.003550	-0.012233	
0.003560	0.038885	
0.003570	0.088457	
0.003580	0.135685	
0.003590	0.179866	
0.003600	0.220347	
0.003610	0.256842	
0.003620	0.288648	
0.003630	0.315346	
0.003640	0.336602	
0.003650	0.352172	
0.003660	0.361904	
0.003670	0.365743	
0.003680	0.363728	
0.003690	0.355989	
0.003700	0.342746	
0.003710	0.324302	
0.003720	0.301039	
0.003730	0.273175	
0.003740	0.241571	
0.003750	0.206781	
0.003760	0.169405	
0.003770	0.130080	
0.003780	0.089475	
0.003790	0.048266	
0.003800	0.007509	
0.003810	-0.032520	
0.003820	-0.071390	
0.003830	-0.108332	
0.003840	-0.142836	
0.003850	-0.174404	
0.003860	-0.202597	
0.003870	-0.227037	
0.003880	-0.247701	
0.003890	-0.264092	
0.003900	-0.276024	
0.003910	-0.283384	
0.003920	-0.286134	
0.003930	-0.284308	
0.003940	-0.278015	
0.003950	-0.267430	
0.003960	-0.252563	
0.003970	-0.234011	
0.003980	-0.212138	
0.003990	-0.187355	
0.004000	-0.160106	
0.004010	-0.130870	
0.004020	-0.100143	
0.004030	-0.068447	
0.004040	-0.036290	
0.004050	-0.004518	
0.004060	0.026774	
0.004070	0.057035	
0.004080	0.085801	
0.004090	0.112649	
0.004100	0.137191	
0.004110	0.159085	
0.004120	0.178037	
0.004130	0.193808	
0.004140	0.206210	
0.004150	0.215116	
0.004160	0.220455	
0.004170	0.222212	
0.004180	0.220433	
0.004190	0.215215	
0.004200	0.206707	
0.004210	0.195110	
0.004220	0.180667	
0.004230	0.163661	
0.004240	0.144410	
0.004250	0.123260	
0.004260	0.100582	
0.004270	0.076785	
0.004280	0.052207	
0.004290	0.027317	
0.004300	0.002746	
0.004310	-0.021447	
0.004320	-0.044788	
0.004330	-0.067020	
0.004340	-0.087734	
0.004350	-0.106658	
0.004360	-0.123527	
0.004370	-0.138116	
0.004380	-0.150239	
0.004390	-0.159754	
0.004400	-0.166563	
0.004410	-0.170611	
0.004420	-0.171889	
0.004430	-0.170432	
0.004440	-0.166317	
0.004450	-0.159661	
0.004460	-0.150620	
0.004470	-0.139381	
0.004480	-0.126166	
0.004490	-0.111221	
0.004500	-0.094815	
0.004510	-0.077266	
0.004520	-0.058804	
0.004530	-0.039775	
0.004540	-0.020541	
0.004550	-0.001580	
0.004560	0.017082	
0.004570	0.035082	
0.004580	0.052174	
0.004590	0.068147	
0.004600	0.082706	
0.004610	0.095676	
0.004620	0.106881	
0.004630	0.116181	
0.004640	0.123466	
0.004650	0.128660	
0.004660	0.131724	
0.004670	0.132650	
0.004680	0.131466	
0.004690	0.128232	
0.004700	0.123040	
0.004710	0.116010	
0.004720	0.107288	
0.004730	0.097046	
0.004740	0.085473	
0.004750	0.072805	
0.004760	0.059209	
0.004770	0.044937	
0.004780	0.030255	
0.004790	0.015432	
0.004800	0.000827	
0.004810	-0.013537	
0.004820	-0.027370	
0.004830	-0.040479	
0.004840	-0.052709	
0.004850	-0.063893	
0.004860	-0.073879	
0.004870	-0.082465	
0.004880	-0.089581	
0.004890	-0.095146	
0.004900	-0.099100	
0.004910	-0.101414	
0.004920	-0.102083	
0.004930	-0.101129	
0.004940	-0.098598	
0.004950	-0.094563	
0.004960	-0.089115	
0.004970	-0.082368	
0.004980	-0.074486	
0.004990	-0.065562	
0.005000	-0.055762	
0.005010	-0.045268	
0.005020	-0.034281	
0.005030	-0.022983	
0.005040	-0.011602	
0.005050	-0.000394	
0.005060	0.010616	
0.005070	0.021199	
0.005080	0.031245	
0.005090	0.040580	
0.005100	0.049101	
0.005110	0.056693	
0.005120	0.063257	
0.005130	0.068708	
0.005140	0.072980	
0.005150	0.076027	
0.005160	0.077771	
0.005170	0.078254	
0.005180	0.077494	
0.005190	0.075566	
0.005200	0.072474	
0.005210	0.068288	
0.005220	0.063096	
0.005230	0.056999	
0.005240	0.050115	
0.005250	0.042573	
0.005260	0.034523	
0.005270	0.026093	
0.005280	0.017436	
0.005290	0.008743	
0.005300	0.000184	
0.005310	-0.008205	
0.005320	-0.016253	
0.005330	-0.023890	
0.005340	-0.031003	
0.005350	-0.037464	
0.005360	-0.043211	
0.005370	-0.048168	
0.005380	-0.052274	
0.005390	-0.055480	
0.005400	-0.057751	
0.005410	-0.059070	
0.005420	-0.059432	
0.005430	-0.058848	
0.005440	-0.057345	
