t	v	
0.000000	0.000000	
0.000010	0.177489	
0.000020	0.668666	
0.000030	1.409770	
0.000040	2.336438	
0.000050	3.384287	
0.000060	4.489388	
0.000070	5.589914	
0.000080	6.633192	
0.000090	7.570980	
0.000100	8.361083	
0.000110	8.969216	
0.000120	9.369709	
0.000130	9.545652	
0.000140	9.488953	
0.000150	9.200321	
0.000160	8.688672	
0.000170	7.970285	
0.000180	7.068565	
0.000190	6.012683	
0.000200	4.835516	
0.000210	3.574105	
0.000220	2.267073	
0.000230	0.956170	
0.000240	-0.321403	
0.000250	-1.530285	
0.000260	-2.636597	
0.000270	-3.610835	
0.000280	-4.428197	
0.000290	-5.069559	
0.000300	-5.521648	
0.000310	-5.777400	
0.000320	-5.836111	
0.000330	-5.703136	
0.000340	-5.389401	
0.000350	-4.911179	
0.000360	-4.289350	
0.000370	-3.548773	
0.000380	-2.716388	
0.000390	-1.821885	
0.000400	-0.896194	
0.000410	0.028557	
0.000420	0.924831	
0.000430	1.765842	
0.000440	2.526507	
0.000450	3.185183	
0.000460	3.724309	
0.000470	4.130614	
0.000480	4.395420	
0.000490	4.514775	
0.000500	4.489451	
0.000510	4.324798	
0.000520	4.030269	
0.000530	3.619206	
0.000540	3.108178	
0.000550	2.516386	
0.000560	1.864616	
0.000570	1.175235	
0.000580	0.471842	
0.000590	-0.223393	
0.000600	-0.888821	
0.000610	-1.505345	
0.000620	-2.054924	
0.000630	-2.522420	
0.000640	-2.895630	
0.000650	-3.165989	
0.000660	-3.328242	
0.000670	-3.380759	
0.000680	-3.325459	
0.000690	-3.167509	
0.000700	-2.915166	
0.000710	-2.579467	
0.000720	-2.173391	
0.000730	-1.711882	
0.000740	-1.211068	
0.000750	-0.688599	
0.000760	-0.161802	
0.000770	0.352581	
0.000780	0.839181	
0.000790	1.284330	
0.000800	1.675072	
0.000810	2.000853	
0.000820	2.253495	
0.000830	2.427391	
0.000840	2.519585	
0.000850	2.529786	
0.000860	2.460290	
0.000870	2.315849	
0.000880	2.103345	
0.000890	1.831583	
0.000900	1.510975	
0.000910	1.152851	
0.000920	0.770301	
0.000930	0.376146	
0.000940	-0.016647	
0.000950	-0.395922	
0.000960	-0.750336	
0.000970	-1.070270	
0.000980	-1.346453	
0.000990	-1.571598	
0.001000	-1.740249	
0.001010	-1.848888	
0.001020	-1.896049	
0.001030	-1.882214	
0.001040	-1.809768	
0.001050	-1.682852	
0.001060	-1.507174	
0.001070	-1.289786	
0.001080	-1.038871	
0.001090	-0.763191	
0.001100	-0.472681	
0.001110	-0.176895	
0.001120	0.114527	
0.001130	0.392690	
0.001140	0.649328	
0.001150	0.877797	
0.001160	1.071432	
0.001170	1.225271	
0.001180	1.335751	
0.001190	1.400754	
0.001200	1.419730	
0.001210	1.393547	
0.001220	1.324506	
0.001230	1.216118	
0.001240	1.073038	
0.001250	0.900880	
0.001260	0.705712	
0.001270	0.494934	
0.001280	0.275655	
0.001290	0.055399	
0.001300	-0.159042	
0.001310	-0.361348	
0.001320	-0.545557	
0.001330	-0.707114	
0.001340	-0.841319	
0.001350	-0.944827	
0.001360	-1.015363	
0.001370	-1.051744	
0.001380	-1.053957	
0.001390	-1.023059	
0.001400	-0.961080	
0.001410	-0.870950	
0.001420	-0.756387	
0.001430	-0.621766	
0.001440	-0.471818	
0.001450	-0.312131	
0.001460	-0.148060	
0.001470	0.014146	
0.001480	0.170603	
0.001490	0.316433	
0.001500	0.447393	
0.001510	0.560489	
0.001520	0.652354	
0.001530	0.720793	
0.001540	0.764393	
0.001550	0.782580	
0.001560	0.775639	
0.001570	0.744636	
0.001580	0.691285	
0.001590	0.617969	
0.001600	0.527630	
0.001610	0.423461	
0.001620	0.309592	
0.001630	0.189914	
0.001640	0.068436	
0.001650	-0.050492	
0.001660	-0.163865	
0.001670	-0.268215	
0.001680	-0.360565	
0.001690	-0.438994	
0.001700	-0.501114	
0.001710	-0.545494	
0.001720	-0.571283	
0.001730	-0.578303	
0.001740	-0.566996	
0.001750	-0.538300	
0.001760	-0.493660	
0.001770	-0.434986	
0.001780	-0.364330	
0.001790	-0.284749	
0.001800	-0.199020	
0.001810	-0.110046	
0.001820	-0.021233	
0.001830	0.065146	
0.001840	0.146430	
0.001850	0.220283	
0.001860	0.284691	
0.001870	0.338383	
0.001880	0.379708	
0.001890	0.407757	
0.001900	0.422072	
0.001910	0.422687	
0.001920	0.410065	
0.001930	0.385019	
0.001940	0.348727	
0.001950	0.302445	
0.001960	0.248352	
0.001970	0.188393	
0.001980	0.124641	
0.001990	0.059238	
0.002000	-0.005572	
0.002010	-0.067869	
0.002020	-0.125850	
0.002030	-0.177841	
0.002040	-0.222726	
0.002050	-0.259143	
0.002060	-0.286229	
0.002070	-0.303434	
0.002080	-0.310562	
0.002090	-0.307721	
0.002100	-0.295346	
0.002110	-0.274136	
0.002120	-0.245039	
0.002130	-0.209061	
0.002140	-0.167846	
0.002150	-0.122856	
0.002160	-0.075636	
0.002170	-0.027985	
0.002180	0.018382	
0.002190	0.062607	
0.002200	0.103287	
0.002210	0.139257	
0.002220	0.169531	
0.002230	0.193741	
0.002240	0.211059	
0.002250	0.221189	
0.002260	0.224052	
0.002270	0.219800	
0.002280	0.208808	
0.002290	0.191652	
0.002300	0.168888	
0.002310	0.141711	
0.002320	0.111110	
0.002330	0.078159	
0.002340	0.043987	
0.002350	0.009935	
0.002360	-0.022995	
0.002370	-0.054031	
0.002380	-0.082231	
0.002390	-0.106796	
0.002400	-0.127057	
0.002410	-0.142900	
0.002420	-0.153737	
0.002430	-0.159395	
0.002440	-0.159871	
0.002450	-0.155325	
0.002460	-0.146070	
0.002470	-0.132352	
0.002480	-0.115075	
0.002490	-0.094881	
0.002500	-0.072496	
0.002510	-0.048701	
0.002520	-0.024324	
0.002530	-0.000637	
0.002540	0.022349	
