t	v	
0.002790	0.351987	
0.002800	0.188392	
0.002810	0.025353	
0.002820	-0.136086	
0.002830	-0.294131	
0.002840	-0.447177	
0.002850	-0.593658	
0.002860	-0.732438	
0.002870	-0.861928	
0.002880	-0.980863	
0.002890	-1.088099	
0.002900	-1.182628	
0.002910	-1.263583	
0.002920	-1.330253	
0.002930	-1.382081	
0.002940	-1.418681	
0.002950	-1.439849	
0.002960	-1.445530	
0.002970	-1.435835	
0.002980	-1.411034	
0.002990	-1.371579	
0.003000	-1.318039	
0.003010	-1.251133	
0.003020	-1.171712	
0.003030	-1.080755	
0.003040	-0.979352	
0.003050	-0.868695	
0.003060	-0.749842	
0.003070	-0.624490	
0.003080	-0.494038	
0.003090	-0.359927	
0.003100	-0.223633	
0.003110	-0.086853	
0.003120	0.048685	
0.003130	0.182172	
0.003140	0.312121	
0.003150	0.437197	
0.003160	0.556130	
0.003170	0.668078	
0.003180	0.771700	
0.003190	0.865999	
0.003200	0.950081	
0.003210	1.023165	
0.003220	1.084595	
0.003230	1.133846	
0.003240	1.170530	
0.003250	1.194410	
0.003260	1.205373	
0.003270	1.203446	
0.003280	1.188791	
0.003290	1.161705	
0.003300	1.122626	
0.003310	1.072098	
0.003320	1.010777	
0.003330	0.939431	
0.003340	0.858927	
0.003350	0.770223	
0.003360	0.674118	
0.003370	0.572060	
0.003380	0.465194	
0.003390	0.354708	
0.003400	0.241821	
0.003410	0.127777	
0.003420	0.013906	
0.003430	-0.098664	
0.003440	-0.208780	
0.003450	-0.315342	
0.003460	-0.417261	
0.003470	-0.513507	
0.003480	-0.603480	
0.003490	-0.686057	
0.003500	-0.760447	
0.003510	-0.825952	
0.003520	-0.881974	
0.003530	-0.928023	
0.003540	-0.963725	
0.003550	-0.988823	
0.003560	-1.003167	
0.003570	-1.006725	
0.003580	-0.999580	
0.003590	-0.981924	
0.003600	-0.954062	
0.003610	-0.916412	
0.003620	-0.869480	
0.003630	-0.813864	
0.003640	-0.750249	
0.003650	-0.679399	
0.003660	-0.601908	
0.003670	-0.519020	
0.003680	-0.431671	
0.003690	-0.340835	
0.003700	-0.247519	
0.003710	-0.152756	
0.003720	-0.057705	
0.003730	0.036429	
0.003740	0.129048	
0.003750	0.219155	
0.003760	0.305824	
0.003770	0.388175	
0.003780	0.465381	
0.003790	0.537041	
0.003800	0.602209	
0.003810	0.660268	
0.003820	0.710679	
0.003830	0.752992	
0.003840	0.786857	
0.003850	0.812011	
0.003860	0.828283	
0.003870	0.835600	
0.003880	0.833984	
0.003890	0.823552	
0.003900	0.804512	
0.003910	0.777162	
0.003920	0.741888	
0.003930	0.699156	
0.003940	0.649502	
0.003950	0.593528	
0.003960	0.531900	
0.003970	0.465158	
0.003980	0.394344	
0.003990	0.320251	
0.004000	0.243704	
0.004010	0.165552	
0.004020	0.086669	
0.004030	0.008437	
0.004040	-0.069100	
0.004050	-0.144854	
0.004060	-0.218120	
0.004070	-0.288149	
0.004080	-0.354234	
0.004090	-0.416012	
0.004100	-0.472686	
0.004110	-0.523712	
0.004120	-0.568613	
0.004130	-0.606987	
0.004140	-0.638502	
0.004150	-0.662902	
0.004160	-0.680007	
0.004170	-0.689717	
0.004180	-0.692014	
0.004190	-0.686955	
0.004200	-0.674676	
0.004210	-0.655388	
0.004220	-0.629375	
0.004230	-0.596989	
0.004240	-0.558646	
0.004250	-0.514823	
0.004260	-0.466049	
0.004270	-0.412709	
0.004280	-0.355702	
0.004290	-0.295670	
0.004300	-0.233283	
0.004310	-0.169235	
0.004320	-0.104242	
0.004330	-0.039099	
0.004340	0.025365	
0.004350	0.088807	
0.004360	0.150470	
0.004370	0.209729	
0.004380	0.265997	
0.004390	0.318711	
0.004400	0.367655	
0.004410	0.412147	
0.004420	0.451769	
0.004430	0.486159	
0.004440	0.515013	
0.004450	0.538087	
0.004460	0.555202	
0.004470	0.566245	
0.004480	0.571166	
0.004490	0.569983	
0.004500	0.562775	
0.004510	0.549689	
0.004520	0.530929	
0.004530	0.506758	
0.004540	0.477494	
0.004550	0.443508	
0.004560	0.404972	
0.004570	0.362673	
0.004580	0.317106	
0.004590	0.268793	
0.004600	0.218279	
0.004610	0.166123	
0.004620	0.112909	
0.004630	0.059194	
0.004640	0.005935	
0.004650	-0.046805	
0.004660	-0.098379	
0.004670	-0.148215	
0.004680	-0.195828	
0.004690	-0.240741	
0.004700	-0.282515	
0.004710	-0.320750	
0.004720	-0.355088	
0.004730	-0.385527	
0.004740	-0.411536	
0.004750	-0.432891	
0.004760	-0.449419	
0.004770	-0.461000	
0.004780	-0.467568	
0.004790	-0.469110	
0.004800	-0.465667	
0.004810	-0.457331	
0.004820	-0.444248	
0.004830	-0.426610	
0.004840	-0.404657	
0.004850	-0.378443	
0.004860	-0.348582	
0.004870	-0.315437	
0.004880	-0.279399	
0.004890	-0.240887	
0.004900	-0.200339	
0.004910	-0.158207	
0.004920	-0.114976	
0.004930	-0.071067	
0.004940	-0.027078	
0.004950	0.016345	
0.004960	0.059079	
0.004970	0.100696	
0.004980	0.140677	
0.004990	0.178646	
0.005000	0.214226	
0.005010	0.247071	
0.005020	0.276872	
0.005030	0.303352	
0.005040	0.326277	
0.005050	0.345450	
0.005060	0.360721	
0.005070	0.371978	
0.005080	0.379430	
0.005090	0.382778	
0.005100	0.381771	
0.005110	0.376746	
0.005120	0.367810	
0.005130	0.355108	
0.005140	0.338826	
0.005150	0.319183	
0.005160	0.296429	
0.005170	0.270846	
0.005180	0.242741	
0.005190	0.212442	
0.005200	0.180299	
0.005210	0.146673	
0.005220	0.111960	
0.005230	0.076487	
0.005240	0.040702	
0.005250	0.005207	
0.005260	-0.029922	
0.005270	-0.064232	
0.005280	-0.097464	
0.005290	-0.129211	
0.005300	-0.159175	
0.005310	-0.187064	
0.005320	-0.212607	
0.005330	-0.235567	
0.005340	-0.255735	
0.005350	-0.272934	
0.005360	-0.287023	
