t	v	
0.000000	0.000000	
0.000010	0.118879	
0.000020	0.450742	
0.000030	0.958492	
0.000040	1.604787	
0.000050	2.353806	
0.000060	3.169479	
0.000070	4.017346	
0.000080	4.864689	
0.000090	5.681837	
0.000100	6.442459	
0.000110	7.122081	
0.000120	7.699678	
0.000130	8.157980	
0.000140	8.483418	
0.000150	8.666225	
0.000160	8.700533	
0.000170	8.584357	
0.000180	8.319401	
0.000190	7.910981	
0.000200	7.367652	
0.000210	6.701030	
0.000220	5.925502	
0.000230	5.057473	
0.000240	4.115488	
0.000250	3.119115	
0.000260	2.089015	
0.000270	1.047062	
0.000280	0.014013	
0.000290	-0.989422	
0.000300	-1.944349	
0.000310	-2.832249	
0.000320	-3.636501	
0.000330	-4.342394	
0.000340	-4.937832	
0.000350	-5.413095	
0.000360	-5.761137	
0.000370	-5.977667	
0.000380	-6.061278	
0.000390	-6.013317	
0.000400	-5.837895	
0.000410	-5.541597	
0.000420	-5.133446	
0.000430	-4.624644	
0.000440	-4.028302	
0.000450	-3.358758	
0.000460	-2.631736	
0.000470	-1.863778	
0.000480	-1.072628	
0.000490	-0.275825	
0.000500	0.509893	
0.000510	1.268215	
0.000520	1.984422	
0.000530	2.643986	
0.000540	3.234192	
0.000550	3.744013	
0.000560	4.164272	
0.000570	4.488117	
0.000580	4.710726	
0.000590	4.829528	
0.000600	4.844247	
0.000610	4.756804	
0.000620	4.571204	
0.000630	4.293437	
0.000640	3.931438	
0.000650	3.494434	
0.000660	2.993196	
0.000670	2.439634	
0.000680	1.846244	
0.000690	1.227041	
0.000700	0.595712	
0.000710	-0.034003	
0.000720	-0.649049	
0.000730	-1.236912	
0.000740	-1.786536	
0.000750	-2.286828	
0.000760	-2.728299	
0.000770	-3.102892	
0.000780	-3.404149	
0.000790	-3.627276	
0.000800	-3.769250	
0.000810	-3.828819	
0.000820	-3.806478	
0.000830	-3.704441	
0.000840	-3.526590	
0.000850	-3.278277	
0.000860	-2.966216	
0.000870	-2.598316	
0.000880	-2.183543	
0.000890	-1.731636	
0.000900	-1.252745	
0.000910	-0.758053	
0.000920	-0.258295	
0.000930	0.235841	
0.000940	0.714037	
0.000950	1.166644	
0.000960	1.585444	
0.000970	1.961942	
0.000980	2.289108	
0.000990	2.561094	
0.001000	2.773342	
0.001010	2.922640	
0.001020	3.007215	
0.001030	3.026666	
0.001040	2.981972	
0.001050	2.875442	
0.001060	2.710650	
0.001070	2.492302	
0.001080	2.226136	
0.001090	1.918769	
0.001100	1.577577	
0.001110	1.210235	
0.001120	0.825583	
0.001130	0.432111	
0.001140	0.039193	
0.001150	-0.345760	
0.001160	-0.714872	
0.001170	-1.061302	
0.001180	-1.377981	
0.001190	-1.658873	
0.001200	-1.898836	
0.001210	-2.093687	
0.001220	-2.240280	
0.001230	-2.336547	
0.001240	-2.381561	
0.001250	-2.375465	
0.001260	-2.319474	
0.001270	-2.215867	
0.001280	-2.067826	
0.001290	-1.879412	
0.001300	-1.655458	
0.001310	-1.401455	
0.001320	-1.123084	
0.001330	-0.827312	
0.001340	-0.520745	
0.001350	-0.210060	
0.001360	0.097203	
0.001370	0.395736	
0.001380	0.679255	
0.001390	0.942658	
0.001400	1.180575	
0.001410	1.388541	
0.001420	1.562815	
0.001430	1.700442	
0.001440	1.799304	
0.001450	1.858139	
0.001460	1.876589	
0.001470	1.855125	
0.001480	1.795078	
0.001490	1.698540	
0.001500	1.568319	
0.001510	1.407877	
0.001520	1.221244	
0.001530	1.012903	
0.001540	0.787527	
0.001550	0.550667	
0.001560	0.307577	
0.001570	0.063855	
0.001580	-0.175713	
0.001590	-0.406067	
0.001600	-0.622663	
0.001610	-0.821793	
0.001620	-0.999336	
0.001630	-1.152027	
0.001640	-1.277181	
0.001650	-1.372756	
0.001660	-1.437342	
0.001670	-1.470264	
0.001680	-1.471521	
0.001690	-1.441777	
0.001700	-1.382349	
0.001710	-1.295111	
0.001720	-1.182491	
0.001730	-1.047402	
0.001740	-0.893168	
0.001750	-0.723225	
0.001760	-0.541954	
0.001770	-0.353420	
0.001780	-0.161796	
0.001790	0.028191	
0.001800	0.213316	
0.001810	0.389724	
0.001820	0.553886	
0.001830	0.703184	
0.001840	0.834459	
0.001850	0.945334	
0.001860	1.033908	
0.001870	1.098785	
0.001880	1.139087	
0.001890	1.154542	
0.001900	1.145356	
0.001910	1.112292	
0.001920	1.056546	
0.001930	0.979769	
0.001940	0.884028	
0.001950	0.771748	
0.001960	0.645381	
0.001970	0.508382	
0.001980	0.363863	
0.001990	0.215040	
0.002000	0.065761	
0.002010	-0.081284	
0.002020	-0.223184	
0.002030	-0.357096	
0.002040	-0.480372	
0.002050	-0.591227	
0.002060	-0.687231	
0.002070	-0.766681	
0.002080	-0.828261	
0.002090	-0.871047	
0.002100	-0.894534	
0.002110	-0.898682	
0.002120	-0.883843	
0.002130	-0.850752	
0.002140	-0.800484	
0.002150	-0.734463	
0.002160	-0.654419	
0.002170	-0.562344	
0.002180	-0.460250	
0.002190	-0.350885	
0.002200	-0.236712	
0.002210	-0.120252	
0.002220	-0.004129	
0.002230	0.109312	
0.002240	0.217794	
0.002250	0.319104	
0.002260	0.411366	
0.002270	0.493254	
0.002280	0.562973	
0.002290	0.619317	
0.002300	0.661381	
0.002310	0.688573	
0.002320	0.700672	
0.002330	0.697761	
0.002340	0.680257	
0.002350	0.648840	
0.002360	0.604464	
0.002370	0.548341	
0.002380	0.481910	
0.002390	0.406602	
0.002400	0.324536	
0.002410	0.237587	
0.002420	0.147701	
0.002430	0.056976	
0.002440	-0.032268	
0.002450	-0.118828	
0.002460	-0.200843	
0.002470	-0.276688	
0.002480	-0.344899	
0.002490	-0.404626	
0.002500	-0.454522	
0.002510	-0.493748	
0.002520	-0.521703	
0.002530	-0.538056	
0.002540	-0.542728	
0.002550	-0.535877	
0.002560	-0.517920	
0.002570	-0.489475	
0.002580	-0.451366	
0.002590	-0.404608	
0.002600	-0.350163	
0.002610	-0.289683	
0.002620	-0.224569	
0.002630	-0.156298	
0.002640	-0.086398	
0.002650	-0.016734	
0.002660	0.051545	
0.002670	0.117098	
0.002680	0.178614	
0.002690	0.234885	
0.002700	0.285153	
0.002710	0.328305	
0.002720	0.363588	
0.002730	0.390427	
0.002740	0.408452	
0.002750	0.417483	
0.002760	0.417532	
0.002770	0.408794	
0.002780	0.391657	
0.002790	0.366671	
0.002800	0.334533	
0.002810	0.295856	
0.002820	0.251936	
0.002830	0.203807	
0.002840	0.152575	
0.002850	0.099396	
0.002860	0.045479	
0.002870	-0.007904	
0.002880	-0.059836	
0.002890	-0.109189	
0.002900	-0.155034	
0.002910	-0.196480	
0.002920	-0.233050	
0.002930	-0.263896	
0.002940	-0.288493	
0.002950	-0.306471	
0.002960	-0.317602	
0.002970	-0.321804	
0.002980	-0.319143	
0.002990	-0.309829	
0.003000	-0.294205	
0.003010	-0.272753	
0.003020	-0.245817	
0.003030	-0.214434	
0.003040	-0.179353	
0.003050	-0.141389	
0.003060	-0.101409	
0.003070	-0.060320	
0.003080	-0.019152	
0.003090	0.021132	
0.003100	0.059997	
0.003110	0.096619	
0.003120	0.130282	
0.003130	0.160337	
0.003140	0.186526	
0.003150	0.208198	
0.003160	0.225004	
0.003170	0.236700	
0.003180	0.243155	
0.003190	0.244352	
0.003200	0.240383	
0.003210	0.231450	
0.003220	0.217852	
0.003230	0.199749	
0.003240	0.177953	
0.003250	0.153014	
0.003260	0.125520	
0.003270	0.096106	
0.003280	0.065445	
0.003290	0.034229	
0.003300	0.003532	
0.003310	-0.026542	
0.003320	-0.055357	
0.003330	-0.082215	
0.003340	-0.106649	
0.003350	-0.128210	
0.003360	-0.146523	
0.003370	-0.161289	
0.003380	-0.172292	
0.003390	-0.179402	
0.003400	-0.182574	
0.003410	-0.181845	
0.003420	-0.177333	
0.003430	-0.169231	
0.003440	-0.157804	
0.003450	-0.143377	
0.003460	-0.126330	
0.003470	-0.107085	
0.003480	-0.086101	
0.003490	-0.063862	
0.003500	-0.040867	
0.003510	-0.017674	
0.003520	0.004904	
0.003530	0.026918	
0.003540	0.047830	
0.003550	0.067179	
0.003560	0.084617	
0.003570	0.099829	
0.003580	0.112553	
0.003590	0.122590	
0.003600	0.129798	
0.003610	0.134103	
0.003620	0.135489	
0.003630	0.134005	
0.003640	0.129757	
0.003650	0.122907	
0.003660	0.113664	
0.003670	0.102286	
0.003680	0.089063	
0.003690	0.074322	
0.003700	0.058408	
0.003710	0.041687	
0.003720	0.024543	
0.003730	0.007507	
0.003740	-0.009096	
0.003750	-0.025127	
0.003760	-0.040218	
0.003770	-0.054125	
0.003780	-0.066501	
0.003790	-0.077162	
0.003800	-0.085930	
0.003810	-0.092672	
0.003820	-0.097298	
0.003830	-0.099767	
0.003840	-0.100084	
0.003850	-0.098299	
0.003860	-0.094504	
0.003870	-0.088831	
0.003880	-0.081446	
0.003890	-0.072550	
0.003900	-0.062366	
0.003910	-0.051158	
0.003920	-0.039148	
0.003930	-0.026642	
0.003940	-0.013942	
0.003950	-0.001471	
0.003960	0.010704	
0.003970	0.022327	
0.003980	0.033165	
0.003990	0.043050	
0.004000	0.051806	
0.004010	0.059222	
0.004020	0.065205	
0.004030	0.069668	
0.004040	0.072557	
0.004050	0.073852	
0.004060	0.073568	
0.004070	0.071751	
0.004080	0.068480	
0.004090	0.063861	
0.004100	0.058025	
0.004110	0.051146	
0.004120	0.043355	
0.004130	0.034851	
0.004140	0.025853	
0.004150	0.016565	
0.004160	0.007262	
0.004170	-0.001807	
0.004180	-0.010566	
0.004190	-0.018891	
0.004200	-0.026608	
0.004210	-0.033551	
0.004220	-0.039622	
0.004230	-0.044719	
