t	v	
0.000000	0.000000	
0.000010	0.026743	
0.000020	0.104020	
0.000030	0.228218	
0.000040	0.395084	
0.000050	0.599799	
0.000060	0.837056	
0.000070	1.101183	
0.000080	1.386449	
0.000090	1.686143	
0.000100	1.993997	
0.000110	2.303082	
0.000120	2.607794	
0.000130	2.902345	
0.000140	3.181189	
0.000150	3.439698	
0.000160	3.672730	
0.000170	3.875992	
0.000180	4.045754	
0.000190	4.178901	
0.000200	4.272988	
0.000210	4.326224	
0.000220	4.337570	
0.000230	4.306687	
0.000240	4.233922	
0.000250	4.120317	
0.000260	3.967583	
0.000270	3.778013	
0.000280	3.554476	
0.000290	3.300360	
0.000300	3.019499	
0.000310	2.716115	
0.000320	2.394505	
0.000330	2.059960	
0.000340	1.717401	
0.000350	1.371828	
0.000360	1.029023	
0.000370	0.692817	
0.000380	0.368052	
0.000390	0.059175	
0.000400	-0.230371	
0.000410	-0.496364	
0.000420	-0.735451	
0.000430	-0.944737	
0.000440	-1.121821	
0.000450	-1.264848	
0.000460	-1.372484	
0.000470	-1.444024	
0.000480	-1.479311	
0.000490	-1.478743	
0.000500	-1.443293	
0.000510	-1.374450	
0.000520	-1.274176	
0.000530	-1.144895	
0.000540	-0.989442	
0.000550	-0.811012	
0.000560	-0.613113	
0.000570	-0.399249	
0.000580	-0.173849	
0.000590	0.059048	
0.000600	0.295322	
0.000610	0.530699	
0.000620	0.761357	
0.000630	0.983591	
0.000640	1.193791	
0.000650	1.389203	
0.000660	1.566394	
0.000670	1.722645	
0.000680	1.855612	
0.000690	1.963359	
0.000700	2.044386	
0.000710	2.097637	
0.000720	2.122555	
0.000730	2.119042	
0.000740	2.087441	
0.000750	2.028577	
0.000760	1.943651	
0.000770	1.834264	
0.000780	1.702391	
0.000790	1.550337	
0.000800	1.380697	
0.000810	1.195994	
0.000820	0.999824	
0.000830	0.795347	
0.000840	0.585823	
0.000850	0.374573	
0.000860	0.165431	
0.000870	-0.039165	
0.000880	-0.236059	
0.000890	-0.422369	
0.000900	-0.596011	
0.000910	-0.754188	
0.000920	-0.894745	
0.000930	-1.015834	
0.000940	-1.115944	
0.000950	-1.193915	
0.000960	-1.248940	
0.000970	-1.280626	
0.000980	-1.288946	
0.000990	-1.274229	
0.001000	-1.237195	
0.001010	-1.178851	
0.001020	-1.100531	
0.001030	-1.003867	
0.001040	-0.890756	
0.001050	-0.763327	
0.001060	-0.623619	
0.001070	-0.474602	
0.001080	-0.318849	
0.001090	-0.158997	
0.001100	0.002253	
0.001110	0.162263	
0.001120	0.318489	
0.001130	0.468522	
0.001140	0.610042	
0.001150	0.741329	
0.001160	0.860184	
0.001170	0.964883	
0.001180	1.053955	
0.001190	1.126196	
0.001200	1.180688	
0.001210	1.216801	
0.001220	1.234253	
0.001230	1.233044	
0.001240	1.213473	
0.001250	1.176141	
0.001260	1.121880	
0.001270	1.051785	
0.001280	0.967192	
0.001290	0.869647	
0.001300	0.760881	
0.001310	0.642580	
0.001320	0.517105	
0.001330	0.386535	
0.001340	0.253012	
0.001350	0.119063	
0.001360	-0.013137	
0.001370	-0.142112	
0.001380	-0.265808	
0.001390	-0.382379	
0.001400	-0.490115	
0.001410	-0.587954	
0.001420	-0.674217	
0.001430	-0.747748	
0.001440	-0.807605	
0.001450	-0.853076	
0.001460	-0.883694	
0.001470	-0.899257	
0.001480	-0.899785	
0.001490	-0.885532	
0.001500	-0.857010	
0.001510	-0.814913	
0.001520	-0.760139	
0.001530	-0.693777	
0.001540	-0.617083	
0.001550	-0.531211	
0.001560	-0.438081	
0.001570	-0.339296	
0.001580	-0.236532	
0.001590	-0.131512	
0.001600	-0.026232	
0.001610	0.077522	
0.001620	0.178598	
0.001630	0.275361	
0.001640	0.366340	
0.001650	0.450177	
0.001660	0.526080	
0.001670	0.592686	
0.001680	0.649085	
0.001690	0.694539	
0.001700	0.728495	
0.001710	0.750613	
0.001720	0.760734	
0.001730	0.758886	
0.001740	0.745291	
0.001750	0.720359	
0.001760	0.684673	
0.001770	0.638963	
0.001780	0.584113	
0.001790	0.521136	
0.001800	0.450956	
0.001810	0.375133	
0.001820	0.294953	
0.001830	0.211758	
0.001840	0.126935	
0.001850	0.042083	
0.001860	-0.041403	
0.001870	-0.122601	
0.001880	-0.200216	
0.001890	-0.273084	
0.001900	-0.340131	
0.001910	-0.400781	
0.001920	-0.453931	
0.001930	-0.498867	
0.001940	-0.535014	
0.001950	-0.561960	
0.001960	-0.579438	
0.001970	-0.587334	
0.001980	-0.585685	
0.001990	-0.574679	
0.002000	-0.554652	
0.002010	-0.526083	
0.002020	-0.489571	
0.002030	-0.445829	
0.002040	-0.395427	
0.002050	-0.339648	
0.002060	-0.279463	
0.002070	-0.215900	
0.002080	-0.150033	
0.002090	-0.082968	
0.002100	-0.016023	
0.002110	0.049763	
0.002120	0.113649	
0.002130	0.174611	
0.002140	0.231732	
0.002150	0.284165	
0.002160	0.331501	
0.002170	0.372850	
0.002180	0.407652	
0.002190	0.435476	
0.002200	0.455995	
0.002210	0.469005	
0.002220	0.474426	
0.002230	0.472297	
0.002240	0.462776	
0.002250	0.446139	
0.002260	0.422766	
0.002270	0.393145	
0.002280	0.357854	
0.002290	0.317338	
0.002300	0.272645	
0.002310	0.224548	
0.002320	0.173863	
0.002330	0.121444	
0.002340	0.068176	
0.002350	0.015277	
0.002360	-0.036682	
0.002370	-0.087101	
0.002380	-0.135122	
0.002390	-0.180041	
0.002400	-0.221199	
0.002410	-0.258017	
0.002420	-0.290372	
0.002430	-0.317552	
0.002440	-0.339218	
0.002450	-0.355121	
0.002460	-0.365108	
0.002470	-0.369123	
0.002480	-0.367204	
0.002490	-0.359482	
0.002500	-0.346179	
0.002510	-0.327603	
0.002520	-0.303860	
0.002530	-0.275779	
0.002540	-0.243890	
0.002550	-0.208767	
0.002560	-0.171028	
0.002570	-0.131315	
0.002580	-0.090292	
0.002590	-0.048651	
0.002600	-0.007454	
0.002610	0.033151	
0.002620	0.072481	
0.002630	0.109894	
0.002640	0.144852	
0.002650	0.176849	
0.002660	0.205437	
0.002670	0.230233	
0.002680	0.250920	
0.002690	0.267254	
0.002700	0.279062	
0.002710	0.286248	
0.002720	0.288792	
0.002730	0.286745	
0.002740	0.280229	
0.002750	0.269437	
0.002760	0.254623	
0.002770	0.236099	
0.002780	0.214228	
0.002790	0.189422	
0.002800	0.162126	
0.002810	0.132819	
0.002820	0.101999	
0.002830	0.070187	
0.002840	0.037913	
0.002850	0.006006	
0.002860	-0.025411	
0.002870	-0.055786	
0.002880	-0.084762	
0.002890	-0.111776	
0.002900	-0.136489	
0.002910	-0.158556	
0.002920	-0.177681	
0.002930	-0.193621	
0.002940	-0.206187	
0.002950	-0.215249	
0.002960	-0.220733	
0.002970	-0.222623	
0.002980	-0.220962	
0.002990	-0.215846	
0.003000	-0.207424	
0.003010	-0.195894	
0.003020	-0.181499	
0.003030	-0.164522	
0.003040	-0.145280	
0.003050	-0.124122	
0.003060	-0.101416	
0.003070	-0.077567	
0.003080	-0.052937	
0.003090	-0.027992	
0.003100	-0.003352	
0.003110	0.020910	
0.003120	0.044309	
0.003130	0.066594	
0.003140	0.087458	
0.003150	0.106482	
0.003160	0.123455	
0.003170	0.138151	
0.003180	0.150381	
0.003190	0.160001	
0.003200	0.166912	
0.003210	0.171056	
0.003220	0.172425	
0.003230	0.171050	
0.003240	0.167008	
0.003250	0.160414	
0.003260	0.151423	
0.003270	0.140223	
0.003280	0.127033	
0.003290	0.112101	
0.003300	0.095695	
0.003310	0.078122	
0.003320	0.059636	
0.003330	0.040587	
0.003340	0.021316	
0.003350	0.002308	
0.003360	-0.016393	
0.003370	-0.034435	
0.003380	-0.051562	
0.003390	-0.067569	
0.003400	-0.082236	
0.003410	-0.095276	
0.003420	-0.106556	
0.003430	-0.115933	
0.003440	-0.123297	
0.003450	-0.128570	
0.003460	-0.131711	
0.003470	-0.132712	
0.003480	-0.131600	
0.003490	-0.128433	
0.003500	-0.123302	
0.003510	-0.116326	
0.003520	-0.107651	
0.003530	-0.097448	
0.003540	-0.085944	
0.003550	-0.073278	
0.003560	-0.059685	
0.003570	-0.045416	
0.003580	-0.030737	
0.003590	-0.015916	
0.003600	-0.001304	
0.003610	0.013061	
0.003620	0.026894	
0.003630	0.040038	
0.003640	0.052276	
0.003650	0.063469	
0.003660	0.073463	
0.003670	0.082128	
0.003680	0.089289	
0.003690	0.094902	
0.003700	0.098909	
0.003710	0.101278	
0.003720	0.102003	
0.003730	0.101106	
0.003740	0.098633	
0.003750	0.094652	
0.003760	0.089257	
0.003770	0.082594	
0.003780	0.074739	
0.003790	0.065843	
0.003800	0.056074	
0.003810	0.045612	
0.003820	0.034658	
0.003830	0.023390	
0.003840	0.012042	
0.003850	0.000859	
0.003860	-0.010114	
0.003870	-0.020661	
0.003880	-0.030681	
0.003890	-0.040022	
0.003900	-0.048527	
0.003910	-0.056108	
0.003920	-0.062665	
0.003930	-0.068115	
0.003940	-0.072392	
0.003950	-0.075451	
0.003960	-0.077264	
0.003970	-0.077824	
0.003980	-0.077142	
0.003990	-0.075253	
0.004000	-0.072206	
0.004010	-0.068071	
0.004020	-0.062935	
0.004030	-0.056901	
0.004040	-0.050084	
0.004050	-0.042627	
0.004060	-0.034647	
0.004070	-0.026287	
0.004080	-0.017699	
0.004090	-0.009071	
0.004100	-0.000570	
0.004110	0.007745	
0.004120	0.015721	
0.004130	0.023297	
0.004140	0.030359	
0.004150	0.036804	
0.004160	0.042543	
0.004170	0.047477	
0.004180	0.051569	
0.004190	0.054770	
0.004200	0.057047	
0.004210	0.058382	
0.004220	0.058771	
0.004230	0.058224	
0.004240	0.056768	
0.004250	0.054444	
0.004260	0.051305	
0.004270	0.047418	
0.004280	0.042861	
0.004290	0.037738	
0.004300	0.032123	
0.004310	0.026118	
0.004320	0.019831	
0.004330	0.013382	
0.004340	0.006913	
0.004350	0.000537	
0.004360	-0.005656	
0.004370	-0.011589	
0.004380	-0.017227	
0.004390	-0.022483	
0.004400	-0.027281	
0.004410	-0.031554	
0.004420	-0.035245	
0.004430	-0.038309	
0.004440	-0.040707	
0.004450	-0.042417	
0.004460	-0.043403	
0.004470	-0.043685	
0.004480	-0.043274	
0.004490	-0.042208	
0.004500	-0.040498	
0.004510	-0.038183	
0.004520	-0.035312	
0.004530	-0.031942	
0.004540	-0.028138	
0.004550	-0.023969	
0.004560	-0.019513	
0.004570	-0.014851	
0.004580	-0.010078	
0.004590	-0.005297	
0.004600	-0.000582	
0.004610	0.003995	
0.004620	0.008369	
0.004630	0.012509	
0.004640	0.016370	
0.004650	0.019896	
0.004660	0.023037	
0.004670	0.025754	
0.004680	0.028010	
0.004690	0.029780	
0.004700	0.031046	
0.004710	0.031797	
0.004720	0.032032	
0.004730	0.031758	
0.004740	0.030988	
0.004750	0.029746	
0.004760	0.028060	
0.004770	0.025967	
0.004780	0.023508	
0.004790	0.020731	
0.004800	0.017688	
0.004810	0.014436	
0.004820	0.011039	
0.004830	0.007570	
0.004840	0.004092	
0.004850	0.000658	
0.004860	-0.002680	
0.004870	-0.005872	
0.004880	-0.008875	
0.004890	-0.011665	
0.004900	-0.014215	
0.004910	-0.016489	
0.004920	-0.018457	
0.004930	-0.020094	
0.004940	-0.021382	
0.004950	-0.022306	
0.004960	-0.022861	
0.004970	-0.023045	
0.004980	-0.022862	
0.004990	-0.022323	
0.005000	-0.021444	
0.005010	-0.020246	
0.005020	-0.018755	
0.005030	-0.017002	
0.005040	-0.015020	
0.005050	-0.012848	
0.005060	-0.010529	
0.005070	-0.008116	
0.005080	-0.005652	
0.005090	-0.003177	
0.005100	-0.000729	
0.005110	0.001654	
0.005120	0.003938	
0.005130	0.006090	
0.005140	0.008081	
0.005150	0.009885	
0.005160	0.011494	
0.005170	0.012888	
0.005180	0.014050	
0.005190	0.014967	
0.005200	0.015629	
0.005210	0.016032	
0.005220	0.016175	
0.005230	0.016060	
0.005240	0.015696	
0.005250	0.015093	
0.005260	0.014267	
0.005270	0.013235	
0.005280	0.012021	
0.005290	0.010647	
0.005300	0.009147	
0.005310	0.007552	
0.005320	0.005889	
0.005330	0.004186	
0.005340	0.002471	
0.005350	0.000771	
0.005360	-0.000888	
0.005370	-0.002482	
0.005380	-0.003988	
0.005390	-0.005385	
0.005400	-0.006656	
0.005410	-0.007784	
0.005420	-0.008757	
0.005430	-0.009563	
0.005440	-0.010198	
0.005450	-0.010659	
0.005460	-0.010943	
0.005470	-0.011048	
0.005480	-0.010979	
0.005490	-0.010739	
0.005500	-0.010338	
0.005510	-0.009786	
0.005520	-0.009100	
0.005530	-0.008293	
0.005540	-0.007384	
0.005550	-0.006388	
0.005560	-0.005323	
0.005570	-0.004210	
0.005580	-0.003065	
0.005590	-0.001909	
0.005600	-0.000758	
0.005610	0.000368	
0.005620	0.001454	
0.005630	0.002483	
0.005640	0.003442	
0.005650	0.004318	
0.005660	0.005100	
0.005670	0.005779	
0.005680	0.006347	
0.005690	0.006799	
0.005700	0.007131	
0.005710	0.007343	
0.005720	0.007434	
0.005730	0.007407	
0.005740	0.007267	
0.005750	0.007017	
0.005760	0.006667	
0.005770	0.006224	
0.005780	0.005699	
0.005790	0.005101	
0.005800	0.004443	
0.005810	0.003737	
0.005820	0.002994	
0.005830	0.002228	
0.005840	0.001451	
0.005850	0.000676	
0.005860	-0.000086	
0.005870	-0.000823	
0.005880	-0.001524	
0.005890	-0.002179	
0.005900	-0.002781	
0.005910	-0.003321	
0.005920	-0.003793	
0.005930	-0.004191	
0.005940	-0.004512	
0.005950	-0.004753	
0.005960	-0.004913	
0.005970	-0.004991	
0.005980	-0.004990	
0.005990	-0.004912	
0.006000	-0.004760	
0.006010	-0.004538	
0.006020	-0.004254	
0.006030	-0.003912	
0.006040	-0.003520	
0.006050	-0.003086	
0.006060	-0.002617	
0.006070	-0.002122	
0.006080	-0.001610	
0.006090	-0.001088	
0.006100	-0.000566	
0.006110	-0.000052	
0.006120	0.000448	
0.006130	0.000925	
0.006140	0.001373	
0.006150	0.001786	
0.006160	0.002158	
0.006170	0.002485	
0.006180	0.002764	
0.006190	0.002991	
0.006200	0.003165	
0.006210	0.003284	
0.006220	0.003349	
0.006230	0.003360	
0.006240	0.003318	
0.006250	0.003226	
0.006260	0.003087	
0.006270	0.002904	
0.006280	0.002683	
0.006290	0.002426	
0.006300	0.002140	
0.006310	0.001829	
0.006320	0.001500	
0.006330	0.001157	
0.006340	0.000808	
0.006350	0.000456	
0.006360	0.000109	
0.006370	-0.000230	
0.006380	-0.000554	
0.006390	-0.000860	
0.006400	-0.001143	
0.006410	-0.001399	
0.006420	-0.001626	
0.006430	-0.001821	
0.006440	-0.001981	
0.006450	-0.002106	
0.006460	-0.002194	
0.006470	-0.002245	
0.006480	-0.002260	
0.006490	-0.002240	
0.006500	-0.002185	
