t	v	
0.000000	0.000000	
0.000010	0.018024	
0.000020	0.070084	
0.000030	0.154085	
0.000040	0.267487	
0.000050	0.407337	
0.000060	0.570321	
0.000070	0.752821	
0.000080	0.951214	
0.000090	1.160981	
0.000100	1.377988	
0.000110	1.598071	
0.000120	1.816222	
0.000130	2.029470	
0.000140	2.233805	
0.000150	2.425583	
0.000160	2.602054	
0.000170	2.759770	
0.000180	2.896017	
0.000190	3.008472	
0.000200	3.095233	
0.000210	3.154841	
0.000220	3.186294	
0.000230	3.189112	
0.000240	3.163260	
0.000250	3.109159	
0.000260	3.027724	
0.000270	2.920237	
0.000280	2.788389	
0.000290	2.634246	
0.000300	2.460204	
0.000310	2.268948	
0.000320	2.063115	
0.000330	1.846349	
0.000340	1.621888	
0.000350	1.393062	
0.000360	1.163944	
0.000370	0.937222	
0.000380	0.715990	
0.000390	0.503286	
0.000400	0.302008	
0.000410	0.114206	
0.000420	-0.057292	
0.000430	-0.210341	
0.000440	-0.343122	
0.000450	-0.454155	
0.000460	-0.542317	
0.000470	-0.606854	
0.000480	-0.647439	
0.000490	-0.664096	
0.000500	-0.657229	
0.000510	-0.627615	
0.000520	-0.576335	
0.000530	-0.504801	
0.000540	-0.414717	
0.000550	-0.308055	
0.000560	-0.187014	
0.000570	-0.053712	
0.000580	0.088827	
0.000590	0.237970	
0.000600	0.391025	
0.000610	0.545025	
0.000620	0.696988	
0.000630	0.845053	
0.000640	0.986632	
0.000650	1.119398	
0.000660	1.241645	
0.000670	1.351166	
0.000680	1.446251	
0.000690	1.525446	
0.000700	1.587575	
0.000710	1.631750	
0.000720	1.657375	
0.000730	1.664221	
0.000740	1.652326	
0.000750	1.622044	
0.000760	1.574012	
0.000770	1.509116	
0.000780	1.428502	
0.000790	1.333556	
0.000800	1.225875	
0.000810	1.106952	
0.000820	0.979170	
0.000830	0.844562	
0.000840	0.705244	
0.000850	0.563391	
0.000860	0.421598	
0.000870	0.281665	
0.000880	0.145528	
0.000890	0.015153	
0.000900	-0.107609	
0.000910	-0.221448	
0.000920	-0.324587	
0.000930	-0.415680	
0.000940	-0.493588	
0.000950	-0.557392	
0.000960	-0.606406	
0.000970	-0.640202	
0.000980	-0.658614	
0.000990	-0.661698	
0.001000	-0.649755	
0.001010	-0.623341	
0.001020	-0.583191	
0.001030	-0.530249	
0.001040	-0.465649	
0.001050	-0.390694	
0.001060	-0.306587	
0.001070	-0.215279	
0.001080	-0.118414	
0.001090	-0.017702	
0.001100	0.085102	
0.001110	0.187935	
0.001120	0.289108	
0.001130	0.387376	
0.001140	0.481096	
0.001150	0.568789	
0.001160	0.649095	
0.001170	0.721241	
0.001180	0.783858	
0.001190	0.836038	
0.001200	0.877079	
0.001210	0.906439	
