t	x	
0.000000	0.000000	
0.000010	0.001164	
0.000020	0.008541	
0.000030	0.027716	
0.000040	0.063672	
0.000050	0.120717	
0.000060	0.202487	
0.000070	0.311847	
0.000080	0.451265	
0.000090	0.621723	
0.000100	0.827467	
0.000110	1.060779	
0.000120	1.324245	
0.000130	1.616036	
0.000140	1.934430	
0.000150	2.276739	
0.000160	2.639756	
0.000170	3.019837	
0.000180	3.412968	
0.000190	3.814863	
0.000200	4.221026	
0.000210	4.626848	
0.000220	5.027682	
0.000230	5.418925	
0.000240	5.796118	
0.000250	6.154976	
0.000260	6.491485	
0.000270	6.801969	
0.000280	7.083139	
0.000290	7.332151	
0.000300	7.546613	
0.000310	7.724108	
0.000320	7.863942	
0.000330	7.965276	
0.000340	8.024016	
0.000350	8.049108	
0.000360	8.037340	
0.000370	7.990710	
0.000380	7.910567	
0.000390	7.799307	
0.000400	7.659756	
0.000410	7.495111	
0.000420	7.308896	
0.000430	7.104878	
0.000440	6.887027	
0.000450	6.659444	
0.000460	6.426287	
0.000470	6.191712	
0.000480	5.959807	
0.000490	5.734530	
0.000500	5.519659	
0.000510	5.318726	
0.000520	5.134969	
0.000530	4.971283	
0.000540	4.830201	
0.000550	4.713842	
0.000560	4.624327	
0.000570	4.562400	
0.000580	4.528857	
0.000590	4.527209	
0.000600	4.550395	
0.000610	4.600952	
0.000620	4.677884	
0.000630	4.779222	
0.000640	4.903597	
0.000650	5.048806	
0.000660	5.212333	
0.000670	5.391407	
0.000680	5.583047	
0.000690	5.784111	
0.000700	5.991344	
0.000710	6.201447	
0.000720	6.411126	
0.000730	6.617133	
0.000740	6.816338	
0.000750	7.005758	
0.000760	7.182607	
0.000770	7.344337	
0.000780	7.488671	
0.000790	7.613645	
0.000800	7.717173	
0.000810	7.798442	
0.000820	7.856547	
0.000830	7.890867	
0.000840	7.898799	
0.000850	7.886330	
0.000860	7.850943	
0.000870	7.793775	
0.000880	7.716546	
0.000890	7.620362	
0.000900	7.507064	
0.000910	7.378738	
0.000920	7.237677	
0.000930	7.086337	
0.000940	6.927303	
0.000950	6.763242	
0.000960	6.596852	
0.000970	6.430823	
0.000980	6.267802	
0.000990	6.110330	
0.001000	5.960826	
0.001010	5.821548	
0.001020	5.694557	
0.001030	5.581676	
0.001040	5.484490	
0.001050	5.404722	
0.001060	5.342966	
0.001070	5.299941	
0.001080	5.276172	
0.001090	5.274090	
0.001100	5.288113	
0.001110	5.320322	
0.001120	5.369982	
0.001130	5.435638	
0.001140	5.516421	
0.001150	5.610822	
0.001160	5.717141	
0.001170	5.833508	
0.001180	5.957932	
0.001190	6.088310	
0.001200	6.222479	
0.001210	6.358256	
0.001220	6.493467	
0.001230	6.625974	
0.001240	6.753736	
0.001250	6.874809	
0.001260	6.987382	
0.001270	7.089809	
0.001280	7.180628	
0.001290	7.258570	
