t	x	
0.000000	0.000000	
0.000010	0.000409	
0.000020	0.002968	
0.000030	0.009667	
0.000040	0.022359	
0.000050	0.042733	
0.000060	0.072285	
0.000070	0.112320	
0.000080	0.164221	
0.000090	0.228495	
0.000100	0.305726	
0.000110	0.396032	
0.000120	0.501722	
0.000130	0.618518	
0.000140	0.747817	
0.000150	0.889030	
0.000160	1.041010	
0.000170	1.203045	
0.000180	1.373928	
0.000190	1.552297	
0.000200	1.736659	
0.000210	1.925419	
0.000220	2.116903	
0.000230	2.309393	
0.000240	2.501157	
0.000250	2.690477	
0.000260	2.875679	
0.000270	3.055152	
0.000280	3.227370	
0.000290	3.390921	
0.000300	3.544525	
0.000310	3.687058	
0.000320	3.817151	
0.000330	3.934448	
0.000340	4.038371	
0.000350	4.128505	
0.000360	4.201848	
0.000370	4.264170	
0.000380	4.313206	
0.000390	4.349224	
0.000400	4.372787	
0.000410	4.385031	
0.000420	4.386465	
0.000430	4.378131	
0.000440	4.361194	
0.000450	4.336919	
0.000460	4.306653	
0.000470	4.271798	
0.000480	4.233799	
0.000490	4.194103	
0.000500	4.154141	
0.000510	4.115310	
0.000520	4.078950	
0.000530	4.046324	
0.000540	4.018609	
0.000550	3.996868	
0.000560	3.982041	
0.000570	3.975222	
0.000580	3.976769	
0.000590	3.987167	
0.000600	4.006721	
0.000610	4.036765	
0.000620	4.075832	
0.000630	4.122978	
0.000640	4.178796	
0.000650	4.242857	
0.000660	4.314347	
0.000670	4.392801	
0.000680	4.477405	
0.000690	4.567248	
0.000700	4.661335	
0.000710	4.758610	
0.000720	4.857968	
0.000730	4.958278	
0.000740	5.058407	
0.000750	5.157235	
0.000760	5.253676	
0.000770	5.346682	
0.000780	5.435268	
0.000790	5.518523	
0.000800	5.595625	
0.000810	5.665598	
0.000820	5.728091	
0.000830	5.782627	
0.000840	5.828846	
0.000850	5.866472	
0.000860	5.894053	
0.000870	5.914438	
0.000880	5.926707	
0.000890	5.930997	
0.000900	5.927682	
0.000910	5.917494	
0.000920	5.900789	
0.000930	5.878249	
0.000940	5.850631	
0.000950	5.818757	
0.000960	5.783499	
0.000970	5.745764	
0.000980	5.706481	
0.000990	5.666576	
0.001000	5.626967	
0.001010	5.588540	
0.001020	5.552147	
0.001030	5.518591	
0.001040	5.488612	
0.001050	5.462879	
0.001060	5.442166	
0.001070	5.426779	
0.001080	5.417105	
0.001090	5.413442	
0.001100	5.416015	
0.001110	5.425808	
0.001120	5.441279	
0.001130	5.462213	
0.001140	5.488877	
0.001150	5.520981	
0.001160	5.558131	
0.001170	5.599668	
0.001180	5.645247	
0.001190	5.694271	
0.001200	5.746088	
0.001210	5.800009	
0.001220	5.855317	
0.001230	5.911283	
0.001240	5.967177	
0.001250	6.022276	
0.001260	6.075882	
0.001270	6.127327	
0.001280	6.175985	
0.001290	6.221276	
0.001300	6.262681	
0.001310	6.299564	
0.001320	6.331732	
0.001330	6.358885	
0.001340	6.380797	
0.001350	6.397421	
0.001360	6.407253	
0.001370	6.413006	
0.001380	6.413764	
0.001390	6.409612	
0.001400	6.400789	
0.001410	6.387624	
0.001420	6.370686	
0.001430	6.350228	
0.001440	6.326738	
0.001450	6.300741	
0.001460	6.272800	
0.001470	6.243491	
0.001480	6.213400	
0.001490	6.183116	
0.001500	6.153220	
0.001510	6.124275	
0.001520	6.096815	
0.001530	6.071343	
0.001540	6.048321	
0.001550	6.028322	
0.001560	6.011554	
0.001570	5.998311	
0.001580	5.988829	
0.001590	5.983293	
0.001600	5.981770	
0.001610	5.985334	
0.001620	5.991995	
0.001630	6.002338	
0.001640	6.016332	
0.001650	6.033791	
0.001660	6.054457	
0.001670	6.077873	
0.001680	6.103848	
0.001690	6.131995	
0.001700	6.161897	
0.001710	6.193115	
0.001720	6.225197	
0.001730	6.257679	
0.001740	6.290100	
0.001750	6.322004	
0.001760	6.352949	
0.001770	6.382515	
0.001780	6.410308	
0.001790	6.435969	
0.001800	6.459033	
0.001810	6.479362	
0.001820	6.496732	
0.001830	6.510957	
0.001840	6.521893	
0.001850	6.529426	
0.001860	6.532532	
0.001870	6.533455	
0.001880	6.531425	
0.001890	6.526319	
0.001900	6.518377	
0.001910	6.507805	
0.001920	6.494992	
0.001930	6.480070	
0.001940	6.463347	
0.001950	6.445154	
0.001960	6.425837	
0.001970	6.405757	
0.001980	6.385280	
0.001990	6.364772	
0.002000	6.344593	
0.002010	6.325092	
0.002020	6.306599	
0.002030	6.289427	
0.002040	6.273979	
0.002050	6.260399	
0.002060	6.248895	
0.002070	6.239636	
0.002080	6.232755	
0.002090	6.228265	
0.002100	6.226526	
0.002110	6.227570	
0.002120	6.230776	
0.002130	6.236244	
0.002140	6.244053	
0.002150	6.254016	
0.002160	6.265958	
0.002170	6.279678	
0.002180	6.294947	
0.002190	6.311516	
0.002200	6.329121	
0.002210	6.347458	
0.002220	6.366309	
0.002230	6.385387	
0.002240	6.404378	
0.002250	6.422997	
0.002260	6.440979	
0.002270	6.458072	
0.002280	6.474044	
0.002290	6.488683	
0.002300	6.501805	
0.002310	6.513249	
0.002320	6.522884	
0.002330	6.530605	
0.002340	6.536336	
0.002350	6.539771	
0.002360	6.540775	
0.002370	6.540435	
0.002380	6.538281	
0.002390	6.534324	
0.002400	6.528664	
0.002410	6.521433	
0.002420	6.512790	
0.002430	6.502911	
0.002440	6.491990	
0.002450	6.480234	
0.002460	6.467858	
0.002470	6.455082	
0.002480	6.442127	
0.002490	6.429213	
0.002500	6.416556	
0.002510	6.404361	
0.002520	6.392822	
0.002530	6.382120	
0.002540	6.372419	
0.002550	6.363861	
0.002560	6.356572	
0.002570	6.350654	
0.002580	6.346162	
0.002590	6.343252	
0.002600	6.342015	
0.002610	6.342631	
0.002620	6.344380	
0.002630	6.347430	
0.002640	6.351783	
0.002650	6.357431	
0.002660	6.364259	
0.002670	6.372145	
0.002680	6.380955	
0.002690	6.390539	
0.002700	6.400738	
0.002710	6.411389	
0.002720	6.422321	
0.002730	6.433364	
0.002740	6.444350	
0.002750	6.455113	
0.002760	6.465494	
0.002770	6.475346	
0.002780	6.484529	
0.002790	6.492918	
0.002800	6.500402	
0.002810	6.506885	
0.002820	6.512311	
0.002830	6.516558	
0.002840	6.519610	
0.002850	6.521307	
0.002860	6.521606	
0.002870	6.520995	
0.002880	6.519401	
0.002890	6.516752	
0.002900	6.513135	
0.002910	6.508616	
0.002920	6.503240	
0.002930	6.497143	
0.002940	6.490439	
0.002950	6.483250	
0.002960	6.475705	
0.002970	6.467932	
0.002980	6.460064	
0.002990	6.452231	
0.003000	6.444560	
0.003010	6.437172	
0.003020	6.430184	
0.003030	6.423701	
0.003040	6.417821	
0.003050	6.412603	
0.003060	6.408159	
0.003070	6.404559	
0.003080	6.401857	
0.003090	6.400060	
0.003100	6.399323	
0.003110	6.399589	
0.003120	6.400586	
0.003130	6.402308	
0.003140	6.404808	
0.003150	6.408062	
0.003160	6.411993	
0.003170	6.416536	
0.003180	6.421618	
0.003190	6.427171	
0.003200	6.433084	
0.003210	6.439260	
0.003220	6.445599	
0.003230	6.452002	
0.003240	6.458368	
0.003250	6.464600	
0.003260	6.470605	
0.003270	6.476295	
0.003280	6.481602	
0.003290	6.486435	
0.003300	6.490724	
0.003310	6.494408	
0.003320	6.497438	
0.003330	6.499800	
0.003340	6.501428	
0.003350	6.502191	
0.003360	6.502263	
0.003370	6.501833	
0.003380	6.500756	
0.003390	6.499092	
0.003400	6.496861	
0.003410	6.494093	
0.003420	6.490857	
0.003430	6.487211	
0.003440	6.483218	
0.003450	6.478947	
0.003460	6.474470	
0.003470	6.469862	
0.003480	6.465200	
0.003490	6.460559	
0.003500	6.456015	
0.003510	6.451641	
0.003520	6.447505	
0.003530	6.443672	
0.003540	6.440201	
0.003550	6.437145	
0.003560	6.434532	
0.003570	6.432410	
0.003580	6.430815	
0.003590	6.429789	
0.003600	6.429389	
0.003610	6.429506	
0.003620	6.430110	
0.003630	6.431117	
0.003640	6.432551	
0.003650	6.434405	
0.003660	6.436651	
0.003670	6.439258	
0.003680	6.442169	
0.003690	6.445335	
0.003700	6.448705	
0.003710	6.452223	
0.003720	6.455832	
0.003730	6.459476	
0.003740	6.463097	
0.003750	6.466639	
0.003760	6.470047	
0.003770	6.473270	
0.003780	6.476259	
0.003790	6.478983	
0.003800	6.481395	
0.003810	6.483462	
0.003820	6.485153	
0.003830	6.486440	
0.003840	6.487282	
0.003850	6.487690	
0.003860	6.487709	
0.003870	6.487387	
0.003880	6.486702	
0.003890	6.485711	
0.003900	6.484412	
0.003910	6.482823	
0.003920	6.480971	
0.003930	6.478890	
0.003940	6.476614	
0.003950	6.474184	
0.003960	6.471640	
0.003970	6.469028	
0.003980	6.466391	
0.003990	6.463772	
0.004000	6.461208	
0.004010	6.458742	
0.004020	6.456411	
0.004030	6.454250	
0.004040	6.452293	
0.004050	6.450567	
0.004060	6.449100	
0.004070	6.447915	
0.004080	6.447036	
0.004090	6.446491	
0.004100	6.446238	
0.004110	6.446272	
0.004120	6.446584	
0.004130	6.447161	
0.004140	6.447959	
0.004150	6.448974	
0.004160	6.450197	
0.004170	6.451609	
0.004180	6.453187	
0.004190	6.454905	
0.004200	6.456735	
0.004210	6.458646	
0.004220	6.460608	
0.004230	6.462588	
0.004240	6.464557	
0.004250	6.466482	
0.004260	6.468335	
0.004270	6.470087	
0.004280	6.471713	
0.004290	6.473188	
0.004300	6.474490	
0.004310	6.475599	
0.004320	6.476497	
0.004330	6.477163	
0.004340	6.477611	
0.004350	6.477844	
0.004360	6.477868	
0.004370	6.477689	
0.004380	6.477314	
0.004390	6.476758	
0.004400	6.476047	
0.004410	6.475191	
0.004420	6.474201	
0.004430	6.473092	
0.004440	6.471883	
0.004450	6.470593	
0.004460	6.469244	
0.004470	6.467859	
0.004480	6.466460	
0.004490	6.465069	
0.004500	6.463709	
0.004510	6.462401	
0.004520	6.461165	
0.004530	6.460020	
0.004540	6.458985	
0.004550	6.458074	
0.004560	6.457304	
0.004570	6.456690	
0.004580	6.456225	
0.004590	6.455912	
0.004600	6.455750	
0.004610	6.455737	
0.004620	6.455870	
0.004630	6.456142	
0.004640	6.456544	
0.004650	6.457066	
0.004660	6.457696	
0.004670	6.458416	
0.004680	6.459217	
0.004690	6.460087	
0.004700	6.461012	
0.004710	6.461977	
0.004720	6.462968	
0.004730	6.463967	
0.004740	6.464959	
0.004750	6.465930	
0.004760	6.466863	
0.004770	6.467744	
0.004780	6.468560	
0.004790	6.469298	
0.004800	6.469947	
0.004810	6.470500	
0.004820	6.470953	
0.004830	6.471305	
0.004840	6.471551	
0.004850	6.471692	
0.004860	6.471728	
0.004870	6.471663	
0.004880	6.471501	
0.004890	6.471247	
0.004900	6.470908	
0.004910	6.470493	
0.004920	6.470010	
0.004930	6.469468	
0.004940	6.468878	
0.004950	6.468252	
0.004960	6.467599	
0.004970	6.466930	
0.004980	6.466256	
0.004990	6.465586	
0.005000	6.464933	
0.005010	6.464306	
0.005020	6.463714	
0.005030	6.463166	
0.005040	6.462669	
0.005050	6.462228	
0.005060	6.461849	
0.005070	6.461536	
0.005080	6.461292	
0.005090	6.461118	
0.005100	6.461016	
0.005110	6.460984	
0.005120	6.461021	
0.005130	6.461124	
0.005140	6.461289	
0.005150	6.461513	
0.005160	6.461789	
0.005170	6.462113	
0.005180	6.462477	
0.005190	6.462875	
0.005200	6.463300	
0.005210	6.463744	
0.005220	6.464199	
0.005230	6.464659	
0.005240	6.465116	
0.005250	6.465563	
0.005260	6.465994	
0.005270	6.466402	
0.005280	6.466783	
0.005290	6.467130	
0.005300	6.467439	
0.005310	6.467708	
0.005320	6.467933	
0.005330	6.468111	
0.005340	6.468243	
0.005350	6.468326	
0.005360	6.468362	
0.005370	6.468351	
0.005380	6.468296	
0.005390	6.468197	
0.005400	6.468059	
0.005410	6.467884	
0.005420	6.467677	
0.005430	6.467441	
0.005440	6.467181	
0.005450	6.466903	
0.005460	6.466610	
0.005470	6.466309	
0.005480	6.466003	
0.005490	6.465698	
0.005500	6.465399	
0.005510	6.465110	
0.005520	6.464835	
0.005530	6.464578	
0.005540	6.464342	
0.005550	6.464131	
0.005560	6.463947	
0.005570	6.463792	
0.005580	6.463668	
0.005590	6.463575	
0.005600	6.463515	
0.005610	6.463486	
0.005620	6.463489	
0.005630	6.463523	
0.005640	6.463585	
0.005650	6.463675	
0.005660	6.463790	
0.005670	6.463927	
0.005680	6.464084	
0.005690	6.464257	
0.005700	6.464444	
0.005710	6.464641	
0.005720	6.464845	
0.005730	6.465052	
0.005740	6.465259	
0.005750	6.465463	
0.005760	6.465661	
0.005770	6.465850	
0.005780	6.466028	
0.005790	6.466191	
0.005800	6.466338	
0.005810	6.466468	
0.005820	6.466578	
0.005830	6.466667	
0.005840	6.466736	
0.005850	6.466783	
0.005860	6.466808	
0.005870	6.466812	
0.005880	6.466795	
0.005890	6.466759	
0.005900	6.466704	
0.005910	6.466631	
0.005920	6.466544	
0.005930	6.466442	
0.005940	6.466329	
0.005950	6.466207	
0.005960	6.466077	
0.005970	6.465942	
0.005980	6.465804	
0.005990	6.465666	
0.006000	6.465529	
0.006010	6.465396	
0.006020	6.465268	
0.006030	6.465148	
0.006040	6.465037	
0.006050	6.464937	
0.006060	6.464848	
0.006070	6.464772	
0.006080	6.464710	
0.006090	6.464662	
0.006100	6.464628	
0.006110	6.464609	
0.006120	6.464604	
0.006130	6.464613	
0.006140	6.464636	
0.006150	6.464671	
0.006160	6.464718	
0.006170	6.464776	
0.006180	6.464843	
0.006190	6.464918	
0.006200	6.465000	
0.006210	6.465087	
0.006220	6.465178	
0.006230	6.465271	
0.006240	6.465365	
0.006250	6.465458	
0.006260	6.465548	
0.006270	6.465636	
0.006280	6.465718	
0.006290	6.465795	
0.006300	6.465864	
0.006310	6.465926	
0.006320	6.465980	
0.006330	6.466024	
0.006340	6.466059	
0.006350	6.466085	
0.006360	6.466100	
0.006370	6.466106	
0.006380	6.466103	
0.006390	6.466090	
0.006400	6.466068	
0.006410	6.466039	
0.006420	6.466002	
0.006430	6.465959	
0.006440	6.465910	
0.006450	6.465856	
0.006460	6.465799	
0.006470	6.465738	
0.006480	6.465676	
0.006490	6.465614	
0.006500	6.465552	
0.006510	6.465490	
0.006520	6.465432	
0.006530	6.465376	
0.006540	6.465324	
0.006550	6.465276	
0.006560	6.465234	
0.006570	6.465197	
0.006580	6.465166	
0.006590	6.465141	
0.006600	6.465123	
0.006610	6.465112	
0.006620	6.465107	
0.006630	6.465108	
0.006640	6.465116	
0.006650	6.465129	
0.006660	6.465148	
0.006670	6.465172	
0.006680	6.465201	
0.006690	6.465233	
0.006700	6.465269	
0.006710	6.465307	
0.006720	6.465348	
0.006730	6.465389	
0.006740	6.465431	
0.006750	6.465474	
0.006760	6.465515	
0.006770	6.465555	
0.006780	6.465594	
0.006790	6.465629	
0.006800	6.465662	
0.006810	6.465692	
0.006820	6.465718	
0.006830	6.465740	
0.006840	6.465757	
0.006850	6.465771	
0.006860	6.465779	
0.006870	6.465784	
0.006880	6.465784	
0.006890	6.465780	
0.006900	6.465772	
0.006910	6.465760	
0.006920	6.465745	
0.006930	6.465727	
0.006940	6.465705	
0.006950	6.465682	
0.006960	6.465657	
0.006970	6.465630	
0.006980	6.465602	
0.006990	6.465574	
0.007000	6.465546	
0.007010	6.465518	
0.007020	6.465491	
0.007030	6.465465	
0.007040	6.465441	
0.007050	6.465418	
0.007060	6.465398	
0.007070	6.465380	
0.007080	6.465365	
0.007090	6.465353	
0.007100	6.465343	
0.007110	6.465337	
0.007120	6.465333	
0.007130	6.465332	
0.007140	6.465335	
0.007150	6.465339	
0.007160	6.465347	
0.007170	6.465357	
0.007180	6.465369	
0.007190	6.465383	
0.007200	6.465398	
0.007210	6.465415	
0.007220	6.465433	
0.007230	6.465452	
0.007240	6.465471	
0.007250	6.465490	
0.007260	6.465509	
0.007270	6.465527	
0.007280	6.465545	
0.007290	6.465562	
0.007300	6.465577	
0.007310	6.465591	
0.007320	6.465603	
0.007330	6.465614	
0.007340	6.465623	
0.007350	6.465630	
0.007360	6.465635	
0.007370	6.465638	
0.007380	6.465638	
0.007390	6.465637	
0.007400	6.465635	
0.007410	6.465630	
0.007420	6.465624	
0.007430	6.465616	
0.007440	6.465607	
0.007450	6.465597	
0.007460	6.465586	
0.007470	6.465574	
0.007480	6.465561	
0.007490	6.465549	
0.007500	6.465536	
0.007510	6.465523	
0.007520	6.465511	
0.007530	6.465499	
0.007540	6.465488	
0.007550	6.465477	
0.007560	6.465467	
0.007570	6.465459	
0.007580	6.465451	
0.007590	6.465445	
0.007600	6.465440	
0.007610	6.465437	
0.007620	6.465435	
0.007630	6.465434	
0.007640	6.465434	
0.007650	6.465436	
0.007660	6.465439	
0.007670	6.465443	
0.007680	6.465448	
0.007690	6.465454	
0.007700	6.465461	
0.007710	6.465468	
0.007720	6.465476	
0.007730	6.465484	
0.007740	6.465493	
0.007750	6.465501	
0.007760	6.465510	
0.007770	6.465518	
0.007780	6.465527	
0.007790	6.465534	
0.007800	6.465542	
0.007810	6.465548	
0.007820	6.465554	
0.007830	6.465559	
0.007840	6.465564	
0.007850	6.465567	
0.007860	6.465570	
0.007870	6.465571	
0.007880	6.465572	
0.007890	6.465572	
0.007900	6.465571	
0.007910	6.465569	
0.007920	6.465567	
0.007930	6.465564	
0.007940	6.465560	
0.007950	6.465555	
0.007960	6.465551	
0.007970	6.465545	
0.007980	6.465540	
0.007990	6.465534	
0.008000	6.465528	
0.008010	6.465523	
0.008020	6.465517	
0.008030	6.465511	
0.008040	6.465506	
0.008050	6.465501	
0.008060	6.465497	
0.008070	6.465493	
0.008080	6.465489	
0.008090	6.465486	
0.008100	6.465484	
0.008110	6.465482	
0.008120	6.465480	
0.008130	6.465480	
0.008140	6.465480	
0.008150	6.465480	
0.008160	6.465481	
0.008170	6.465483	
0.008180	6.465485	
0.008190	6.465487	
0.008200	6.465490	
0.008210	6.465494	
0.008220	6.465497	
0.008230	6.465501	
0.008240	6.465505	
0.008250	6.465508	
0.008260	6.465512	
0.008270	6.465516	
0.008280	6.465520	
0.008290	6.465524	
0.008300	6.465527	
0.008310	6.465530	
0.008320	6.465533	
0.008330	6.465535	
0.008340	6.465537	
0.008350	6.465539	
0.008360	6.465541	
0.008370	6.465541	
0.008380	6.465542	
0.008390	6.465542	
0.008400	6.465542	
0.008410	6.465541	
0.008420	6.465540	
0.008430	6.465539	
0.008440	6.465537	
0.008450	6.465535	
0.008460	6.465533	
0.008470	6.465531	
0.008480	6.465529	
0.008490	6.465526	
0.008500	6.465523	
0.008510	6.465521	
0.008520	6.465518	
0.008530	6.465516	
0.008540	6.465513	
0.008550	6.465511	
0.008560	6.465509	
0.008570	6.465507	
0.008580	6.465505	
0.008590	6.465504	
0.008600	6.465502	
0.008610	6.465502	
0.008620	6.465501	
0.008630	6.465500	
0.008640	6.465500	
0.008650	6.465500	
0.008660	6.465501	
0.008670	6.465501	
0.008680	6.465502	
0.008690	6.465503	
0.008700	6.465505	
0.008710	6.465506	
0.008720	6.465507	
0.008730	6.465509	
0.008740	6.465511	
0.008750	6.465513	
0.008760	6.465514	
0.008770	6.465516	
0.008780	6.465518	
0.008790	6.465519	
0.008800	6.465521	
0.008810	6.465522	
0.008820	6.465524	
0.008830	6.465525	
0.008840	6.465526	
0.008850	6.465527	
0.008860	6.465528	
0.008870	6.465528	
0.008880	6.465528	
0.008890	6.465529	
0.008900	6.465528	
0.008910	6.465528	
0.008920	6.465528	
0.008930	6.465527	
0.008940	6.465527	
0.008950	6.465526	
0.008960	6.465525	
0.008970	6.465524	
0.008980	6.465523	
0.008990	6.465522	
0.009000	6.465521	
0.009010	6.465519	
0.009020	6.465518	
0.009030	6.465517	
0.009040	6.465516	
0.009050	6.465515	
0.009060	6.465514	
0.009070	6.465513	
0.009080	6.465512	
0.009090	6.465511	
0.009100	6.465511	
0.009110	6.465510	
0.009120	6.465510	
0.009130	6.465510	
0.009140	6.465510	
0.009150	6.465510	
0.009160	6.465510	
0.009170	6.465510	
0.009180	6.465510	
0.009190	6.465511	
0.009200	6.465511	
0.009210	6.465512	
0.009220	6.465513	
0.009230	6.465513	
0.009240	6.465514	
0.009250	6.465515	
0.009260	6.465516	
0.009270	6.465516	
0.009280	6.465517	
0.009290	6.465518	
0.009300	6.465519	
0.009310	6.465519	
0.009320	6.465520	
0.009330	6.465521	
0.009340	6.465521	
0.009350	6.465521	
0.009360	6.465522	
0.009370	6.465522	
0.009380	6.465522	
0.009390	6.465522	
0.009400	6.465522	
0.009410	6.465522	
0.009420	6.465522	
0.009430	6.465522	
0.009440	6.465522	
0.009450	6.465521	
0.009460	6.465521	
0.009470	6.465520	
0.009480	6.465520	
0.009490	6.465519	
0.009500	6.465519	
0.009510	6.465518	
0.009520	6.465518	
0.009530	6.465517	
0.009540	6.465517	
0.009550	6.465516	
0.009560	6.465516	
0.009570	6.465515	
0.009580	6.465515	
0.009590	6.465515	
0.009600	6.465514	
0.009610	6.465514	
0.009620	6.465514	
0.009630	6.465514	
0.009640	6.465514	
0.009650	6.465514	
0.009660	6.465514	
0.009670	6.465514	
0.009680	6.465514	
0.009690	6.465514	
0.009700	6.465514	
0.009710	6.465515	
0.009720	6.465515	
0.009730	6.465515	
0.009740	6.465516	
0.009750	6.465516	
0.009760	6.465516	
0.009770	6.465517	
0.009780	6.465517	
0.009790	6.465517	
0.009800	6.465518	
0.009810	6.465518	
0.009820	6.465518	
0.009830	6.465519	
0.009840	6.465519	
0.009850	6.465519	
0.009860	6.465519	
0.009870	6.465519	
0.009880	6.465519	
0.009890	6.465520	
0.009900	6.465520	
0.009910	6.465520	
0.009920	6.465519	
0.009930	6.465519	
0.009940	6.465519	
0.009950	6.465519	
0.009960	6.465519	
0.009970	6.465519	
0.009980	6.465519	
0.009990	6.465518	
