t	x	
0.000000	0.000000	
0.000010	0.000592	
0.000020	0.004360	
0.000030	0.014253	
0.000040	0.032977	
0.000050	0.062969	
0.000060	0.106363	
0.000070	0.164951	
0.000080	0.240527	
0.000090	0.333828	
0.000100	0.445573	
0.000110	0.578429	
0.000120	0.727330	
0.000130	0.894344	
0.000140	1.078612	
0.000150	1.278715	
0.000160	1.493621	
0.000170	1.721673	
0.000180	1.960965	
0.000190	2.209382	
0.000200	2.464641	
0.000210	2.724325	
0.000220	2.985932	
0.000230	3.246920	
0.000240	3.504747	
0.000250	3.756907	
0.000260	4.000997	
0.000270	4.234721	
0.000280	4.455934	
0.000290	4.662686	
0.000300	4.853245	
0.000310	5.026116	
0.000320	5.179592	
0.000330	5.313208	
0.000340	5.426291	
0.000350	5.518630	
0.000360	5.587781	
0.000370	5.638725	
0.000380	5.669828	
0.000390	5.681851	
0.000400	5.676313	
0.000410	5.654044	
0.000420	5.616559	
0.000430	5.565565	
0.000440	5.502932	
0.000450	5.430652	
0.000460	5.350828	
0.000470	5.265626	
0.000480	5.177230	
0.000490	5.087819	
0.000500	4.999536	
0.000510	4.914434	
0.000520	4.834470	
0.000530	4.761468	
0.000540	4.697098	
0.000550	4.642845	
0.000560	4.600006	
0.000570	4.569997	
0.000580	4.553298	
0.000590	4.550505	
0.000600	4.562050	
0.000610	4.588389	
0.000620	4.628221	
0.000630	4.681599	
0.000640	4.747981	
0.000650	4.826224	
0.000660	4.915679	
0.000670	5.015171	
0.000680	5.123371	
0.000690	5.238815	
0.000700	5.359936	
0.000710	5.485088	
0.000720	5.612571	
0.000730	5.740671	
0.000740	5.867679	
0.000750	5.991928	
0.000760	6.111810	
0.000770	6.225795	
0.000780	6.332466	
0.000790	6.430527	
0.000800	6.518837	
0.000810	6.596030	
0.000820	6.661686	
0.000830	6.715200	
0.000840	6.756132	
0.000850	6.784207	
0.000860	6.798310	
0.000870	6.801305	
0.000880	6.792275	
0.000890	6.771721	
0.000900	6.740692	
0.000910	6.699682	
0.000920	6.649684	
0.000930	6.591811	
0.000940	6.527284	
0.000950	6.457402	
0.000960	6.383528	
0.000970	6.307063	
0.000980	6.229421	
0.000990	6.152003	
0.001000	6.076174	
0.001010	6.003251	
0.001020	5.934482	
0.001030	5.871027	
0.001040	5.813938	
0.001050	5.764152	
0.001060	5.722779	
0.001070	5.690160	
0.001080	5.666786	
0.001090	5.652967	
0.001100	5.649051	
0.001110	5.654558	
0.001120	5.669730	
0.001130	5.694062	
0.001140	5.727155	
0.001150	5.768198	
0.001160	5.816757	
0.001170	5.872037	
0.001180	5.933143	
0.001190	5.999096	
0.001200	6.068854	
0.001210	6.141324	
0.001220	6.215383	
0.001230	6.289904	
0.001240	6.363768	
0.001250	6.435891	
0.001260	6.505223	
0.001270	6.570774	
0.001280	6.631626	
0.001290	6.686945	
0.001300	6.735995	
0.001310	6.777925	
0.001320	6.812462	
0.001330	6.839225	
0.001340	6.857935	
0.001350	6.867038	
0.001360	6.868788	
0.001370	6.863494	
0.001380	6.850647	
0.001390	6.830586	
0.001400	6.803783	
0.001410	6.771031	
0.001420	6.732750	
0.001430	6.689670	
0.001440	6.642584	
0.001450	6.592340	
0.001460	6.539823	
0.001470	6.485938	
0.001480	6.431594	
0.001490	6.377692	
0.001500	6.325107	
0.001510	6.274677	
0.001520	6.227198	
0.001530	6.183405	
0.001540	6.143961	
0.001550	6.109652	
0.001560	6.080777	
0.001570	6.057727	
0.001580	6.040806	
0.001590	6.030244	
0.001600	6.027073	
0.001610	6.029831	
0.001620	6.038111	
0.001630	6.052287	
0.001640	6.072094	
0.001650	6.097150	
0.001660	6.126806	
0.001670	6.160738	
0.001680	6.198361	
0.001690	6.239038	
0.001700	6.282091	
0.001710	6.326813	
0.001720	6.372485	
0.001730	6.418381	
0.001740	6.463787	
0.001750	6.508006	
0.001760	6.550371	
0.001770	6.590255	
0.001780	6.627076	
0.001790	6.660311	
0.001800	6.689322	
0.001810	6.713898	
0.001820	6.733734	
0.001830	6.748591	
0.001840	6.758277	
0.001850	6.762086	
0.001860	6.761090	
0.001870	6.755631	
0.001880	6.745449	
0.001890	6.730761	
0.001900	6.711876	
0.001910	6.689335	
0.001920	6.663384	
0.001930	6.634495	
0.001940	6.603178	
0.001950	6.569978	
0.001960	6.535460	
0.001970	6.500198	
0.001980	6.464769	
0.001990	6.429746	
0.002000	6.395683	
0.002010	6.363110	
0.002020	6.332526	
0.002030	6.304390	
0.002040	6.279278	
0.002050	6.257396	
0.002060	6.239040	
0.002070	6.224450	
0.002080	6.213815	
0.002090	6.207164	
0.002100	6.205358	
0.002110	6.207263	
0.002120	6.212667	
0.002130	6.221769	
