t	x	
0.000000	0.000000	
0.000010	0.002231	
0.000020	0.016392	
0.000030	0.052709	
0.000040	0.119628	
0.000050	0.223777	
0.000060	0.370314	
0.000070	0.563111	
0.000080	0.803887	
0.000090	1.096584	
0.000100	1.432377	
0.000110	1.812594	
0.000120	2.234414	
0.000130	2.693573	
0.000140	3.184893	
0.000150	3.702504	
0.000160	4.239830	
0.000170	4.789897	
0.000180	5.345425	
0.000190	5.898952	
0.000200	6.443009	
0.000210	6.970257	
0.000220	7.473580	
0.000230	7.946263	
0.000240	8.382125	
0.000250	8.775525	
0.000260	9.121500	
0.000270	9.415837	
0.000280	9.655111	
0.000290	9.836149	
0.000300	9.957930	
0.000310	10.017391	
0.000320	10.019950	
0.000330	9.964519	
0.000340	9.853647	
0.000350	9.689473	
0.000360	9.475589	
0.000370	9.216317	
0.000380	8.916627	
0.000390	8.582012	
0.000400	8.218394	
0.000410	7.832139	
0.000420	7.429817	
0.000430	7.018143	
0.000440	6.603854	
0.000450	6.193610	
0.000460	5.793918	
0.000470	5.410942	
0.000480	5.050534	
0.000490	4.718061	
0.000500	4.418380	
0.000510	4.155744	
0.000520	3.933792	
0.000530	3.755435	
0.000540	3.623406	
0.000550	3.538534	
0.000560	3.506725	
0.000570	3.517078	
0.000580	3.573616	
0.000590	3.674297	
0.000600	3.817442	
0.000610	4.000149	
0.000620	4.218913	
0.000630	4.469702	
0.000640	4.748043	
0.000650	5.049095	
0.000660	5.367731	
0.000670	5.698618	
0.000680	6.036324	
0.000690	6.375390	
0.000700	6.710421	
0.000710	7.036159	
0.000720	7.347613	
0.000730	7.640081	
0.000740	7.909242	
0.000750	8.151177	
0.000760	8.362477	
0.000770	8.540277	
0.000780	8.681692	
0.000790	8.785636	
0.000800	8.851005	
0.000810	8.875065	
0.000820	8.862849	
0.000830	8.813068	
0.000840	8.726981	
0.000850	8.607100	
0.000860	8.455256	
0.000870	8.274348	
0.000880	8.067699	
0.000890	7.838996	
0.000900	7.592209	
0.000910	7.331538	
0.000920	7.061339	
0.000930	6.786046	
0.000940	6.510104	
0.000950	6.237899	
0.000960	5.973664	
0.000970	5.721473	
0.000980	5.485133	
0.000990	5.268138	
0.001000	5.073618	
0.001010	4.904313	
0.001020	4.762528	
0.001030	4.650585	
0.001040	4.569277	
0.001050	4.519448	
0.001060	4.504374	
0.001070	4.517585	
0.001080	4.561260	
0.001090	4.634321	
0.001100	4.734640	
0.001110	4.860725	
0.001120	5.010178	
0.001130	5.180267	
0.001140	5.367967	
0.001150	5.570030	
0.001160	5.783028	
0.001170	6.003400	
0.001180	6.227540	
0.001190	6.451836	
0.001200	6.672731	
0.001210	6.886778	
0.001220	7.090696	
0.001230	7.281421	
0.001240	7.456132	
0.001250	7.612310	
0.001260	7.747760	
0.001270	7.860667	
0.001280	7.949145	
0.001290	8.012610	
0.001300	8.050373	
0.001310	8.060596	
0.001320	8.047433	
0.001330	8.009330	
0.001340	7.947460	
0.001350	7.863634	
0.001360	7.759050	
0.001370	7.635684	
0.001380	7.495786	
0.001390	7.341831	
0.001400	7.176479	
0.001410	7.002535	
0.001420	6.822899	
0.001430	6.640508	
0.001440	6.458295	
0.001450	6.279154	
0.001460	6.105864	
0.001470	5.941076	
0.001480	5.787270	
0.001490	5.646710	
0.001500	5.521420	
0.001510	5.413139	
0.001520	5.323756	
0.001530	5.253969	
