t	f	
0.000000	0.000000	
0.000010	0.349389	
0.000020	0.680348	
0.000030	0.988084	
0.000040	1.268237	
0.000050	1.516944	
0.000060	1.730905	
0.000070	1.907375	
0.000080	2.043240	
0.000090	2.138186	
0.000100	2.191441	
0.000110	2.203566	
0.000120	2.168364	
0.000130	2.099569	
0.000140	1.993421	
0.000150	1.852152	
0.000160	1.679510	
0.000170	1.477888	
0.000180	1.251028	
0.000190	1.003019	
0.000200	0.738225	
0.000210	0.461210	
0.000220	0.176670	
0.000230	-0.110661	
0.000240	-0.396087	
0.000250	-0.675024	
0.000260	-0.943085	
0.000270	-1.196112	
0.000280	-1.430245	
0.000290	-1.641984	
0.000300	-1.828237	
0.000310	-1.986367	
0.000320	-2.113209	
0.000330	-2.208187	
0.000340	-2.270215	
0.000350	-2.298662	
0.000360	-2.286873	
0.000370	-2.249045	
0.000380	-2.180251	
0.000390	-2.081655	
0.000400	-1.955159	
0.000410	-1.803925	
0.000420	-1.629799	
0.000430	-1.435824	
0.000440	-1.225316	
0.000450	-1.001808	
0.000460	-0.768989	
0.000470	-0.530641	
0.000480	-0.290584	
0.000490	-0.052591	
0.000500	0.179659	
0.000510	0.402652	
0.000520	0.613053	
0.000530	0.807793	
0.000540	0.984077	
0.000550	1.139451	
0.000560	1.271819	
0.000570	1.378594	
0.000580	1.459445	
0.000590	1.513548	
0.000600	1.540569	
0.000610	1.537231	
0.000620	1.508262	
0.000630	1.456672	
0.000640	1.381143	
0.000650	1.283209	
0.000660	1.165404	
0.000670	1.029294	
0.000680	0.877346	
0.000690	0.712248	
0.000700	0.536858	
0.000710	0.354157	
0.000720	0.167202	
0.000730	-0.020934	
0.000740	-0.207218	
0.000750	-0.388702	
0.000760	-0.562574	
0.000770	-0.726170	
0.000780	-0.877028	
0.000790	-1.012927	
0.000800	-1.131912	
0.000810	-1.231650	
0.000820	-1.311513	
0.000830	-1.370535	
0.000840	-1.408072	
0.000850	-1.423725	
0.000860	-1.414230	
0.000870	-1.387002	
0.000880	-1.340043	
0.000890	-1.274032	
0.000900	-1.190239	
0.000910	-1.090748	
0.000920	-0.976809	
0.000930	-0.850417	
0.000940	-0.713744	
0.000950	-0.569093	
0.000960	-0.418865	
0.000970	-0.265515	
0.000980	-0.111507	
0.000990	0.040731	
0.001000	0.188834	
0.001010	0.330560	
0.001020	0.463786	
0.001030	0.586554	
0.001040	0.697101	
0.001050	0.793881	
0.001060	0.875018	
0.001070	0.940065	
0.001080	0.988271	
0.001090	1.019141	
0.001100	1.032365	
0.001110	1.025568	
0.001120	1.003308	
0.001130	0.966372	
0.001140	0.914272	
0.001150	0.848018	
0.001160	0.768893	
0.001170	0.678805	
0.001180	0.578872	
0.001190	0.470840	
0.001200	0.356562	
0.001210	0.237960	
0.001220	0.117003	
0.001230	-0.004345	
0.001240	-0.124145	
0.001250	-0.240511	
0.001260	-0.351649	
0.001270	-0.455878	
0.001280	-0.551645	
0.001290	-0.637554	
0.001300	-0.712381	
0.001310	-0.774608	
0.001320	-0.823940	
0.001330	-0.859789	
0.001340	-0.881761	
0.001350	-0.889941	
0.001360	-0.880762	
0.001370	-0.861311	
0.001380	-0.829452	
0.001390	-0.785609	
0.001400	-0.730600	
0.001410	-0.665459	
0.001420	-0.591757	
0.001430	-0.510352	
0.001440	-0.422641	
0.001450	-0.330105	
0.001460	-0.234284	
0.001470	-0.136740	
0.001480	-0.039037	
0.001490	0.057282	
0.001500	0.150720	
0.001510	0.239848	
0.001520	0.323338	
0.001530	0.399964	
0.001540	0.468623	
