t	f	
0.000000	0.000000	
0.000010	0.521445	
0.000020	1.010163	
0.000030	1.459413	
0.000040	1.863176	
0.000050	2.216230	
0.000060	2.514213	
0.000070	2.753719	
0.000080	2.931085	
0.000090	3.046117	
0.000100	3.098281	
0.000110	3.080496	
0.000120	3.010640	
0.000130	2.882882	
0.000140	2.700779	
0.000150	2.469392	
0.000160	2.192377	
0.000170	1.875130	
0.000180	1.523608	
0.000190	1.144216	
0.000200	0.743686	
0.000210	0.328996	
0.000220	-0.092774	
0.000230	-0.514564	
0.000240	-0.929431	
0.000250	-1.330648	
0.000260	-1.711868	
0.000270	-2.067135	
0.000280	-2.391002	
0.000290	-2.678616	
0.000300	-2.925785	
0.000310	-3.129017	
0.000320	-3.284417	
0.000330	-3.391239	
0.000340	-3.448315	
0.000350	-3.455670	
0.000360	-3.408214	
0.000370	-3.318349	
0.000380	-3.182942	
0.000390	-3.004581	
0.000400	-2.787566	
0.000410	-2.534750	
0.000420	-2.250542	
0.000430	-1.939788	
0.000440	-1.607692	
0.000450	-1.259705	
0.000460	-0.901485	
0.000470	-0.538757	
0.000480	-0.177217	
0.000490	0.177539	
0.000500	0.520101	
0.000510	0.845376	
0.000520	1.148597	
0.000530	1.425415	
0.000540	1.671961	
0.000550	1.884905	
0.000560	2.061465	
0.000570	2.198460	
0.000580	2.295503	
0.000590	2.351736	
0.000600	2.366744	
0.000610	2.340008	
0.000620	2.275870	
0.000630	2.174778	
0.000640	2.038798	
0.000650	1.871539	
0.000660	1.675275	
0.000670	1.453620	
0.000680	1.210541	
0.000690	0.950288	
0.000700	0.677317	
0.000710	0.396222	
0.000720	0.111656	
0.000730	-0.171761	
0.000740	-0.449502	
0.000750	-0.717225	
0.000760	-0.970804	
0.000770	-1.206397	
0.000780	-1.420507	
0.000790	-1.610029	
0.000800	-1.772302	
0.000810	-1.904109	
0.000820	-2.004825	
0.000830	-2.073305	
0.000840	-2.108877	
0.000850	-2.111305	
0.000860	-2.078314	
0.000870	-2.017608	
0.000880	-1.927349	
0.000890	-1.809297	
0.000900	-1.666498	
0.000910	-1.500717	
0.000920	-1.314895	
0.000930	-1.112258	
0.000940	-0.896248	
0.000950	-0.670473	
0.000960	-0.438644	
0.000970	-0.204518	
0.000980	0.028182	
0.000990	0.255819	
0.001000	0.474913	
0.001010	0.682153	
0.001020	0.874470	
0.001030	1.049071	
0.001040	1.203487	
0.001050	1.335599	
0.001060	1.442786	
0.001070	1.524665	
0.001080	1.580362	
0.001090	1.609496	
0.001100	1.611581	
0.001110	1.588360	
0.001120	1.539589	
0.001130	1.467020	
0.001140	1.372096	
0.001150	1.257269	
0.001160	1.124043	
0.001170	0.974816	
0.001180	0.812210	
0.001190	0.639023	
0.001200	0.458182	
0.001210	0.272695	
0.001220	0.085597	
0.001230	-0.100109	
0.001240	-0.281497	
0.001250	-0.455772	
0.001260	-0.620278	
0.001270	-0.772552	
0.001280	-0.910363	
0.001290	-1.031740	
0.001300	-1.134999	
0.001310	-1.218153	
0.001320	-1.280835	
0.001330	-1.322364	
0.001340	-1.342328	
0.001350	-1.337055	
0.001360	-1.312790	
0.001370	-1.270576	
0.001380	-1.209413	
0.001390	-1.130485	
0.001400	-1.035312	
0.001410	-0.926154	
0.001420	-0.804391	
0.001430	-0.672138	
0.001440	-0.531647	
0.001450	-0.385271	
0.001460	-0.235423	
0.001470	-0.084534	
0.001480	0.064996	
0.001490	0.210825	
0.001500	0.350721	
0.001510	0.482574	
0.001520	0.604425	
0.001530	0.714506	
0.001540	0.811258	
0.001550	0.892786	
0.001560	0.958615	
0.001570	1.007963	
0.001580	1.040302	
0.001590	1.055297	
0.001600	1.050517	
0.001610	1.030160	
0.001620	0.995489	
0.001630	0.945770	
0.001640	0.881946	
0.001650	0.805245	
0.001660	0.717525	
0.001670	0.619862	
0.001680	0.513955	
0.001690	0.401614	
0.001700	0.284726	
0.001710	0.165224	
0.001720	0.045044	
0.001730	-0.073897	
0.001740	-0.189732	
0.001750	-0.300677	
0.001760	-0.405059	
0.001770	-0.501327	
0.001780	-0.588080	
0.001790	-0.664086	
0.001800	-0.727807	
0.001810	-0.778927	
0.001820	-0.816838	
0.001830	-0.841126	
0.001840	-0.851498	
0.001850	-0.846341	
0.001860	-0.828716	
0.001870	-0.799665	
0.001880	-0.758714	
0.001890	-0.706622	
0.001900	-0.644378	
0.001910	-0.573508	
0.001920	-0.494839	
0.001930	-0.409734	
0.001940	-0.319640	
0.001950	-0.226066	
0.001960	-0.130548	
0.001970	-0.034627	
0.001980	0.060171	
0.001990	0.152364	
0.002000	0.240533	
0.002010	0.323352	
0.002020	0.399597	
0.002030	0.468162	
0.002040	0.527611	
0.002050	0.577610	
0.002060	0.617527	
0.002070	0.646889	
0.002080	0.665370	
0.002090	0.673072	
0.002100	0.667920	
0.002110	0.653088	
0.002120	0.629266	
0.002130	0.596082	
0.002140	0.554135	
0.002150	0.504216	
0.002160	0.447577	
0.002170	0.384844	
0.002180	0.317102	
0.002190	0.245505	
0.002200	0.171245	
0.002210	0.095540	
0.002220	0.019612	
0.002230	-0.055333	
0.002240	-0.128123	
0.002250	-0.197638	
0.002260	-0.262824	
0.002270	-0.322719	
0.002280	-0.376458	
0.002290	-0.422877	
0.002300	-0.461764	
0.002310	-0.492627	
0.002320	-0.515099	
0.002330	-0.528921	
0.002340	-0.534052	
0.002350	-0.528428	
0.002360	-0.515967	
0.002370	-0.496598	
0.002380	-0.469829	
0.002390	-0.436206	
0.002400	-0.396372	
0.002410	-0.351074	
0.002420	-0.301383	
0.002430	-0.247824	
0.002440	-0.191302	
0.002450	-0.132756	
0.002460	-0.073144	
0.002470	-0.013424	
0.002480	0.045455	
0.002490	0.102575	
0.002500	0.157059	
0.002510	0.208084	
0.002520	0.254552	
0.002530	0.296086	
0.002540	0.332132	
0.002550	0.362229	
0.002560	0.386021	
0.002570	0.403249	
0.002580	0.413744	
0.002590	0.417208	
0.002600	0.411971	
0.002610	0.402509	
0.002620	0.387131	
0.002630	0.365925	
0.002640	0.339374	
0.002650	0.307995	
0.002660	0.272374	
0.002670	0.233158	
0.002680	0.191037	
0.002690	0.146733	
0.002700	0.100989	
0.002710	0.054555	
0.002720	0.008177	
0.002730	-0.037416	
0.002740	-0.081520	
0.002750	-0.123472	
0.002760	-0.162652	
0.002770	-0.198499	
0.002780	-0.230515	
0.002790	-0.258271	
0.002800	-0.281411	
0.002810	-0.299658	
0.002820	-0.312810	
0.002830	-0.320775	
0.002840	-0.323284	
0.002850	-0.319067	
0.002860	-0.311498	
0.002870	-0.299303	
0.002880	-0.282885	
0.002890	-0.262208	
0.002900	-0.237814	
0.002910	-0.210155	
0.002920	-0.179731	
0.002930	-0.147075	
0.002940	-0.112747	
0.002950	-0.077322	
0.002960	-0.041378	
0.002970	-0.005493	
0.002980	0.029768	
0.002990	0.063862	
0.003000	0.096276	
0.003010	0.126533	
0.003020	0.154197	
0.003030	0.178883	
0.003040	0.200261	
0.003050	0.218056	
0.003060	0.232052	
0.003070	0.242178	
0.003080	0.248069	
0.003090	0.249763	
0.003100	0.246391	
0.003110	0.240469	
0.003120	0.230827	
0.003130	0.217932	
0.003140	0.201969	
0.003150	0.183035	
0.003160	0.161594	
0.003170	0.138028	
0.003180	0.112751	
0.003190	0.086195	
0.003200	0.058803	
0.003210	0.031023	
0.003220	0.003302	
0.003230	-0.023926	
0.003240	-0.050240	
0.003250	-0.075244	
0.003260	-0.098570	
0.003270	-0.119881	
0.003280	-0.138882	
0.003290	-0.155315	
0.003300	-0.168969	
0.003310	-0.179743	
0.003320	-0.187354	
0.003330	-0.191801	
0.003340	-0.192770	
0.003350	-0.190082	
0.003360	-0.185387	
0.003370	-0.177889	
0.003380	-0.167786	
0.003390	-0.155333	
0.003400	-0.140733	
0.003410	-0.124149	
0.003420	-0.105939	
0.003430	-0.086422	
0.003440	-0.065928	
0.003450	-0.044800	
0.003460	-0.023384	
0.003470	-0.002021	
0.003480	0.018951	
0.003490	0.039209	
0.003500	0.058449	
0.003510	0.076387	
0.003520	0.092763	
0.003530	0.107350	
0.003540	0.120025	
0.003550	0.130512	
0.003560	0.138666	
0.003570	0.144380	
0.003580	0.147675	
0.003590	0.148240	
0.003600	0.146118	
0.003610	0.142426	
0.003620	0.136548	
0.003630	0.128737	
0.003640	0.119066	
0.003650	0.107761	
0.003660	0.095010	
0.003670	0.081025	
0.003680	0.066009	
0.003690	0.050251	
0.003700	0.034014	
0.003710	0.017563	
0.003720	0.001160	
0.003730	-0.014935	
0.003740	-0.030476	
0.003750	-0.045228	
0.003760	-0.058973	
0.003770	-0.071554	
0.003780	-0.082744	
0.003790	-0.092379	
0.003800	-0.100327	
0.003810	-0.106478	
0.003820	-0.110829	
0.003830	-0.113241	
0.003840	-0.113483	
0.003850	-0.111828	
0.003860	-0.108905	
0.003870	-0.104314	
0.003880	-0.098283	
0.003890	-0.090872	
0.003900	-0.082178	
0.003910	-0.072393	
0.003920	-0.061681	
0.003930	-0.050219	
0.003940	-0.038197	
0.003950	-0.025809	
0.003960	-0.013254	
0.003970	-0.000733	
0.003980	0.011558	
0.003990	0.023426	
0.004000	0.034688	
0.004010	0.045175	
0.004020	0.054728	
0.004030	0.063209	
0.004040	0.070496	
0.004050	0.076533	
0.004060	0.081212	
0.004070	0.084463	
0.004080	0.086203	
0.004090	0.086276	
0.004100	0.085009	
0.004110	0.082688	
0.004120	0.079119	
0.004130	0.074498	
0.004140	0.068851	
0.004150	0.062261	
0.004160	0.054840	
0.004170	0.046703	
0.004180	0.038008	
0.004190	0.028901	
0.004200	0.019527	
0.004210	0.010040	
0.004220	0.000589	
0.004230	-0.008677	
0.004240	-0.017614	
0.004250	-0.026085	
0.004260	-0.033963	
0.004270	-0.041132	
0.004280	-0.047488	
0.004290	-0.052978	
0.004300	-0.057501	
0.004310	-0.060992	
0.004320	-0.063391	
0.004330	-0.064623	
0.004340	-0.064694	
0.004350	-0.063759	
0.004360	-0.061884	
0.004370	-0.059145	
0.004380	-0.055665	
0.004390	-0.051440	
0.004400	-0.046525	
0.004410	-0.040998	
0.004420	-0.034952	
0.004430	-0.028487	
0.004440	-0.021712	
0.004450	-0.014737	
0.004460	-0.007678	
0.004470	-0.000652	
0.004480	0.006231	
0.004490	0.012878	
0.004500	0.019181	
0.004510	0.025047	
0.004520	0.030390	
0.004530	0.035133	
0.004540	0.039208	
0.004550	0.042557	
0.004560	0.045130	
0.004570	0.046877	
0.004580	0.047726	
0.004590	0.047809	
0.004600	0.047148	
0.004610	0.045777	
0.004620	0.043739	
0.004630	0.041140	
0.004640	0.038017	
0.004650	0.034399	
0.004660	0.030340	
0.004670	0.025903	
0.004680	0.021163	
0.004690	0.016197	
0.004700	0.011085	
0.004710	0.005910	
0.004720	0.000755	
0.004730	-0.004299	
0.004740	-0.009176	
0.004750	-0.013800	
0.004760	-0.018102	
0.004770	-0.022018	
0.004780	-0.025492	
0.004790	-0.028473	
0.004800	-0.030917	
0.004810	-0.032783	
0.004820	-0.034029	
0.004830	-0.034685	
0.004840	-0.034783	
0.004850	-0.034339	
0.004860	-0.033376	
0.004870	-0.031925	
0.004880	-0.030025	
0.004890	-0.027743	
0.004900	-0.025118	
0.004910	-0.022183	
0.004920	-0.018982	
0.004930	-0.015564	
0.004940	-0.011986	
0.004950	-0.008304	
0.004960	-0.004579	
0.004970	-0.000867	
0.004980	0.002771	
0.004990	0.006281	
0.005000	0.009608	
0.005010	0.012703	
0.005020	0.015519	
0.005030	0.018014	
0.005040	0.020151	
0.005050	0.021897	
0.005060	0.023219	
0.005070	0.024131	
0.005080	0.024641	
0.005090	0.024754	
0.005100	0.024479	
0.005110	0.023833	
0.005120	0.022838	
0.005130	0.021519	
0.005140	0.019908	
0.005150	0.018038	
0.005160	0.015957	
0.005170	0.013696	
0.005180	0.011288	
0.005190	0.008769	
0.005200	0.006180	
0.005210	0.003561	
0.005220	0.000953	
0.005230	-0.001602	
0.005240	-0.004066	
0.005250	-0.006400	
0.005260	-0.008570	
0.005270	-0.010542	
0.005280	-0.012287	
0.005290	-0.013777	
0.005300	-0.015000	
0.005310	-0.015953	
0.005320	-0.016630	
0.005330	-0.017027	
0.005340	-0.017148	
0.005350	-0.016999	
0.005360	-0.016592	
0.005370	-0.015940	
0.005380	-0.015061	
0.005390	-0.013976	
0.005400	-0.012707	
0.005410	-0.011281	
0.005420	-0.009725	
0.005430	-0.008065	
0.005440	-0.006333	
0.005450	-0.004556	
0.005460	-0.002762	
0.005470	-0.000978	
0.005480	0.000768	
0.005490	0.002450	
0.005500	0.004040	
0.005510	0.005518	
0.005520	0.006864	
0.005530	0.008062	
0.005540	0.009098	
0.005550	0.009961	
0.005560	0.010642	
0.005570	0.011138	
0.005580	0.011445	
0.005590	0.011565	
0.005600	0.011503	
0.005610	0.011264	
0.005620	0.010857	
0.005630	0.010295	
0.005640	0.009591	
0.005650	0.008760	
0.005660	0.007819	
0.005670	0.006786	
0.005680	0.005679	
0.005690	0.004519	
0.005700	0.003325	
0.005710	0.002116	
0.005720	0.000912	
0.005730	-0.000269	
0.005740	-0.001409	
0.005750	-0.002492	
0.005760	-0.003502	
0.005770	-0.004427	
